Program: faiss Topk: 1000 Num_split: 1 Batch: 128
L	m	k_star	|	w	Reorder	Metric
0.405 %	0.46196 %	0.486885 %	0.4557387 %	|	0.7044 %	0.7713 %	0.71684 %	0.7752 %	0.73552 %	0.658605 %	21192.137718200684
4000	50	16	|	32	-1	dot_product
0.429 %	0.48671 %	0.521968 %	0.5185236 %	|	0.7549 %	0.8358 %	0.78198 %	0.8421 %	0.80992 %	0.743722 %	32308.0632686615
4000	50	16	|	64	-1	dot_product
0.4456 %	0.50256 %	0.545089 %	0.5636361 %	|	0.794 %	0.8891 %	0.83103 %	0.8967 %	0.86849 %	0.811613 %	47974.30109977722
4000	50	16	|	128	-1	dot_product
0.4536 %	0.51155 %	0.56005 %	0.594428 %	|	0.817 %	0.9242 %	0.86486 %	0.9342 %	0.9126 %	0.863876 %	71372.05934524536
4000	50	16	|	256	-1	dot_product
0.4589 %	0.51765 %	0.569221 %	0.6140646 %	|	0.8329 %	0.9498 %	0.88827 %	0.962 %	0.94573 %	0.901999 %	103619.70353126526
4000	50	16	|	320	-1	dot_product
0.4596 %	0.51892 %	0.57133 %	0.6186145 %	|	0.8362 %	0.9555 %	0.89292 %	0.9685 %	0.95305 %	0.911456 %	116524.42789077759
4000	50	16	|	384	-1	dot_product
0.4604 %	0.51989 %	0.572801 %	0.6217898 %	|	0.8384 %	0.9595 %	0.89722 %	0.9733 %	0.9595 %	0.918391 %	129942.94166564941
4000	50	16	|	448	-1	dot_product
0.4606 %	0.5206 %	0.573933 %	0.6241256 %	|	0.8406 %	0.9635 %	0.90051 %	0.978 %	0.96422 %	0.923611 %	141331.77876472473
4000	50	16	|	512	-1	dot_product
0.461 %	0.52109 %	0.574774 %	0.6259594 %	|	0.8416 %	0.9651 %	0.90286 %	0.9798 %	0.96801 %	0.927866 %	150450.88744163513
4000	50	16	|	576	-1	dot_product
0.4616 %	0.52148 %	0.5754 %	0.6273859 %	|	0.8426 %	0.9672 %	0.90497 %	0.982 %	0.97118 %	0.931276 %	161585.21461486816
4000	50	16	|	640	-1	dot_product
0.4618 %	0.52195 %	0.575921 %	0.6285615 %	|	0.8438 %	0.9694 %	0.90683 %	0.9846 %	0.97392 %	0.934072 %	172775.4030227661
4000	50	16	|	704	-1	dot_product
