Program: faissGPU Topk: 1000 Num_split: 1 Batch: 128
L	m	k_star	|	w	Reorder	Metric
0.418 %	0.5203 %	0.5866 %	0.645692 %	|	0.868 %	0.993 %	0.9562 %	1.0 %	0.9994 %	0.98633 %	127.31051445007324
1000	32	256	|	320	-1	squared_l2
0.418 %	0.5203 %	0.58662 %	0.645756 %	|	0.868 %	0.993 %	0.9562 %	1.0 %	0.9994 %	0.98663 %	149.1861343383789
1000	32	256	|	384	-1	squared_l2
0.418 %	0.5203 %	0.58663 %	0.645781 %	|	0.868 %	0.993 %	0.9563 %	1.0 %	0.9997 %	0.98672 %	159.50822830200195
1000	32	256	|	448	-1	squared_l2
0.418 %	0.5203 %	0.58663 %	0.64578 %	|	0.868 %	0.993 %	0.9563 %	1.0 %	0.9997 %	0.98673 %	179.2597770690918
1000	32	256	|	512	-1	squared_l2
0.418 %	0.5203 %	0.58663 %	0.645782 %	|	0.868 %	0.993 %	0.9563 %	1.0 %	0.9997 %	0.98672 %	190.21081924438477
1000	32	256	|	576	-1	squared_l2
0.418 %	0.5203 %	0.58663 %	0.645786 %	|	0.868 %	0.993 %	0.9563 %	1.0 %	0.9997 %	0.98672 %	202.90541648864746
1000	32	256	|	640	-1	squared_l2
0.418 %	0.5203 %	0.58663 %	0.645782 %	|	0.868 %	0.993 %	0.9563 %	1.0 %	0.9997 %	0.98672 %	233.37626457214355
1000	32	256	|	704	-1	squared_l2
0.418 %	0.5203 %	0.58663 %	0.645783 %	|	0.868 %	0.993 %	0.9563 %	1.0 %	0.9997 %	0.98672 %	248.9321231842041
1000	32	256	|	768	-1	squared_l2
0.418 %	0.5203 %	0.58663 %	0.645782 %	|	0.868 %	0.993 %	0.9563 %	1.0 %	0.9997 %	0.98672 %	259.5078945159912
1000	64	256	|	1	-1	squared_l2
0.344 %	0.3511 %	0.28784 %	0.183774 %	|	0.43 %	0.431 %	0.3703 %	0.431 %	0.3703 %	0.29117 %	65.92988967895508
1000	64	256	|	16	-1	squared_l2
0.646 %	0.723 %	0.74527 %	0.707648 %	|	0.922 %	0.927 %	0.9067 %	0.927 %	0.9067 %	0.85855 %	76.27630233764648
1000	64	256	|	32	-1	squared_l2
0.668 %	0.7441 %	0.78302 %	0.783474 %	|	0.966 %	0.972 %	0.9606 %	0.972 %	0.9607 %	0.93599 %	82.1373462677002
1000	64	256	|	64	-1	squared_l2
0.673 %	0.7531 %	0.79836 %	0.821121 %	|	0.983 %	0.989 %	0.9862 %	0.989 %	0.9864 %	0.97671 %	94.39754486083984
1000	64	256	|	128	-1	squared_l2
0.676 %	0.7569 %	0.80372 %	0.835825 %	|	0.99 %	0.996 %	0.9968 %	0.996 %	0.997 %	0.99391 %	117.43450164794922
1000	64	256	|	256	-1	squared_l2
0.677 %	0.7579 %	0.80502 %	0.84007 %	|	0.994 %	1.0 %	0.9994 %	1.0 %	0.9996 %	0.99892 %	168.83063316345215
1000	64	256	|	320	-1	squared_l2
0.677 %	0.7579 %	0.8051 %	0.840474 %	|	0.994 %	1.0 %	0.9995 %	1.0 %	0.9997 %	0.99961 %	188.55786323547363
1000	64	256	|	384	-1	squared_l2
0.677 %	0.7581 %	0.80516 %	0.840662 %	|	0.994 %	1.0 %	0.9998 %	1.0 %	1.0 %	0.99989 %	211.35926246643066
1000	64	256	|	448	-1	squared_l2
0.677 %	0.7581 %	0.80517 %	0.84073 %	|	0.994 %	1.0 %	0.9998 %	1.0 %	1.0 %	0.99995 %	236.90152168273926
1000	64	256	|	512	-1	squared_l2
0.677 %	0.7581 %	0.80518 %	0.840776 %	|	0.994 %	1.0 %	0.9998 %	1.0 %	1.0 %	0.99999 %	268.0397033691406
1000	64	256	|	576	-1	squared_l2
0.677 %	0.7581 %	0.80518 %	0.840788 %	|	0.994 %	1.0 %	0.9998 %	1.0 %	1.0 %	1.0 %	289.2611026763916
1000	64	256	|	640	-1	squared_l2
0.677 %	0.7581 %	0.80518 %	0.84079 %	|	0.994 %	1.0 %	0.9998 %	1.0 %	1.0 %	1.0 %	318.90225410461426
1000	64	256	|	704	-1	squared_l2
0.677 %	0.7581 %	0.80518 %	0.840794 %	|	0.994 %	1.0 %	0.9998 %	1.0 %	1.0 %	1.0 %	371.1214065551758
1000	64	256	|	768	-1	squared_l2
0.677 %	0.7581 %	0.80518 %	0.840796 %	|	0.994 %	1.0 %	0.9998 %	1.0 %	1.0 %	1.0 %	396.472692489624
1500	32	256	|	1	-1	squared_l2
0.234 %	0.2776 %	0.24505 %	0.15138 %	|	0.362 %	0.367 %	0.3386 %	0.367 %	0.3388 %	0.25925 %	97.00894355773926
1500	32	256	|	16	-1	squared_l2
0.407 %	0.5082 %	0.55792 %	0.565512 %	|	0.831 %	0.912 %	0.8689 %	0.914 %	0.8843 %	0.82112 %	106.30083084106445
1500	32	256	|	32	-1	squared_l2
0.41 %	0.5185 %	0.57837 %	0.613803 %	|	0.861 %	0.957 %	0.9226 %	0.96 %	0.9469 %	0.90762 %	109.88092422485352
1500	32	256	|	64	-1	squared_l2
0.412 %	0.5215 %	0.58625 %	0.637002 %	|	0.87 %	0.981 %	0.9489 %	0.985 %	0.9806 %	0.95731 %	117.25807189941406
1500	32	256	|	128	-1	squared_l2
0.412 %	0.5219 %	0.58855 %	0.645538 %	|	0.873 %	0.989 %	0.9568 %	0.993 %	0.9942 %	0.97907 %	131.15525245666504
1500	32	256	|	256	-1	squared_l2
0.412 %	0.522 %	0.58905 %	0.647767 %	|	0.874 %	0.993 %	0.9591 %	0.998 %	0.9985 %	0.98559 %	174.18241500854492
1500	32	256	|	320	-1	squared_l2
