Program: scann Topk: 1000 Num_split: 1 Batch: 128
L	Threashold	m	|	w	r	Metric
800	0.2	50	|	16	-1	squared_l2
0.1702 %	0.55993 %	0.712116 %	0.4032469 %	|	0.6601 %	0.8823 %	0.88708 %	0.889 %	0.90461 %	0.885919 %	208.6648941040039
800	0.2	50	|	25	-1	squared_l2
0.1752 %	0.56594 %	0.717755 %	0.4416921 %	|	0.6714 %	0.8974 %	0.89991 %	0.9052 %	0.91982 %	0.915586 %	239.1512393951416
800	0.2	50	|	30	-1	squared_l2
0.1764 %	0.56814 %	0.718708 %	0.4532371 %	|	0.6754 %	0.9023 %	0.90385 %	0.9108 %	0.9246 %	0.926149 %	257.3535442352295
800	0.2	50	|	35	-1	squared_l2
0.1777 %	0.57002 %	0.717937 %	0.5224857 %	|	0.6783 %	0.9066 %	0.90775 %	0.9154 %	0.92905 %	0.932447 %	275.65884590148926
800	0.2	50	|	40	-1	squared_l2
0.1788 %	0.57238 %	0.718031 %	0.5369873 %	|	0.6831 %	0.912 %	0.91206 %	0.9216 %	0.93402 %	0.936089 %	291.76974296569824
800	0.2	50	|	45	-1	squared_l2
0.1799 %	0.57423 %	0.718627 %	0.5521594 %	|	0.6869 %	0.9167 %	0.91562 %	0.9269 %	0.93808 %	0.938613 %	305.5682182312012
800	0.2	50	|	50	-1	squared_l2
0.1807 %	0.57642 %	0.719532 %	0.5680487 %	|	0.6907 %	0.9208 %	0.91939 %	0.9313 %	0.94218 %	0.940926 %	323.01878929138184
800	0.2	50	|	55	-1	squared_l2
0.1819 %	0.57774 %	0.720798 %	0.5697787 %	|	0.6932 %	0.9244 %	0.92225 %	0.9352 %	0.94537 %	0.944534 %	339.07246589660645
800	0.2	50	|	60	-1	squared_l2
0.1829 %	0.57901 %	0.721973 %	0.5703047 %	|	0.6957 %	0.9278 %	0.92459 %	0.9385 %	0.948 %	0.948219 %	352.3905277252197
800	0.2	50	|	65	-1	squared_l2
0.1832 %	0.57986 %	0.722504 %	0.5710247 %	|	0.6972 %	0.9302 %	0.92674 %	0.9411 %	0.95042 %	0.949918 %	372.62892723083496
800	0.2	50	|	75	-1	squared_l2
0.1835 %	0.58117 %	0.723137 %	0.5741534 %	|	0.7001 %	0.934 %	0.92981 %	0.9451 %	0.95396 %	0.951971 %	399.26815032958984
800	0.2	50	|	90	-1	squared_l2
0.1841 %	0.58312 %	0.723537 %	0.6227007 %	|	0.7041 %	0.9391 %	0.93397 %	0.9502 %	0.95846 %	0.954078 %	442.19040870666504
800	0.2	50	|	110	-1	squared_l2
0.1862 %	0.58533 %	0.722443 %	0.6284252 %	|	0.7087 %	0.945 %	0.93853 %	0.9566 %	0.96341 %	0.956197 %	490.8144474029541
800	0.2	50	|	130	-1	squared_l2
0.1879 %	0.58673 %	0.722416 %	0.6281555 %	|	0.7117 %	0.9492 %	0.94142 %	0.9612 %	0.96668 %	0.957667 %	551.9702434539795
800	0.2	50	|	150	-1	squared_l2
0.1885 %	0.58814 %	0.722947 %	0.6297692 %	|	0.7144 %	0.9529 %	0.94427 %	0.9652 %	0.96985 %	0.958885 %	606.7049503326416
800	0.2	50	|	170	-1	squared_l2
0.1899 %	0.58938 %	0.723448 %	0.6405999 %	|	0.7167 %	0.9558 %	0.94694 %	0.9686 %	0.97279 %	0.960002 %	658.0898761749268
800	0.2	50	|	200	-1	squared_l2
0.191 %	0.59135 %	0.724047 %	0.6421776 %	|	0.7218 %	0.9617 %	0.95096 %	0.975 %	0.97735 %	0.961438 %	743.8173294067383
800	0.2	50	|	220	-1	squared_l2
0.1915 %	0.59242 %	0.723542 %	0.6421837 %	|	0.7238 %	0.9644 %	0.95325 %	0.9778 %	0.97986 %	0.962316 %	808.9990615844727
800	0.2	50	|	250	-1	squared_l2
0.1928 %	0.59347 %	0.723898 %	0.6414682 %	|	0.7267 %	0.9679 %	0.95553 %	0.9813 %	0.98243 %	0.963192 %	900.611400604248
800	0.2	50	|	310	-1	squared_l2
0.1938 %	0.5959 %	0.724741 %	0.6453738 %	|	0.7318 %	0.9738 %	0.96043 %	0.9876 %	0.98787 %	0.964904 %	1090.3713703155518
800	0.2	50	|	400	-1	squared_l2
0.1945 %	0.5975 %	0.725491 %	0.6451183 %	|	0.7352 %	0.9786 %	0.9643 %	0.9927 %	0.99222 %	0.966736 %	1401.3779163360596
800	0.2	50	|	500	-1	squared_l2
0.1954 %	0.59846 %	0.726039 %	0.6448665 %	|	0.7375 %	0.9822 %	0.96716 %	0.9967 %	0.99553 %	0.96835 %	1755.0840377807617
800	0.2	50	|	800	-1	squared_l2
0.1953 %	0.5988 %	0.726467 %	0.644931 %	|	0.7393 %	0.9843 %	0.96891 %	0.999 %	0.99758 %	0.970049 %	2484.144449234009
800	0.2	25	|	1	-1	squared_l2
0.1375 %	0.33019 %	0.169044 %	0.0674515 %	|	0.434 %	0.4888 %	0.4197 %	0.4952 %	0.43245 %	0.202693 %	90.79933166503906
800	0.2	25	|	2	-1	squared_l2
0.124 %	0.46326 %	0.271495 %	0.1193353 %	|	0.5692 %	0.7098 %	0.68947 %	0.7274 %	0.71987 %	0.340181 %	114.8991584777832
800	0.2	25	|	4	-1	squared_l2
0.1248 %	0.47748 %	0.34309 %	0.1739026 %	|	0.5884 %	0.782 %	0.76712 %	0.8127 %	0.81694 %	0.450874 %	137.1464729309082
800	0.2	25	|	8	-1	squared_l2
0.1263 %	0.47638 %	0.44693 %	0.2449218 %	|	0.59 %	0.8134 %	0.79905 %	0.8554 %	0.86632 %	0.60461 %	163.44022750854492
800	0.2	25	|	16	-1	squared_l2
0.129 %	0.47739 %	0.622232 %	0.3334823 %	|	0.5977 %	0.8299 %	0.81167 %	0.8824 %	0.89224 %	0.848885 %	191.54763221740723
800	0.2	25	|	25	-1	squared_l2
0.1298 %	0.47901 %	0.623216 %	0.3575473 %	|	0.6033 %	0.8402 %	0.81776 %	0.8972 %	0.90456 %	0.870326 %	221.01163864135742
800	0.2	25	|	30	-1	squared_l2
0.13 %	0.47911 %	0.622671 %	0.3634586 %	|	0.6052 %	0.8435 %	0.81922 %	0.902 %	0.90852 %	0.87755 %	229.4929027557373
800	0.2	25	|	35	-1	squared_l2
0.1297 %	0.47974 %	0.621128 %	0.4234356 %	|	0.6063 %	0.8467 %	0.8211 %	0.9064 %	0.91226 %	0.88099 %	243.91436576843262
800	0.2	25	|	40	-1	squared_l2
0.1295 %	0.48032 %	0.620117 %	0.4343873 %	|	0.6086 %	0.851 %	0.82371 %	0.9122 %	0.91664 %	0.882111 %	253.7846565246582
800	0.2	25	|	45	-1	squared_l2
0.1299 %	0.48087 %	0.619328 %	0.4467019 %	|	0.6106 %	0.8555 %	0.82603 %	0.9169 %	0.92006 %	0.882756 %	265.92469215393066
800	0.2	25	|	50	-1	squared_l2
0.1301 %	0.48203 %	0.618865 %	0.4597288 %	|	0.6127 %	0.8589 %	0.82865 %	0.9212 %	0.92371 %	0.883393 %	278.72610092163086
800	0.2	25	|	55	-1	squared_l2
0.1301 %	0.48274 %	0.618673 %	0.4571302 %	|	0.6147 %	0.8619 %	0.83037 %	0.9248 %	0.92637 %	0.885372 %	292.86670684814453
800	0.2	25	|	60	-1	squared_l2
0.1302 %	0.48322 %	0.618908 %	0.4559619 %	|	0.6158 %	0.864 %	0.83173 %	0.9281 %	0.9286 %	0.887663 %	300.77576637268066
800	0.2	25	|	65	-1	squared_l2
0.1303 %	0.48348 %	0.618842 %	0.4550698 %	|	0.617 %	0.8662 %	0.83306 %	0.9303 %	0.93052 %	0.888026 %	311.2037181854248
800	0.2	25	|	75	-1	squared_l2
0.1301 %	0.48354 %	0.617865 %	0.4528794 %	|	0.6183 %	0.8681 %	0.83457 %	0.9341 %	0.93354 %	0.8877 %	330.0049304962158
800	0.2	25	|	90	-1	squared_l2
0.1303 %	0.48408 %	0.615024 %	0.4896723 %	|	0.6205 %	0.8719 %	0.83649 %	0.9391 %	0.93739 %	0.886432 %	366.5802478790283
800	0.2	25	|	110	-1	squared_l2
0.1309 %	0.48454 %	0.612062 %	0.4892653 %	|	0.6237 %	0.8764 %	0.83873 %	0.9453 %	0.94131 %	0.885269 %	401.51405334472656
800	0.2	25	|	130	-1	squared_l2
0.1318 %	0.484 %	0.610209 %	0.4816553 %	|	0.6244 %	0.8796 %	0.83979 %	0.9491 %	0.9438 %	0.884044 %	436.63620948791504
800	0.2	25	|	150	-1	squared_l2
0.1318 %	0.48431 %	0.6094 %	0.4804557 %	|	0.6256 %	0.8826 %	0.84124 %	0.9528 %	0.94635 %	0.883291 %	472.1500873565674
800	0.2	25	|	170	-1	squared_l2
0.1324 %	0.48437 %	0.608737 %	0.485941 %	|	0.6256 %	0.8847 %	0.84286 %	0.9556 %	0.94862 %	0.8828 %	508.58330726623535
800	0.2	25	|	200	-1	squared_l2
0.1328 %	0.48467 %	0.60814 %	0.4848377 %	|	0.627 %	0.8898 %	0.84556 %	0.9617 %	0.95263 %	0.882458 %	562.0582103729248
800	0.2	25	|	220	-1	squared_l2
