Program: scann Topk: 1000 Num_split: 20 Batch: 128
L	Threashold	m	|	w	r	Metric
0.1467 %	0.2446 %	0.318899 %	0.3969095 %	|	0.4784 %	0.833 %	0.64787 %	0.974 %	0.93153 %	0.769521 %	51527.671337127686
7000	0.2	32	|	256	-1	squared_l2
0.1464 %	0.24429 %	0.318684 %	0.3966139 %	|	0.4789 %	0.832 %	0.64757 %	0.9745 %	0.93225 %	0.76973 %	97870.86725234985
7000	0.2	32	|	320	-1	squared_l2
0.1464 %	0.24418 %	0.31863 %	0.3965171 %	|	0.4784 %	0.8319 %	0.64727 %	0.9744 %	0.93221 %	0.769663 %	120744.45080757141
7000	0.2	32	|	384	-1	squared_l2
0.1464 %	0.24405 %	0.318609 %	0.3964757 %	|	0.4782 %	0.8323 %	0.64729 %	0.9745 %	0.93217 %	0.769542 %	143456.24494552612
7000	0.2	32	|	448	-1	squared_l2
0.1464 %	0.24419 %	0.318567 %	0.3964383 %	|	0.4787 %	0.8322 %	0.64718 %	0.9746 %	0.93213 %	0.769533 %	166045.49646377563
7000	0.2	32	|	512	-1	squared_l2
0.1464 %	0.24416 %	0.318533 %	0.3964124 %	|	0.4786 %	0.8316 %	0.64714 %	0.9746 %	0.93203 %	0.769494 %	188643.3129310608
7000	0.2	32	|	576	-1	squared_l2
0.1464 %	0.24426 %	0.318532 %	0.3963977 %	|	0.4789 %	0.8316 %	0.64728 %	0.9746 %	0.93205 %	0.769479 %	211182.29007720947
7000	0.2	32	|	640	-1	squared_l2
0.1464 %	0.24427 %	0.318529 %	0.3963892 %	|	0.4785 %	0.8319 %	0.6473 %	0.9746 %	0.93204 %	0.769469 %	233618.61538887024
7000	0.2	32	|	704	-1	squared_l2
0.1464 %	0.24429 %	0.318524 %	0.3963743 %	|	0.4784 %	0.832 %	0.64738 %	0.9746 %	0.932 %	0.76946 %	255947.10278511047
7000	0.2	32	|	768	-1	squared_l2
0.1464 %	0.24431 %	0.318522 %	0.3963699 %	|	0.4783 %	0.8318 %	0.6473 %	0.9746 %	0.93203 %	0.769449 %	278219.49648857117
7000	0.2	32	|	1024	-1	squared_l2
0.1464 %	0.2443 %	0.318503 %	0.3963542 %	|	0.4784 %	0.8316 %	0.6473 %	0.9746 %	0.932 %	0.769433 %	367367.644071579
7000	0.2	32	|	1280	-1	squared_l2
0.1464 %	0.24433 %	0.318498 %	0.3963475 %	|	0.4786 %	0.8315 %	0.64722 %	0.9746 %	0.93205 %	0.769428 %	455554.226398468
7000	0.2	32	|	1536	-1	squared_l2
0.1464 %	0.24431 %	0.31849 %	0.3963478 %	|	0.4786 %	0.8316 %	0.64719 %	0.9746 %	0.93205 %	0.769433 %	543515.3396129608
7000	0.2	32	|	2048	-1	squared_l2
0.1464 %	0.24429 %	0.318503 %	0.3963495 %	|	0.4785 %	0.8316 %	0.64721 %	0.9746 %	0.93205 %	0.769425 %	718540.6949520111
7000	0.2	32	|	2560	-1	squared_l2
0.1464 %	0.24429 %	0.318502 %	0.3963475 %	|	0.4785 %	0.8317 %	0.64723 %	0.9746 %	0.93205 %	0.769427 %	893804.8439025879
7000	0.2	32	|	3072	-1	squared_l2
0.1464 %	0.24429 %	0.318501 %	0.3963473 %	|	0.4785 %	0.8317 %	0.64723 %	0.9746 %	0.93205 %	0.769429 %	1069379.0102005005
7000	0.2	32	|	4096	-1	squared_l2
0.1464 %	0.24429 %	0.318499 %	0.3963476 %	|	0.4785 %	0.8317 %	0.64723 %	0.9746 %	0.93205 %	0.769427 %	1425160.7468128204
7000	0.2	32	|	4608	-1	squared_l2
0.1464 %	0.24429 %	0.318498 %	0.3963474 %	|	0.4785 %	0.8317 %	0.64723 %	0.9746 %	0.93205 %	0.769427 %	1605735.4221343994
7000	0.2	32	|	5120	-1	squared_l2
0.1464 %	0.24429 %	0.318498 %	0.3963474 %	|	0.4785 %	0.8317 %	0.64723 %	0.9746 %	0.93205 %	0.769427 %	1789451.9865512848
7000	0.2	32	|	5632	-1	squared_l2
