Program: scann Topk: 1000 Num_split: 1 Batch: 128
L	Threashold	m	|	w	r	Metric
0.3527 %	0.51923 %	0.657739 %	0.7090502 %	|	0.7026 %	0.8144 %	0.80744 %	0.8245 %	0.82958 %	0.829279 %	152.313232421875
800	0.2	50	|	25	-1	dot_product
0.3597 %	0.5268 %	0.666477 %	0.7236972 %	|	0.7195 %	0.8394 %	0.82703 %	0.8515 %	0.85319 %	0.850718 %	172.55139350891113
800	0.2	50	|	30	-1	dot_product
0.3623 %	0.52957 %	0.669179 %	0.7277204 %	|	0.7252 %	0.849 %	0.83342 %	0.8615 %	0.86082 %	0.857161 %	185.25004386901855
800	0.2	50	|	35	-1	dot_product
0.3635 %	0.53137 %	0.671345 %	0.7306262 %	|	0.7301 %	0.8556 %	0.83836 %	0.8691 %	0.86697 %	0.862326 %	200.7884979248047
800	0.2	50	|	40	-1	dot_product
0.3639 %	0.53273 %	0.673052 %	0.7327864 %	|	0.7324 %	0.8589 %	0.84185 %	0.8734 %	0.87132 %	0.866242 %	207.24177360534668
800	0.2	50	|	45	-1	dot_product
0.3652 %	0.53417 %	0.674615 %	0.7344446 %	|	0.7352 %	0.8638 %	0.84542 %	0.8787 %	0.87574 %	0.869702 %	218.83869171142578
800	0.2	50	|	50	-1	dot_product
0.3655 %	0.53533 %	0.675984 %	0.7358691 %	|	0.7368 %	0.8668 %	0.84839 %	0.8822 %	0.87929 %	0.872636 %	225.00967979431152
800	0.2	50	|	55	-1	dot_product
0.3666 %	0.53633 %	0.677089 %	0.7370211 %	|	0.7391 %	0.8703 %	0.85086 %	0.8861 %	0.8823 %	0.875111 %	235.35728454589844
800	0.2	50	|	60	-1	dot_product
0.367 %	0.53727 %	0.678131 %	0.7380354 %	|	0.741 %	0.8736 %	0.85331 %	0.8897 %	0.88521 %	0.877469 %	242.56277084350586
800	0.2	50	|	65	-1	dot_product
0.3678 %	0.53805 %	0.679077 %	0.7389492 %	|	0.7425 %	0.8761 %	0.85555 %	0.8923 %	0.88784 %	0.879455 %	255.38992881774902
800	0.2	50	|	75	-1	dot_product
0.3684 %	0.53969 %	0.680913 %	0.7405176 %	|	0.7461 %	0.8813 %	0.85956 %	0.8978 %	0.8925 %	0.883297 %	269.79899406433105
800	0.2	50	|	90	-1	dot_product
0.3696 %	0.54158 %	0.683279 %	0.7425049 %	|	0.7494 %	0.8866 %	0.86461 %	0.9045 %	0.89861 %	0.888264 %	290.0886535644531
800	0.2	50	|	110	-1	dot_product
0.371 %	0.54377 %	0.685972 %	0.7446714 %	|	0.7538 %	0.8939 %	0.87034 %	0.9128 %	0.90589 %	0.894003 %	323.51040840148926
800	0.2	50	|	130	-1	dot_product
0.3721 %	0.54566 %	0.688356 %	0.7465553 %	|	0.7579 %	0.8998 %	0.87557 %	0.9198 %	0.91215 %	0.899072 %	356.04286193847656
800	0.2	50	|	150	-1	dot_product
0.373 %	0.54729 %	0.690425 %	0.7482025 %	|	0.7604 %	0.9035 %	0.87965 %	0.9239 %	0.91732 %	0.903678 %	390.09976387023926
800	0.2	50	|	170	-1	dot_product
