Program: scann Topk: 1000 Num_split: 1 Batch: 128
L	Threashold	m	|	w	r	Metric
0.5038 %	0.59416 %	0.650975 %	0.6768177 %	|	0.9072 %	0.9627 %	0.9333 %	0.9632 %	0.94125 %	0.896343 %	240.9052848815918
800	0.2	64	|	25	-1	squared_l2
0.5083 %	0.60223 %	0.666265 %	0.7116656 %	|	0.9227 %	0.9836 %	0.96357 %	0.9841 %	0.97312 %	0.945057 %	277.60791778564453
800	0.2	64	|	30	-1	squared_l2
0.5091 %	0.60412 %	0.670321 %	0.7215904 %	|	0.926 %	0.9883 %	0.97126 %	0.9889 %	0.9814 %	0.959603 %	301.64527893066406
800	0.2	64	|	35	-1	squared_l2
0.5092 %	0.60503 %	0.672787 %	0.7282188 %	|	0.9276 %	0.9909 %	0.97557 %	0.9915 %	0.98616 %	0.969224 %	329.06270027160645
800	0.2	64	|	40	-1	squared_l2
0.51 %	0.60579 %	0.674394 %	0.7328284 %	|	0.9297 %	0.9934 %	0.97874 %	0.994 %	0.98974 %	0.976167 %	346.22859954833984
800	0.2	64	|	45	-1	squared_l2
0.5102 %	0.60622 %	0.675613 %	0.7362249 %	|	0.9306 %	0.9947 %	0.98111 %	0.9953 %	0.99236 %	0.981295 %	371.4618682861328
800	0.2	64	|	50	-1	squared_l2
0.5105 %	0.60675 %	0.676462 %	0.7387066 %	|	0.9316 %	0.9959 %	0.98293 %	0.9967 %	0.99445 %	0.985142 %	395.8594799041748
800	0.2	64	|	55	-1	squared_l2
0.5105 %	0.60682 %	0.677033 %	0.7405929 %	|	0.9321 %	0.9964 %	0.98412 %	0.9972 %	0.99571 %	0.987984 %	415.01736640930176
800	0.2	64	|	60	-1	squared_l2
0.5106 %	0.60699 %	0.677453 %	0.7420137 %	|	0.9326 %	0.9971 %	0.98515 %	0.9979 %	0.99682 %	0.990152 %	438.7013912200928
800	0.2	64	|	65	-1	squared_l2
0.5107 %	0.60712 %	0.677759 %	0.7431006 %	|	0.9329 %	0.9977 %	0.98571 %	0.9985 %	0.99751 %	0.99176 %	460.4511260986328
800	0.2	64	|	75	-1	squared_l2
0.5107 %	0.60718 %	0.678098 %	0.7445886 %	|	0.9333 %	0.9985 %	0.98652 %	0.9993 %	0.99844 %	0.994067 %	502.3622512817383
800	0.2	64	|	90	-1	squared_l2
0.5106 %	0.60723 %	0.678404 %	0.7458118 %	|	0.9333 %	0.9987 %	0.98713 %	0.9995 %	0.99914 %	0.995995 %	570.2557563781738
800	0.2	64	|	110	-1	squared_l2
0.5105 %	0.60729 %	0.67852 %	0.7465505 %	|	0.9336 %	0.9991 %	0.98758 %	0.9999 %	0.99965 %	0.9972 %	654.1118621826172
800	0.2	64	|	130	-1	squared_l2
0.5106 %	0.60733 %	0.678584 %	0.7468748 %	|	0.9337 %	0.9992 %	0.98777 %	1.0 %	0.9999 %	0.997725 %	744.8117733001709
800	0.2	64	|	150	-1	squared_l2
0.5106 %	0.60732 %	0.678584 %	0.7470053 %	|	0.9337 %	0.9992 %	0.98781 %	1.0 %	0.99997 %	0.997965 %	826.0390758514404
800	0.2	64	|	170	-1	squared_l2
