Program: faiss Topk: 1000 Num_split: 20 Batch: 128
L	m	k_star	|	w	Reorder	Metric
0.8186 %	0.85545 %	0.881601 %	0.9001558 %	|	0.9976 %	0.9993 %	0.99918 %	0.9998 %	0.99969 %	0.999681 %	3593660.60256958
7000	48	256	|	1024	-1	squared_l2
0.8186 %	0.85547 %	0.881611 %	0.9001787 %	|	0.9976 %	0.9993 %	0.99922 %	0.9998 %	0.99973 %	0.99971 %	4723282.475471497
7000	48	256	|	1280	-1	squared_l2
0.8186 %	0.85547 %	0.881618 %	0.9001876 %	|	0.9976 %	0.9993 %	0.99922 %	0.9998 %	0.99973 %	0.999724 %	-1
7000	48	256	|	1536	-1	squared_l2
0.8186 %	0.85547 %	0.881619 %	0.9001918 %	|	0.9976 %	0.9993 %	0.99922 %	0.9998 %	0.99973 %	0.999727 %	-1
7000	48	256	|	2048	-1	squared_l2
0.8186 %	0.85547 %	0.881619 %	0.9001941 %	|	0.9976 %	0.9993 %	0.99922 %	0.9998 %	0.99973 %	0.999729 %	-1
7000	24	256	|	1	-1	squared_l2
0.3187 %	0.34901 %	0.344557 %	0.3247337 %	|	0.5022 %	0.5291 %	0.47155 %	0.5322 %	0.47884 %	0.424121 %	15214.452743530273
7000	24	256	|	16	-1	squared_l2
0.4913 %	0.5564 %	0.596497 %	0.6350987 %	|	0.8721 %	0.9553 %	0.92069 %	0.9608 %	0.9463 %	0.917331 %	59563.57002258301
7000	24	256	|	32	-1	squared_l2
0.4979 %	0.56456 %	0.608533 %	0.6542984 %	|	0.8893 %	0.9783 %	0.94949 %	0.9838 %	0.97785 %	0.958001 %	102671.68521881104
7000	24	256	|	64	-1	squared_l2
0.5005 %	0.5678 %	0.613466 %	0.6627896 %	|	0.8974 %	0.9885 %	0.96187 %	0.9943 %	0.99186 %	0.977276 %	185203.18984985352
7000	24	256	|	128	-1	squared_l2
0.5016 %	0.56877 %	0.615202 %	0.6658766 %	|	0.8996 %	0.9924 %	0.96592 %	0.9983 %	0.99676 %	0.984779 %	341706.08043670654
7000	24	256	|	256	-1	squared_l2
0.5018 %	0.56915 %	0.615656 %	0.6668472 %	|	0.9 %	0.9932 %	0.96723 %	0.999 %	0.99836 %	0.987234 %	639590.4397964478
7000	24	256	|	320	-1	squared_l2
0.5019 %	0.56918 %	0.615697 %	0.6669685 %	|	0.9001 %	0.9932 %	0.96731 %	0.9991 %	0.99849 %	0.987538 %	783803.1101226807
7000	24	256	|	384	-1	squared_l2
0.5019 %	0.56922 %	0.615724 %	0.6670288 %	|	0.9002 %	0.9933 %	0.9674 %	0.9992 %	0.99862 %	0.987683 %	925650.577545166
7000	24	256	|	448	-1	squared_l2
0.5019 %	0.56921 %	0.61573 %	0.6670597 %	|	0.9002 %	0.9933 %	0.96744 %	0.9992 %	0.99869 %	0.987796 %	1070215.7402038574
7000	24	256	|	512	-1	squared_l2
0.5019 %	0.56922 %	0.615736 %	0.6670836 %	|	0.9003 %	0.9934 %	0.96747 %	0.9993 %	0.99873 %	0.987852 %	1211768.8655853271
7000	24	256	|	576	-1	squared_l2
