Program: faissGPU Topk: 1000 Num_split: 1 Batch: 128
L	m	k_star	|	w	Reorder	Metric
0.8266 %	0.87471 %	0.903348 %	0.9170765 %	|	0.9981 %	0.9984 %	0.99756 %	0.9984 %	0.99756 %	0.993112 %	870.1963424682617
800	64	256	|	128	-1	squared_l2
0.8273 %	0.87564 %	0.905996 %	0.9261849 %	|	0.9996 %	0.9999 %	0.99978 %	0.9999 %	0.99978 %	0.999383 %	1119.0364360809326
800	64	256	|	256	-1	squared_l2
0.8279 %	0.87576 %	0.90623 %	0.9271385 %	|	0.9997 %	1.0 %	1.0 %	1.0 %	1.0 %	0.999986 %	1633.6352825164795
800	64	256	|	320	-1	squared_l2
0.8279 %	0.87576 %	0.906235 %	0.9271509 %	|	0.9997 %	1.0 %	1.0 %	1.0 %	1.0 %	0.999997 %	1918.9178943634033
800	64	256	|	384	-1	squared_l2
0.8279 %	0.87576 %	0.906235 %	0.9271527 %	|	0.9997 %	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	2097.4621772766113
800	64	256	|	448	-1	squared_l2
0.8279 %	0.87576 %	0.906235 %	0.9271529 %	|	0.9997 %	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	2314.5651817321777
800	64	256	|	512	-1	squared_l2
0.8279 %	0.87576 %	0.906235 %	0.9271531 %	|	0.9997 %	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	2637.5198364257812
800	64	256	|	576	-1	squared_l2
0.8279 %	0.87578 %	0.906236 %	0.927153 %	|	0.9997 %	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	2961.325168609619
800	64	256	|	640	-1	squared_l2
0.8279 %	0.87578 %	0.906235 %	0.927153 %	|	0.9997 %	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	3484.234571456909
800	64	256	|	704	-1	squared_l2
0.8279 %	0.87578 %	0.906235 %	0.927153 %	|	0.9997 %	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	3707.012414932251
800	64	256	|	768	-1	squared_l2
0.8279 %	0.87578 %	0.906236 %	0.9271531 %	|	0.9997 %	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	4384.127378463745
1000	16	256	|	1	-1	squared_l2
0.3033 %	0.32775 %	0.29371 %	0.1954797 %	|	0.4637 %	0.4742 %	0.40362 %	0.4742 %	0.40386 %	0.313886 %	681.7047595977783
1000	16	256	|	16	-1	squared_l2
0.4647 %	0.55387 %	0.613059 %	0.6426116 %	|	0.8829 %	0.9579 %	0.91985 %	0.9586 %	0.93134 %	0.879877 %	758.6488723754883
1000	16	256	|	32	-1	squared_l2
0.4689 %	0.56177 %	0.630711 %	0.6881735 %	|	0.902 %	0.9889 %	0.96108 %	0.9898 %	0.97834 %	0.95346 %	799.3984222412109
1000	16	256	|	64	-1	squared_l2
