Program: faiss Topk: 1000 Num_split: 1 Batch: 128
L	m	k_star	|	w	Reorder	Metric
0.3725 %	0.49686 %	0.555037 %	0.5502219 %	|	0.8118 %	0.9029 %	0.85323 %	0.9038 %	0.86572 %	0.788175 %	2445.552110671997
4000	32	16	|	32	-1	squared_l2
0.3801 %	0.50998 %	0.5823 %	0.6157694 %	|	0.8432 %	0.9532 %	0.91295 %	0.955 %	0.93265 %	0.882233 %	4110.214471817017
4000	32	16	|	64	-1	squared_l2
0.3832 %	0.51539 %	0.595175 %	0.6513095 %	|	0.8584 %	0.981 %	0.94441 %	0.9839 %	0.97085 %	0.941318 %	7174.01647567749
4000	32	16	|	128	-1	squared_l2
0.3841 %	0.51722 %	0.600327 %	0.6679783 %	|	0.8632 %	0.9919 %	0.95879 %	0.9955 %	0.98993 %	0.97275 %	12808.0415725708
4000	32	16	|	256	-1	squared_l2
0.384 %	0.51764 %	0.601814 %	0.6745964 %	|	0.8643 %	0.9949 %	0.963 %	0.9988 %	0.99718 %	0.986504 %	23441.936492919922
4000	32	16	|	320	-1	squared_l2
0.3843 %	0.51769 %	0.601986 %	0.6755364 %	|	0.8645 %	0.9954 %	0.96346 %	0.9994 %	0.99809 %	0.988589 %	28576.274394989014
4000	32	16	|	384	-1	squared_l2
0.3842 %	0.51769 %	0.602087 %	0.6760368 %	|	0.8644 %	0.9954 %	0.96385 %	0.9994 %	0.99877 %	0.989709 %	33484.88903045654
4000	32	16	|	448	-1	squared_l2
0.3843 %	0.51771 %	0.602121 %	0.676352 %	|	0.8646 %	0.9956 %	0.96407 %	0.9996 %	0.99919 %	0.990392 %	38506.26754760742
4000	32	16	|	512	-1	squared_l2
0.3842 %	0.51771 %	0.602141 %	0.6765559 %	|	0.8646 %	0.9958 %	0.96414 %	0.9998 %	0.99943 %	0.990872 %	43497.86591529846
4000	32	16	|	576	-1	squared_l2
0.3842 %	0.51771 %	0.602155 %	0.6766834 %	|	0.8646 %	0.9959 %	0.9642 %	0.9999 %	0.99968 %	0.991186 %	48275.44903755188
4000	32	16	|	640	-1	squared_l2
0.3842 %	0.51772 %	0.602167 %	0.6767684 %	|	0.8646 %	0.9959 %	0.9642 %	0.9999 %	0.99976 %	0.991366 %	53090.35801887512
4000	32	16	|	704	-1	squared_l2
0.3842 %	0.51772 %	0.602175 %	0.6768235 %	|	0.8646 %	0.9959 %	0.96423 %	1.0 %	0.99983 %	0.991485 %	58323.46987724304
4000	32	16	|	768	-1	squared_l2
0.3842 %	0.51772 %	0.602177 %	0.6768622 %	|	0.8646 %	0.9959 %	0.96423 %	1.0 %	0.99985 %	0.991562 %	64025.888442993164
4000	32	16	|	1024	-1	squared_l2
0.3842 %	0.51772 %	0.602186 %	0.6769394 %	|	0.8646 %	0.9959 %	0.96425 %	1.0 %	0.99992 %	0.991736 %	84179.05521392822
4000	48	16	|	1	-1	squared_l2
0.2736 %	0.29623 %	0.23667 %	0.1216466 %	|	0.3777 %	0.3798 %	0.32856 %	0.3798 %	0.32859 %	0.241471 %	617.6798343658447
4000	48	16	|	16	-1	squared_l2
0.5326 %	0.62876 %	0.656764 %	0.5955283 %	|	0.8871 %	0.9037 %	0.86513 %	0.9038 %	0.86572 %	0.788378 %	3073.164939880371
4000	48	16	|	32	-1	squared_l2
0.5492 %	0.65251 %	0.700918 %	0.6905994 %	|	0.9336 %	0.9549 %	0.93175 %	0.955 %	0.93265 %	0.883153 %	5238.228321075439
4000	48	16	|	64	-1	squared_l2
0.5568 %	0.6634 %	0.722903 %	0.7464638 %	|	0.9581 %	0.9838 %	0.96958 %	0.9839 %	0.97086 %	0.9437 %	9329.5156955719
4000	48	16	|	128	-1	squared_l2
0.5592 %	0.66805 %	0.732703 %	0.7742348 %	|	0.9677 %	0.9954 %	0.98832 %	0.9955 %	0.98997 %	0.977106 %	16795.866012573242
4000	48	16	|	256	-1	squared_l2
0.5597 %	0.66908 %	0.736333 %	0.7862364 %	|	0.9701 %	0.9987 %	0.99526 %	0.9988 %	0.99723 %	0.992671 %	30647.939443588257
4000	48	16	|	320	-1	squared_l2
0.5599 %	0.66924 %	0.736827 %	0.7881126 %	|	0.9706 %	0.9993 %	0.99611 %	0.9994 %	0.99814 %	0.995231 %	37435.75882911682
4000	48	16	|	384	-1	squared_l2
0.5598 %	0.66929 %	0.737131 %	0.7892077 %	|	0.9706 %	0.9993 %	0.99677 %	0.9994 %	0.99884 %	0.996678 %	43280.73167800903
4000	48	16	|	448	-1	squared_l2
0.5598 %	0.66932 %	0.737283 %	0.789889 %	|	0.9708 %	0.9995 %	0.99716 %	0.9996 %	0.99926 %	0.997601 %	50053.6675453186
4000	48	16	|	512	-1	squared_l2
0.5598 %	0.66936 %	0.737381 %	0.790346 %	|	0.971 %	0.9997 %	0.99736 %	0.9998 %	0.9995 %	0.998257 %	56108.94465446472
4000	48	16	|	576	-1	squared_l2
0.5598 %	0.66938 %	0.73745 %	0.7906597 %	|	0.9711 %	0.9998 %	0.99756 %	0.9999 %	0.99975 %	0.998679 %	61812.83664703369
4000	48	16	|	640	-1	squared_l2
0.5598 %	0.66939 %	0.737474 %	0.790867 %	|	0.9711 %	0.9998 %	0.99762 %	0.9999 %	0.99983 %	0.998952 %	68712.16058731079
4000	48	16	|	704	-1	squared_l2
0.5598 %	0.66939 %	0.737502 %	0.7910213 %	|	0.9712 %	0.9999 %	0.99769 %	1.0 %	0.9999 %	0.99913 %	77287.23883628845
4000	48	16	|	768	-1	squared_l2
0.5598 %	0.66939 %	0.737528 %	0.7911343 %	|	0.9712 %	0.9999 %	0.99771 %	1.0 %	0.99992 %	0.999267 %	83716.59541130066
4000	48	16	|	1024	-1	squared_l2
0.5598 %	0.6694 %	0.737555 %	0.7913763 %	|	0.9712 %	0.9999 %	0.99777 %	1.0 %	0.99999 %	0.999587 %	109435.14609336853
4000	96	16	|	1	-1	squared_l2
0.3466 %	0.32318 %	0.240972 %	0.1216466 %	|	0.3798 %	0.3798 %	0.32859 %	0.3798 %	0.32859 %	0.241471 %	783.8339805603027
4000	96	16	|	16	-1	squared_l2
0.7704 %	0.79717 %	0.763069 %	0.6240358 %	|	0.9036 %	0.9038 %	0.86572 %	0.9038 %	0.86572 %	0.788378 %	5390.23756980896
4000	96	16	|	32	-1	squared_l2
0.8052 %	0.84273 %	0.839951 %	0.7533412 %	|	0.9548 %	0.955 %	0.93265 %	0.955 %	0.93265 %	0.883154 %	9508.045196533203
4000	96	16	|	64	-1	squared_l2
0.8235 %	0.86503 %	0.881937 %	0.8447403 %	|	0.9837 %	0.9839 %	0.97086 %	0.9839 %	0.97086 %	0.943707 %	17325.915813446045
4000	96	16	|	128	-1	squared_l2
0.831 %	0.87484 %	0.901073 %	0.8967017 %	|	0.9953 %	0.9955 %	0.98997 %	0.9955 %	0.98997 %	0.977148 %	31371.58966064453
4000	96	16	|	256	-1	squared_l2
0.8327 %	0.87802 %	0.908394 %	0.9198559 %	|	0.9985 %	0.9988 %	0.99723 %	0.9988 %	0.99723 %	0.992765 %	57404.908895492554
4000	96	16	|	320	-1	squared_l2
0.8333 %	0.8783 %	0.909455 %	0.9234688 %	|	0.9991 %	0.9994 %	0.99814 %	0.9994 %	0.99814 %	0.995343 %	70560.62245368958
4000	96	16	|	384	-1	squared_l2
0.8332 %	0.8786 %	0.910044 %	0.9255447 %	|	0.9991 %	0.9994 %	0.99884 %	0.9994 %	0.99884 %	0.996798 %	83064.06950950623
4000	96	16	|	448	-1	squared_l2
