Program: faissGPU Topk: 1000 Num_split: 20 Batch: 128
L	m	k_star	|	w	Reorder	Metric
8000	64	256	|	1024	-1	squared_l2
0.7546 %	0.81742 %	0.853731 %	0.8772664 %	|	0.9986 %	1.0 %	0.99998 %	1.0 %	1.0 %	0.999996 %	19676.448822021484
8000	64	256	|	1280	-1	squared_l2
0.7546 %	0.81742 %	0.853731 %	0.8772709 %	|	0.9986 %	1.0 %	0.99998 %	1.0 %	1.0 %	0.999999 %	23821.34199142456
8000	64	256	|	1536	-1	squared_l2
0.7546 %	0.81742 %	0.853732 %	0.8772726 %	|	0.9986 %	1.0 %	0.99998 %	1.0 %	1.0 %	1.0 %	27482.93948173523
8000	64	256	|	2048	-1	squared_l2
0.7546 %	0.81742 %	0.853732 %	0.8772734 %	|	0.9986 %	1.0 %	0.99998 %	1.0 %	1.0 %	1.0 %	34573.999881744385
8000	32	256	|	1	-1	squared_l2
0.2916 %	0.34562 %	0.33343 %	0.2964665 %	|	0.4488 %	0.4547 %	0.41835 %	0.4548 %	0.41864 %	0.369746 %	4287.298679351807
8000	32	256	|	16	-1	squared_l2
0.4922 %	0.60543 %	0.653107 %	0.6778616 %	|	0.9041 %	0.9412 %	0.92319 %	0.9414 %	0.92769 %	0.896402 %	4547.791242599487
8000	32	256	|	32	-1	squared_l2
0.5019 %	0.61834 %	0.672674 %	0.7094776 %	|	0.9368 %	0.9778 %	0.9655 %	0.9781 %	0.97159 %	0.953517 %	4732.173919677734
8000	32	256	|	64	-1	squared_l2
0.5057 %	0.62273 %	0.680841 %	0.7244963 %	|	0.9483 %	0.9927 %	0.9834 %	0.9931 %	0.99045 %	0.982235 %	5040.945768356323
8000	32	256	|	128	-1	squared_l2
0.5064 %	0.62419 %	0.683599 %	0.73031 %	|	0.952 %	0.9982 %	0.98991 %	0.9986 %	0.9976 %	0.993955 %	5554.782867431641
8000	32	256	|	256	-1	squared_l2
0.5065 %	0.6245 %	0.684335 %	0.7320252 %	|	0.9528 %	0.9994 %	0.99178 %	0.9998 %	0.99963 %	0.997416 %	6668.07222366333
8000	32	256	|	320	-1	squared_l2
0.5064 %	0.62453 %	0.684409 %	0.7322115 %	|	0.9528 %	0.9994 %	0.99201 %	0.9998 %	0.99987 %	0.997786 %	7479.45761680603
8000	32	256	|	384	-1	squared_l2
0.5064 %	0.62453 %	0.684441 %	0.7323086 %	|	0.9528 %	0.9995 %	0.99204 %	0.9999 %	0.99991 %	0.997952 %	8040.529251098633
8000	32	256	|	448	-1	squared_l2
0.5064 %	0.62454 %	0.684447 %	0.7323568 %	|	0.9528 %	0.9995 %	0.99206 %	0.9999 %	0.99993 %	0.99804 %	8942.513465881348
8000	32	256	|	512	-1	squared_l2
0.5064 %	0.62455 %	0.684453 %	0.7323812 %	|	0.9528 %	0.9995 %	0.99207 %	0.9999 %	0.99994 %	0.998097 %	10170.20583152771
8000	32	256	|	576	-1	squared_l2
0.5064 %	0.62455 %	0.684462 %	0.7323973 %	|	0.9529 %	0.9996 %	0.9921 %	1.0 %	0.99998 %	0.998134 %	11013.959407806396
8000	32	256	|	640	-1	squared_l2
0.5064 %	0.62455 %	0.684467 %	0.7324093 %	|	0.9529 %	0.9996 %	0.99211 %	1.0 %	0.99999 %	0.998159 %	11632.676124572754
8000	32	256	|	704	-1	squared_l2
0.5064 %	0.62455 %	0.68447 %	0.732415 %	|	0.9529 %	0.9996 %	0.99211 %	1.0 %	1.0 %	0.998173 %	12267.597913742065
8000	32	256	|	768	-1	squared_l2
0.5064 %	0.62455 %	0.684473 %	0.7324186 %	|	0.9529 %	0.9996 %	0.99211 %	1.0 %	1.0 %	0.998187 %	13076.457023620605
8000	32	256	|	1024	-1	squared_l2
0.5064 %	0.62455 %	0.684474 %	0.7324249 %	|	0.9529 %	0.9996 %	0.99211 %	1.0 %	1.0 %	0.998199 %	15631.667137145996
8000	32	256	|	1280	-1	squared_l2
0.5064 %	0.62455 %	0.684473 %	0.7324259 %	|	0.9529 %	0.9996 %	0.99211 %	1.0 %	1.0 %	0.998202 %	18775.189876556396
8000	32	256	|	1536	-1	squared_l2
0.5064 %	0.62455 %	0.684474 %	0.7324262 %	|	0.9529 %	0.9996 %	0.99211 %	1.0 %	1.0 %	0.998203 %	21407.47356414795
8000	32	256	|	2048	-1	squared_l2
0.5064 %	0.62455 %	0.684474 %	0.7324268 %	|	0.9529 %	0.9996 %	0.99211 %	1.0 %	1.0 %	0.998203 %	26594.1960811615
8000	16	256	|	1	-1	squared_l2
0.1927 %	0.25765 %	0.27371 %	0.2652247 %	|	0.4003 %	0.4527 %	0.40464 %	0.4547 %	0.41842 %	0.36696 %	4281.269311904907
8000	16	256	|	16	-1	squared_l2
0.2846 %	0.39905 %	0.468058 %	0.5244753 %	|	0.7205 %	0.9235 %	0.83479 %	0.9409 %	0.92574 %	0.862666 %	4511.403799057007
8000	16	256	|	32	-1	squared_l2
0.2879 %	0.40446 %	0.477442 %	0.5415833 %	|	0.7367 %	0.9564 %	0.8621 %	0.9775 %	0.96881 %	0.908532 %	4668.7986850738525
8000	16	256	|	64	-1	squared_l2
0.2885 %	0.40614 %	0.480836 %	0.5489367 %	|	0.7415 %	0.9695 %	0.8722 %	0.9924 %	0.98681 %	0.929191 %	4859.685182571411
8000	16	256	|	128	-1	squared_l2
0.2883 %	0.4066 %	0.481854 %	0.5514692 %	|	0.7429 %	0.9733 %	0.87503 %	0.9979 %	0.9934 %	0.936609 %	5270.316600799561
8000	16	256	|	256	-1	squared_l2
0.2883 %	0.40673 %	0.482101 %	0.5520562 %	|	0.7432 %	0.9739 %	0.87583 %	0.9991 %	0.9952 %	0.938476 %	6022.321939468384
8000	16	256	|	320	-1	squared_l2
0.2883 %	0.40674 %	0.482109 %	0.5521114 %	|	0.7432 %	0.9739 %	0.87589 %	0.9991 %	0.99541 %	0.938644 %	6609.46249961853
8000	16	256	|	384	-1	squared_l2
0.2883 %	0.40674 %	0.48211 %	0.5521362 %	|	0.7432 %	0.9739 %	0.8759 %	0.9991 %	0.99542 %	0.938703 %	7225.380897521973
8000	16	256	|	448	-1	squared_l2
0.2883 %	0.40674 %	0.48211 %	0.552147 %	|	0.7432 %	0.9739 %	0.8759 %	0.9991 %	0.99544 %	0.938738 %	8007.0295333862305
8000	16	256	|	512	-1	squared_l2
0.2883 %	0.40674 %	0.482113 %	0.5521521 %	|	0.7432 %	0.9739 %	0.8759 %	0.9991 %	0.99544 %	0.938761 %	8440.650463104248
8000	16	256	|	576	-1	squared_l2
0.2883 %	0.40674 %	0.482115 %	0.5521569 %	|	0.7432 %	0.974 %	0.87591 %	0.9992 %	0.99546 %	0.938777 %	9632.770299911499
8000	16	256	|	640	-1	squared_l2
0.2883 %	0.40674 %	0.482114 %	0.5521595 %	|	0.7432 %	0.974 %	0.87591 %	0.9992 %	0.99546 %	0.938783 %	10316.002607345581
8000	16	256	|	704	-1	squared_l2
0.2883 %	0.40674 %	0.482115 %	0.5521608 %	|	0.7432 %	0.974 %	0.87591 %	0.9992 %	0.99547 %	0.938788 %	10835.93487739563
8000	16	256	|	768	-1	squared_l2
0.2883 %	0.40674 %	0.482116 %	0.5521617 %	|	0.7432 %	0.974 %	0.87591 %	0.9992 %	0.99547 %	0.938789 %	11479.225873947144
8000	16	256	|	1024	-1	squared_l2
0.2883 %	0.40674 %	0.482116 %	0.5521619 %	|	0.7432 %	0.974 %	0.87591 %	0.9992 %	0.99547 %	0.938791 %	13525.367736816406
8000	16	256	|	1280	-1	squared_l2
0.2883 %	0.40674 %	0.482116 %	0.552162 %	|	0.7432 %	0.974 %	0.87591 %	0.9992 %	0.99547 %	0.938792 %	15594.281435012817
8000	16	256	|	1536	-1	squared_l2
0.2883 %	0.40674 %	0.482116 %	0.5521621 %	|	0.7432 %	0.974 %	0.87591 %	0.9992 %	0.99547 %	0.938792 %	18378.002643585205
8000	16	256	|	2048	-1	squared_l2
0.2883 %	0.40674 %	0.482116 %	0.5521621 %	|	0.7432 %	0.974 %	0.87591 %	0.9992 %	0.99547 %	0.938792 %	22567.65079498291
6000	64	256	|	1	-1	squared_l2
0.4059 %	0.41247 %	0.379027 %	0.327031 %	|	0.4786 %	0.4786 %	0.43711 %	0.4786 %	0.43712 %	0.388782 %	3373.593807220459
6000	64	256	|	16	-1	squared_l2
0.7267 %	0.78809 %	0.808226 %	0.8023932 %	|	0.9558 %	0.9566 %	0.93802 %	0.9566 %	0.93804 %	0.911035 %	3793.1952476501465
6000	64	256	|	32	-1	squared_l2
0.743 %	0.80768 %	0.836452 %	0.8463867 %	|	0.9842 %	0.9851 %	0.97698 %	0.9851 %	0.977 %	0.962728 %	4090.5630588531494
6000	64	256	|	64	-1	squared_l2
0.748 %	0.81473 %	0.848039 %	0.8665792 %	|	0.995 %	0.9959 %	0.99324 %	0.9959 %	0.99326 %	0.987557 %	4580.94048500061
6000	64	256	|	128	-1	squared_l2
0.7501 %	0.81701 %	0.851907 %	0.8741397 %	|	0.9983 %	0.9992 %	0.9985 %	0.9992 %	0.99852 %	0.997023 %	5604.208946228027
6000	64	256	|	256	-1	squared_l2
0.7502 %	0.81751 %	0.852804 %	0.8762832 %	|	0.9989 %	0.9999 %	0.99973 %	0.9999 %	0.99975 %	0.999456 %	7942.490816116333
6000	64	256	|	320	-1	squared_l2
0.7502 %	0.81754 %	0.852898 %	0.8765181 %	|	0.9989 %	0.9999 %	0.99982 %	0.9999 %	0.99984 %	0.999712 %	9225.669145584106
6000	64	256	|	384	-1	squared_l2
0.7502 %	0.81757 %	0.852947 %	0.8766294 %	|	0.999 %	1.0 %	0.9999 %	1.0 %	0.99992 %	0.999842 %	10852.165460586548
6000	64	256	|	448	-1	squared_l2
0.7502 %	0.81758 %	0.852968 %	0.8766916 %	|	0.999 %	1.0 %	0.99992 %	1.0 %	0.99994 %	0.999907 %	12149.09291267395
6000	64	256	|	512	-1	squared_l2
