Program: scann Topk: 1000 Num_split: 1 Batch: 128
L	Threashold	m	|	w	r	Metric
0.5046 %	0.55215 %	0.576784 %	0.5637915 %	|	0.7779 %	0.8007 %	0.79124 %	0.8007 %	0.79469 %	0.755259 %	190.71388244628906
800	0.2	50	|	25	-1	dot_product
0.5255 %	0.57291 %	0.599433 %	0.598738 %	|	0.8179 %	0.8468 %	0.83705 %	0.847 %	0.84201 %	0.806727 %	223.1161594390869
800	0.2	50	|	30	-1	dot_product
0.5334 %	0.57899 %	0.607008 %	0.6110608 %	|	0.8316 %	0.8627 %	0.8532 %	0.8629 %	0.8588 %	0.825769 %	240.01455307006836
800	0.2	50	|	35	-1	dot_product
0.5388 %	0.58476 %	0.612798 %	0.6205739 %	|	0.8428 %	0.8755 %	0.86634 %	0.8757 %	0.87244 %	0.840859 %	257.2896480560303
800	0.2	50	|	40	-1	dot_product
0.5431 %	0.589 %	0.617592 %	0.6282653 %	|	0.8528 %	0.8876 %	0.87718 %	0.8878 %	0.88383 %	0.853672 %	269.7877883911133
800	0.2	50	|	45	-1	dot_product
0.5467 %	0.59263 %	0.621539 %	0.6346503 %	|	0.8614 %	0.8973 %	0.88636 %	0.8975 %	0.89351 %	0.864507 %	283.428430557251
800	0.2	50	|	50	-1	dot_product
0.5503 %	0.59552 %	0.624782 %	0.6399855 %	|	0.8684 %	0.9055 %	0.89411 %	0.9057 %	0.90172 %	0.873717 %	295.01938819885254
800	0.2	50	|	55	-1	dot_product
0.5533 %	0.59779 %	0.62757 %	0.6446351 %	|	0.8737 %	0.912 %	0.90073 %	0.9122 %	0.90889 %	0.882087 %	307.9543113708496
800	0.2	50	|	60	-1	dot_product
0.5559 %	0.59998 %	0.62984 %	0.6486501 %	|	0.8794 %	0.9187 %	0.90651 %	0.9189 %	0.91511 %	0.889249 %	318.6378479003906
800	0.2	50	|	65	-1	dot_product
0.5593 %	0.60176 %	0.631869 %	0.6521745 %	|	0.8854 %	0.9256 %	0.91153 %	0.9258 %	0.92057 %	0.895758 %	329.03170585632324
800	0.2	50	|	75	-1	dot_product
0.5634 %	0.6047 %	0.635235 %	0.6580042 %	|	0.8931 %	0.9346 %	0.91987 %	0.9348 %	0.92965 %	0.906739 %	358.3805561065674
800	0.2	50	|	90	-1	dot_product
0.5675 %	0.608 %	0.639243 %	0.6647911 %	|	0.9021 %	0.9448 %	0.93026 %	0.9451 %	0.94107 %	0.920206 %	387.35055923461914
800	0.2	50	|	110	-1	dot_product
0.5707 %	0.61151 %	0.642987 %	0.6713279 %	|	0.9107 %	0.9542 %	0.94006 %	0.9551 %	0.95208 %	0.933563 %	425.7936477661133
800	0.2	50	|	130	-1	dot_product
0.5731 %	0.61387 %	0.645706 %	0.6761461 %	|	0.9158 %	0.9617 %	0.94765 %	0.9626 %	0.96076 %	0.94395 %	469.0086841583252
800	0.2	50	|	150	-1	dot_product
0.5754 %	0.6158 %	0.647838 %	0.6797793 %	|	0.9211 %	0.9685 %	0.95332 %	0.9695 %	0.96719 %	0.952119 %	510.7293128967285
800	0.2	50	|	170	-1	dot_product
0.5775 %	0.61702 %	0.649468 %	0.682585 %	|	0.9249 %	0.9737 %	0.95805 %	0.9747 %	0.97261 %	0.958745 %	543.2631969451904
800	0.2	50	|	200	-1	dot_product
0.5792 %	0.6187 %	0.651242 %	0.6857915 %	|	0.9298 %	0.9804 %	0.96374 %	0.9815 %	0.97937 %	0.96648 %	609.8403930664062
800	0.2	50	|	220	-1	dot_product
0.5801 %	0.61929 %	0.652108 %	0.687469 %	|	0.9324 %	0.9838 %	0.96635 %	0.9849 %	0.98253 %	0.970369 %	635.610818862915
800	0.2	50	|	250	-1	dot_product
0.5812 %	0.62031 %	0.653149 %	0.6894947 %	|	0.9355 %	0.9876 %	0.96993 %	0.9888 %	0.98668 %	0.9752 %	699.5816230773926
800	0.2	50	|	310	-1	dot_product
0.5828 %	0.62133 %	0.654617 %	0.6921738 %	|	0.9396 %	0.9926 %	0.97445 %	0.9938 %	0.99217 %	0.981971 %	798.189640045166
800	0.2	50	|	400	-1	dot_product
0.5834 %	0.62208 %	0.65567 %	0.6943704 %	|	0.9415 %	0.9958 %	0.97776 %	0.997 %	0.99622 %	0.987434 %	962.7878665924072
800	0.2	50	|	500	-1	dot_product
0.5839 %	0.62258 %	0.656181 %	0.6954568 %	|	0.9429 %	0.9976 %	0.97953 %	0.9988 %	0.99846 %	0.990262 %	1135.0648403167725
800	0.2	50	|	800	-1	dot_product
0.5842 %	0.62283 %	0.656469 %	0.6960652 %	|	0.9439 %	0.9988 %	0.98068 %	1.0 %	0.99988 %	0.99184 %	1602.5824546813965
800	0.2	25	|	1	-1	dot_product
0.1426 %	0.18902 %	0.220889 %	0.2008229 %	|	0.2913 %	0.3506 %	0.33064 %	0.3545 %	0.34824 %	0.309529 %	98.08015823364258
800	0.2	25	|	2	-1	dot_product
0.1846 %	0.23886 %	0.277939 %	0.2783814 %	|	0.3919 %	0.4826 %	0.44602 %	0.4904 %	0.48185 %	0.433637 %	105.07893562316895
800	0.2	25	|	4	-1	dot_product
0.2146 %	0.2735 %	0.318114 %	0.3391946 %	|	0.4683 %	0.5933 %	0.53904 %	0.6091 %	0.6003 %	0.545246 %	127.69508361816406
800	0.2	25	|	8	-1	dot_product
0.2367 %	0.2956 %	0.345304 %	0.3832992 %	|	0.5244 %	0.6856 %	0.60993 %	0.7103 %	0.7038 %	0.638941 %	151.52931213378906
800	0.2	25	|	16	-1	dot_product
0.2492 %	0.30898 %	0.361803 %	0.412761 %	|	0.5638 %	0.7579 %	0.6596 %	0.7994 %	0.78823 %	0.709247 %	178.85613441467285
800	0.2	25	|	25	-1	dot_product
0.2559 %	0.31487 %	0.368434 %	0.4257036 %	|	0.5833 %	0.7937 %	0.6813 %	0.8445 %	0.83134 %	0.743066 %	207.15570449829102
800	0.2	25	|	30	-1	dot_product
0.2578 %	0.3167 %	0.370588 %	0.4299218 %	|	0.5894 %	0.8046 %	0.68863 %	0.8599 %	0.84637 %	0.75449 %	220.58701515197754
800	0.2	25	|	35	-1	dot_product
0.26 %	0.31799 %	0.372041 %	0.4330441 %	|	0.5941 %	0.8133 %	0.69415 %	0.8722 %	0.85816 %	0.763072 %	230.13806343078613
800	0.2	25	|	40	-1	dot_product
0.2614 %	0.31907 %	0.373235 %	0.4355487 %	|	0.5976 %	0.8208 %	0.69834 %	0.8837 %	0.86763 %	0.769896 %	240.37504196166992
800	0.2	25	|	45	-1	dot_product
0.2623 %	0.31979 %	0.374156 %	0.4374669 %	|	0.601 %	0.8271 %	0.70144 %	0.893 %	0.87557 %	0.775411 %	247.8318214416504
800	0.2	25	|	50	-1	dot_product
0.2623 %	0.32042 %	0.37486 %	0.4390557 %	|	0.6036 %	0.8327 %	0.70412 %	0.9006 %	0.88193 %	0.779878 %	258.7389945983887
800	0.2	25	|	55	-1	dot_product
0.2628 %	0.32084 %	0.375448 %	0.4403989 %	|	0.6052 %	0.8371 %	0.7063 %	0.9064 %	0.88756 %	0.783831 %	269.05274391174316
800	0.2	25	|	60	-1	dot_product
0.2632 %	0.3212 %	0.375987 %	0.4415117 %	|	0.6066 %	0.8412 %	0.70818 %	0.9124 %	0.89232 %	0.787012 %	274.31201934814453
800	0.2	25	|	65	-1	dot_product
0.264 %	0.32177 %	0.376401 %	0.4424945 %	|	0.6088 %	0.8457 %	0.70989 %	0.919 %	0.89658 %	0.789808 %	282.8326225280762
800	0.2	25	|	75	-1	dot_product
0.265 %	0.32246 %	0.377065 %	0.4440628 %	|	0.6111 %	0.8505 %	0.71239 %	0.9276 %	0.90343 %	0.794441 %	294.9385643005371
800	0.2	25	|	90	-1	dot_product
0.2659 %	0.32308 %	0.377792 %	0.4458117 %	|	0.614 %	0.8564 %	0.71518 %	0.9371 %	0.91167 %	0.799831 %	323.2460021972656
800	0.2	25	|	110	-1	dot_product
0.2667 %	0.32356 %	0.378386 %	0.4473319 %	|	0.6166 %	0.8612 %	0.71779 %	0.9458 %	0.91912 %	0.804654 %	348.40869903564453
800	0.2	25	|	130	-1	dot_product
0.267 %	0.32397 %	0.378763 %	0.4483644 %	|	0.6185 %	0.8644 %	0.71931 %	0.9523 %	0.92468 %	0.807996 %	381.29210472106934
800	0.2	25	|	150	-1	dot_product
0.267 %	0.32416 %	0.379084 %	0.4491039 %	|	0.6191 %	0.8672 %	0.72053 %	0.9581 %	0.92857 %	0.810495 %	400.13885498046875
800	0.2	25	|	170	-1	dot_product
