Program: faissGPU Topk: 1000 Num_split: 1 Batch: 128
L	m	k_star	|	w	Reorder	Metric
0.5894 %	0.6973 %	0.76235 %	0.8138436 %	|	0.9808 %	0.9999 %	0.99891 %	1.0 %	0.99992 %	0.999372 %	3453.9036750793457
4000	24	256	|	1024	-1	squared_l2
0.5894 %	0.69731 %	0.76239 %	0.8141214 %	|	0.9808 %	0.9999 %	0.99897 %	1.0 %	0.99999 %	0.999699 %	4085.5491161346436
4000	24	256	|	1280	-1	squared_l2
0.5894 %	0.69731 %	0.762408 %	0.8142298 %	|	0.9808 %	0.9999 %	0.99898 %	1.0 %	1.0 %	0.999833 %	4814.645767211914
4000	24	256	|	1536	-1	squared_l2
0.5894 %	0.69731 %	0.762417 %	0.8142756 %	|	0.9808 %	0.9999 %	0.99898 %	1.0 %	1.0 %	0.99989 %	5291.16415977478
4000	24	256	|	2048	-1	squared_l2
0.5894 %	0.69731 %	0.762422 %	0.8143062 %	|	0.9808 %	0.9999 %	0.99898 %	1.0 %	1.0 %	0.999923 %	6917.37174987793
4000	32	256	|	1	-1	squared_l2
0.3172 %	0.31487 %	0.239973 %	0.1216466 %	|	0.3796 %	0.3798 %	0.32859 %	0.3798 %	0.32859 %	0.241471 %	2331.993818283081
4000	32	256	|	16	-1	squared_l2
0.6681 %	0.73233 %	0.72671 %	0.6166181 %	|	0.9024 %	0.9038 %	0.86572 %	0.9038 %	0.86572 %	0.788378 %	2511.331081390381
4000	32	256	|	32	-1	squared_l2
0.6925 %	0.76685 %	0.78887 %	0.734839 %	|	0.9527 %	0.955 %	0.93265 %	0.955 %	0.93265 %	0.883154 %	2578.486442565918
4000	32	256	|	64	-1	squared_l2
0.7067 %	0.78376 %	0.821203 %	0.8121464 %	|	0.9813 %	0.9839 %	0.97086 %	0.9839 %	0.97086 %	0.943707 %	2660.766124725342
4000	32	256	|	128	-1	squared_l2
0.7116 %	0.79124 %	0.835826 %	0.8529676 %	|	0.9927 %	0.9955 %	0.98997 %	0.9955 %	0.98997 %	0.977148 %	2757.772445678711
4000	32	256	|	256	-1	squared_l2
0.7134 %	0.79328 %	0.841422 %	0.8708236 %	|	0.9959 %	0.9988 %	0.99722 %	0.9988 %	0.99723 %	0.992765 %	2935.2543354034424
4000	32	256	|	320	-1	squared_l2
0.7135 %	0.79354 %	0.842296 %	0.8736363 %	|	0.9965 %	0.9994 %	0.99813 %	0.9994 %	0.99814 %	0.995343 %	3019.090175628662
4000	32	256	|	384	-1	squared_l2
0.7134 %	0.79378 %	0.84271 %	0.8752976 %	|	0.9964 %	0.9994 %	0.99883 %	0.9994 %	0.99884 %	0.996798 %	3244.7400093078613
4000	32	256	|	448	-1	squared_l2
0.7134 %	0.79389 %	0.843005 %	0.8763952 %	|	0.9966 %	0.9996 %	0.99925 %	0.9996 %	0.99926 %	0.997728 %	3358.3974838256836
4000	32	256	|	512	-1	squared_l2
