Program: faiss Topk: 1000 Num_split: 1 Batch: 128
L	m	k_star	|	w	Reorder	Metric
0.2401 %	0.31608 %	0.385318 %	0.4463992 %	|	0.5992 %	0.8505 %	0.71394 %	0.892 %	0.84082 %	0.740553 %	2001.469612121582
1000	16	16	|	16	-1	squared_l2
0.2433 %	0.32205 %	0.398515 %	0.4840593 %	|	0.6143 %	0.897 %	0.75187 %	0.9575 %	0.92651 %	0.83167 %	3451.139211654663
1000	16	16	|	25	-1	squared_l2
0.2447 %	0.32342 %	0.401988 %	0.4965557 %	|	0.6185 %	0.9094 %	0.76292 %	0.9801 %	0.95752 %	0.864892 %	4873.529672622681
1000	16	16	|	30	-1	squared_l2
0.2446 %	0.32367 %	0.402763 %	0.4997181 %	|	0.6193 %	0.9124 %	0.76537 %	0.986 %	0.96599 %	0.873531 %	5643.051862716675
1000	16	16	|	35	-1	squared_l2
0.2444 %	0.32384 %	0.403238 %	0.5017695 %	|	0.6196 %	0.9137 %	0.76675 %	0.989 %	0.97139 %	0.879278 %	6489.4678592681885
1000	16	16	|	40	-1	squared_l2
0.2448 %	0.32402 %	0.403498 %	0.5031008 %	|	0.6199 %	0.9149 %	0.7678 %	0.9915 %	0.97521 %	0.883085 %	7368.588209152222
1000	16	16	|	45	-1	squared_l2
0.245 %	0.32404 %	0.40366 %	0.5039912 %	|	0.6202 %	0.9155 %	0.76822 %	0.9926 %	0.97746 %	0.885553 %	8145.450830459595
1000	16	16	|	50	-1	squared_l2
0.2448 %	0.32408 %	0.403777 %	0.5046239 %	|	0.6202 %	0.9157 %	0.76864 %	0.9934 %	0.97923 %	0.887362 %	8875.361442565918
1000	16	16	|	55	-1	squared_l2
0.2447 %	0.3241 %	0.403867 %	0.5050727 %	|	0.6202 %	0.9161 %	0.76891 %	0.9944 %	0.98079 %	0.888745 %	9665.690660476685
1000	16	16	|	60	-1	squared_l2
0.2447 %	0.3241 %	0.403902 %	0.5054038 %	|	0.6202 %	0.9163 %	0.76901 %	0.9951 %	0.98167 %	0.889718 %	10362.884759902954
1000	16	16	|	65	-1	squared_l2
0.2446 %	0.3241 %	0.403942 %	0.5056457 %	|	0.6202 %	0.9163 %	0.76913 %	0.9953 %	0.98233 %	0.890414 %	11170.793294906616
1000	16	16	|	75	-1	squared_l2
0.2444 %	0.32411 %	0.404 %	0.5059524 %	|	0.6202 %	0.9163 %	0.76926 %	0.9957 %	0.98306 %	0.89134 %	12614.174127578735
1000	16	16	|	90	-1	squared_l2
0.2445 %	0.32413 %	0.404031 %	0.5061916 %	|	0.6203 %	0.9165 %	0.7694 %	0.996 %	0.98376 %	0.892023 %	15061.858654022217
1000	16	16	|	110	-1	squared_l2
0.2444 %	0.32414 %	0.404046 %	0.5063239 %	|	0.6202 %	0.9165 %	0.76946 %	0.9961 %	0.98406 %	0.892413 %	17809.15594100952
1000	16	16	|	130	-1	squared_l2
0.2444 %	0.32414 %	0.404055 %	0.5063711 %	|	0.6202 %	0.9166 %	0.76949 %	0.9963 %	0.98425 %	0.892569 %	20715.372562408447
1000	16	16	|	150	-1	squared_l2
0.2445 %	0.32414 %	0.404057 %	0.5063915 %	|	0.6202 %	0.9166 %	0.76949 %	0.9964 %	0.9843 %	0.892625 %	24333.776712417603
1000	16	16	|	170	-1	squared_l2
0.2446 %	0.32414 %	0.404058 %	0.5064003 %	|	0.6202 %	0.9166 %	0.76949 %	0.9965 %	0.98434 %	0.892662 %	27329.259634017944
1000	16	16	|	200	-1	squared_l2
0.2446 %	0.32414 %	0.404059 %	0.506405 %	|	0.6202 %	0.9166 %	0.7695 %	0.9965 %	0.98437 %	0.892676 %	31342.087268829346
1000	16	16	|	220	-1	squared_l2
0.2446 %	0.32414 %	0.404059 %	0.5064063 %	|	0.6202 %	0.9166 %	0.7695 %	0.9965 %	0.98437 %	0.892677 %	33783.42938423157
1000	16	16	|	250	-1	squared_l2
0.2446 %	0.32414 %	0.404059 %	0.5064067 %	|	0.6202 %	0.9166 %	0.7695 %	0.9965 %	0.98437 %	0.892678 %	39450.201988220215
1000	16	16	|	310	-1	squared_l2
0.2446 %	0.32414 %	0.404059 %	0.5064071 %	|	0.6202 %	0.9166 %	0.7695 %	0.9965 %	0.98437 %	0.892681 %	47770.13611793518
1000	16	16	|	400	-1	squared_l2
0.2446 %	0.32414 %	0.404059 %	0.5064071 %	|	0.6202 %	0.9166 %	0.7695 %	0.9965 %	0.98437 %	0.892681 %	61406.76164627075
1000	16	16	|	500	-1	squared_l2
0.2446 %	0.32414 %	0.404059 %	0.5064071 %	|	0.6202 %	0.9166 %	0.7695 %	0.9965 %	0.98437 %	0.892681 %	74139.59050178528
1000	16	16	|	800	-1	squared_l2
0.2446 %	0.32414 %	0.404059 %	0.5064071 %	|	0.6202 %	0.9166 %	0.7695 %	0.9965 %	0.98437 %	0.892681 %	114603.86037826538
1000	16	16	|	1000	-1	squared_l2
0.2446 %	0.32414 %	0.404059 %	0.5064071 %	|	0.6202 %	0.9166 %	0.7695 %	0.9965 %	0.98437 %	0.892681 %	148570.23215293884
1000	32	16	|	1	-1	squared_l2
0.2538 %	0.29291 %	0.277773 %	0.1945716 %	|	0.4503 %	0.4741 %	0.40205 %	0.4742 %	0.40386 %	0.313878 %	773.1804847717285
1000	32	16	|	2	-1	squared_l2
0.3088 %	0.36617 %	0.372393 %	0.303394 %	|	0.5866 %	0.6358 %	0.55638 %	0.6364 %	0.5615 %	0.457639 %	1194.6794986724854
1000	32	16	|	4	-1	squared_l2
0.3416 %	0.41576 %	0.449845 %	0.4213942 %	|	0.6931 %	0.7795 %	0.70036 %	0.7812 %	0.71351 %	0.613882 %	2028.9185047149658
1000	32	16	|	8	-1	squared_l2
0.359 %	0.44536 %	0.501591 %	0.5194449 %	|	0.7634 %	0.8889 %	0.81449 %	0.8923 %	0.84246 %	0.760143 %	3459.5229625701904
1000	32	16	|	16	-1	squared_l2
0.3677 %	0.45993 %	0.529668 %	0.5840371 %	|	0.7979 %	0.9525 %	0.88519 %	0.9586 %	0.93123 %	0.875057 %	6192.181825637817
1000	32	16	|	25	-1	squared_l2
0.3703 %	0.46409 %	0.538326 %	0.6081806 %	|	0.8085 %	0.9738 %	0.9092 %	0.9821 %	0.96547 %	0.924125 %	9151.811838150024
1000	32	16	|	30	-1	squared_l2
0.3709 %	0.46495 %	0.540448 %	0.6148549 %	|	0.8118 %	0.9791 %	0.91529 %	0.9879 %	0.97515 %	0.938451 %	10759.851217269897
1000	32	16	|	35	-1	squared_l2
0.3715 %	0.46568 %	0.541708 %	0.6193176 %	|	0.8132 %	0.982 %	0.91926 %	0.9915 %	0.9816 %	0.948281 %	12257.320165634155
1000	32	16	|	40	-1	squared_l2
0.3715 %	0.46616 %	0.542604 %	0.6224126 %	|	0.8143 %	0.9843 %	0.92208 %	0.994 %	0.98625 %	0.955301 %	13781.775712966919
1000	32	16	|	45	-1	squared_l2
0.371 %	0.46627 %	0.543206 %	0.6246109 %	|	0.8144 %	0.9851 %	0.92368 %	0.9952 %	0.98922 %	0.960356 %	15324.236154556274
1000	32	16	|	50	-1	squared_l2
0.3718 %	0.46635 %	0.543643 %	0.6262244 %	|	0.8149 %	0.9858 %	0.92494 %	0.9962 %	0.99149 %	0.96412 %	16871.570587158203
1000	32	16	|	55	-1	squared_l2
0.3718 %	0.46654 %	0.543958 %	0.6274065 %	|	0.815 %	0.9868 %	0.92612 %	0.9973 %	0.99365 %	0.966994 %	18462.503910064697
1000	32	16	|	60	-1	squared_l2
0.3713 %	0.46656 %	0.544172 %	0.6282873 %	|	0.8154 %	0.9873 %	0.92674 %	0.998 %	0.99488 %	0.96914 %	19824.28765296936
1000	32	16	|	65	-1	squared_l2
0.3715 %	0.46663 %	0.544307 %	0.6289682 %	|	0.8153 %	0.9874 %	0.92719 %	0.9982 %	0.99581 %	0.970837 %	21636.553287506104
1000	32	16	|	75	-1	squared_l2
0.3717 %	0.4667 %	0.544508 %	0.6299366 %	|	0.8153 %	0.988 %	0.92774 %	0.9988 %	0.99701 %	0.973265 %	24649.216413497925
1000	32	16	|	90	-1	squared_l2
0.3715 %	0.46673 %	0.544623 %	0.6307387 %	|	0.8153 %	0.9882 %	0.92811 %	0.9991 %	0.99813 %	0.975188 %	28702.64458656311
1000	32	16	|	110	-1	squared_l2
0.3714 %	0.46674 %	0.544701 %	0.6312369 %	|	0.8154 %	0.9884 %	0.9283 %	0.9995 %	0.99871 %	0.976418 %	34468.639612197876
1000	32	16	|	130	-1	squared_l2
0.3717 %	0.46674 %	0.544737 %	0.6314652 %	|	0.8154 %	0.9885 %	0.92844 %	0.9997 %	0.99905 %	0.976974 %	40659.62862968445
1000	32	16	|	150	-1	squared_l2
0.3719 %	0.46674 %	0.544756 %	0.6315736 %	|	0.8154 %	0.9886 %	0.92847 %	0.9998 %	0.99911 %	0.977234 %	45460.62254905701
1000	32	16	|	170	-1	squared_l2
0.3718 %	0.46674 %	0.544761 %	0.6316266 %	|	0.8154 %	0.9886 %	0.92848 %	0.9999 %	0.99916 %	0.97735 %	51598.54006767273
1000	32	16	|	200	-1	squared_l2
0.3716 %	0.46674 %	0.544769 %	0.6316559 %	|	0.8154 %	0.9886 %	0.92852 %	0.9999 %	0.99924 %	0.977439 %	61649.12533760071
1000	32	16	|	220	-1	squared_l2
0.3716 %	0.46674 %	0.544769 %	0.6316647 %	|	0.8154 %	0.9886 %	0.92852 %	0.9999 %	0.99924 %	0.977464 %	65575.3722190857
1000	32	16	|	250	-1	squared_l2
0.3716 %	0.46674 %	0.54477 %	0.6316703 %	|	0.8154 %	0.9886 %	0.92852 %	0.9999 %	0.99925 %	0.977486 %	73603.32703590393
1000	32	16	|	310	-1	squared_l2
0.3716 %	0.46674 %	0.544772 %	0.6316732 %	|	0.8154 %	0.9886 %	0.92852 %	0.9999 %	0.99925 %	0.977499 %	92172.5332736969
1000	32	16	|	400	-1	squared_l2
0.3716 %	0.46674 %	0.544772 %	0.6316739 %	|	0.8154 %	0.9886 %	0.92852 %	0.9999 %	0.99925 %	0.9775 %	116743.91508102417
1000	32	16	|	500	-1	squared_l2
0.3716 %	0.46674 %	0.544772 %	0.6316739 %	|	0.8154 %	0.9886 %	0.92852 %	0.9999 %	0.99925 %	0.9775 %	142763.09442520142
1000	32	16	|	800	-1	squared_l2
0.3716 %	0.46674 %	0.544772 %	0.6316739 %	|	0.8154 %	0.9886 %	0.92852 %	0.9999 %	0.99925 %	0.9775 %	218468.90377998352
1000	32	16	|	1000	-1	squared_l2
0.3716 %	0.46674 %	0.544772 %	0.6316739 %	|	0.8154 %	0.9886 %	0.92852 %	0.9999 %	0.99925 %	0.9775 %	285215.38066864014
1000	64	16	|	1	-1	squared_l2
0.3319 %	0.35147 %	0.300172 %	0.1957039 %	|	0.4708 %	0.4742 %	0.40383 %	0.4742 %	0.40386 %	0.313886 %	1141.5202617645264
1000	64	16	|	2	-1	squared_l2
