Program: scann Topk: 1000 Num_split: 1 Batch: 128
L	Threashold	m	|	w	r	Metric
800	0.2	128	|	30	-1	dot_product
0.533 %	0.6352 %	0.7052 %	0.747438 %	|	0.949 %	0.971 %	0.9596 %	0.971 %	0.9612 %	0.94394 %	69.95248794555664
800	0.2	128	|	35	-1	dot_product
0.537 %	0.6377 %	0.70821 %	0.753996 %	|	0.958 %	0.98 %	0.9671 %	0.98 %	0.9688 %	0.95364 %	57.52301216125488
800	0.2	128	|	40	-1	dot_product
0.54 %	0.639 %	0.71058 %	0.75887 %	|	0.961 %	0.986 %	0.9721 %	0.986 %	0.9738 %	0.96128 %	52.69908905029297
800	0.2	128	|	45	-1	dot_product
0.54 %	0.6401 %	0.71214 %	0.762233 %	|	0.962 %	0.987 %	0.9757 %	0.987 %	0.9776 %	0.9669 %	71.1662769317627
800	0.2	128	|	50	-1	dot_product
0.541 %	0.6406 %	0.71389 %	0.765174 %	|	0.964 %	0.989 %	0.9793 %	0.989 %	0.9812 %	0.97193 %	80.63006401062012
800	0.2	128	|	55	-1	dot_product
0.541 %	0.6413 %	0.71476 %	0.767406 %	|	0.965 %	0.99 %	0.9819 %	0.99 %	0.9838 %	0.97573 %	61.33151054382324
800	0.2	128	|	60	-1	dot_product
0.541 %	0.6418 %	0.71576 %	0.76921 %	|	0.965 %	0.991 %	0.9841 %	0.991 %	0.9861 %	0.97867 %	60.09721755981445
800	0.2	128	|	65	-1	dot_product
0.542 %	0.6427 %	0.71641 %	0.770731 %	|	0.966 %	0.992 %	0.9857 %	0.992 %	0.988 %	0.98128 %	60.11366844177246
800	0.2	128	|	75	-1	dot_product
0.544 %	0.6436 %	0.71739 %	0.773067 %	|	0.969 %	0.995 %	0.9878 %	0.995 %	0.9901 %	0.98529 %	60.88137626647949
800	0.2	128	|	90	-1	dot_product
0.544 %	0.6445 %	0.71832 %	0.775483 %	|	0.969 %	0.995 %	0.9906 %	0.995 %	0.993 %	0.98973 %	115.23294448852539
800	0.2	128	|	110	-1	dot_product
0.543 %	0.6447 %	0.7193 %	0.777386 %	|	0.968 %	0.995 %	0.9932 %	0.995 %	0.9956 %	0.99344 %	147.83406257629395
800	0.2	128	|	130	-1	dot_product
0.543 %	0.6451 %	0.71978 %	0.77855 %	|	0.968 %	0.995 %	0.9944 %	0.995 %	0.9969 %	0.99561 %	138.01860809326172
800	0.2	128	|	150	-1	dot_product
0.544 %	0.6455 %	0.72001 %	0.779336 %	|	0.969 %	0.996 %	0.9956 %	0.996 %	0.9981 %	0.997 %	138.09967041015625
800	0.2	128	|	170	-1	dot_product
0.545 %	0.6461 %	0.72021 %	0.779797 %	|	0.971 %	0.998 %	0.9964 %	0.998 %	0.9991 %	0.99791 %	153.4407138824463
800	0.2	128	|	200	-1	dot_product
0.546 %	0.6461 %	0.72038 %	0.780298 %	|	0.972 %	0.999 %	0.9967 %	0.999 %	0.9994 %	0.99874 %	172.05476760864258
800	0.2	128	|	220	-1	dot_product
0.546 %	0.6461 %	0.72044 %	0.78054 %	|	0.972 %	0.999 %	0.9968 %	0.999 %	0.9995 %	0.99915 %	140.20133018493652
800	0.2	128	|	250	-1	dot_product
0.546 %	0.6462 %	0.7205 %	0.780754 %	|	0.973 %	1.0 %	0.997 %	1.0 %	0.9997 %	0.99951 %	139.1284465789795
800	0.2	128	|	310	-1	dot_product
0.546 %	0.6463 %	0.72055 %	0.78095 %	|	0.973 %	1.0 %	0.9973 %	1.0 %	1.0 %	0.9998 %	156.39042854309082
800	0.2	128	|	400	-1	dot_product
0.546 %	0.6463 %	0.72058 %	0.781043 %	|	0.973 %	1.0 %	0.9973 %	1.0 %	1.0 %	0.9999 %	232.47623443603516
800	0.2	128	|	500	-1	dot_product
0.546 %	0.6463 %	0.72058 %	0.781069 %	|	0.973 %	1.0 %	0.9973 %	1.0 %	1.0 %	0.99993 %	262.85719871520996
800	0.2	128	|	800	-1	dot_product
0.546 %	0.6463 %	0.72058 %	0.781078 %	|	0.973 %	1.0 %	0.9973 %	1.0 %	1.0 %	0.99993 %	349.6589660644531
800	0.2	64	|	1	-1	dot_product
0.116 %	0.1952 %	0.25004 %	0.233737 %	|	0.329 %	0.404 %	0.3708 %	0.408 %	0.385 %	0.33629 %	35.82358360290527
800	0.2	64	|	2	-1	dot_product
0.142 %	0.2344 %	0.31312 %	0.337482 %	|	0.423 %	0.57 %	0.5134 %	0.577 %	0.5476 %	0.4911 %	29.02984619140625
800	0.2	64	|	4	-1	dot_product
0.159 %	0.2652 %	0.35539 %	0.417025 %	|	0.508 %	0.723 %	0.6352 %	0.741 %	0.7026 %	0.64316 %	31.405925750732422
800	0.2	64	|	8	-1	dot_product
0.164 %	0.2778 %	0.37792 %	0.46723 %	|	0.553 %	0.828 %	0.7189 %	0.856 %	0.8284 %	0.76502 %	36.57388687133789
800	0.2	64	|	16	-1	dot_product
0.165 %	0.2829 %	0.38959 %	0.494003 %	|	0.581 %	0.891 %	0.7645 %	0.927 %	0.9091 %	0.84938 %	54.45218086242676
800	0.2	64	|	25	-1	dot_product
0.163 %	0.2857 %	0.39306 %	0.502909 %	|	0.591 %	0.918 %	0.7816 %	0.96 %	0.946 %	0.88325 %	63.956499099731445
800	0.2	64	|	30	-1	dot_product
0.162 %	0.2858 %	0.39415 %	0.505423 %	|	0.591 %	0.926 %	0.7877 %	0.971 %	0.9571 %	0.89374 %	57.85989761352539
800	0.2	64	|	35	-1	dot_product
0.162 %	0.2864 %	0.39457 %	0.506994 %	|	0.596 %	0.933 %	0.7913 %	0.98 %	0.9644 %	0.89986 %	50.27890205383301
800	0.2	64	|	40	-1	dot_product
0.162 %	0.2854 %	0.39473 %	0.508001 %	|	0.594 %	0.936 %	0.7919 %	0.986 %	0.9692 %	0.90438 %	55.48882484436035
800	0.2	64	|	45	-1	dot_product
0.162 %	0.2854 %	0.3949 %	0.508758 %	|	0.593 %	0.936 %	0.7932 %	0.987 %	0.9727 %	0.90787 %	60.88900566101074
800	0.2	64	|	50	-1	dot_product
0.162 %	0.2857 %	0.39498 %	0.509481 %	|	0.593 %	0.937 %	0.7942 %	0.989 %	0.976 %	0.91094 %	59.47756767272949
800	0.2	64	|	55	-1	dot_product
0.162 %	0.2856 %	0.39513 %	0.51005 %	|	0.592 %	0.937 %	0.7955 %	0.99 %	0.9785 %	0.9131 %	61.39779090881348
800	0.2	64	|	60	-1	dot_product
0.162 %	0.2858 %	0.39527 %	0.51043 %	|	0.592 %	0.938 %	0.7965 %	0.991 %	0.9807 %	0.91485 %	59.38911437988281
800	0.2	64	|	65	-1	dot_product
0.162 %	0.2859 %	0.39541 %	0.510722 %	|	0.593 %	0.939 %	0.7973 %	0.992 %	0.9826 %	0.9164 %	81.24613761901855
800	0.2	64	|	75	-1	dot_product
0.162 %	0.2859 %	0.39546 %	0.511154 %	|	0.594 %	0.941 %	0.7981 %	0.995 %	0.9846 %	0.91865 %	62.52574920654297
800	0.2	64	|	90	-1	dot_product
0.162 %	0.2861 %	0.39541 %	0.511517 %	|	0.594 %	0.94 %	0.7985 %	0.995 %	0.9871 %	0.92086 %	85.33954620361328
800	0.2	64	|	110	-1	dot_product
0.162 %	0.2859 %	0.39558 %	0.511811 %	|	0.592 %	0.94 %	0.7994 %	0.995 %	0.9895 %	0.92286 %	102.84876823425293
800	0.2	64	|	130	-1	dot_product
0.162 %	0.286 %	0.39559 %	0.511941 %	|	0.592 %	0.939 %	0.7996 %	0.995 %	0.9907 %	0.9238 %	103.1646728515625
800	0.2	64	|	150	-1	dot_product
0.162 %	0.286 %	0.39558 %	0.512071 %	|	0.591 %	0.939 %	0.7996 %	0.996 %	0.9919 %	0.92435 %	113.06929588317871
800	0.2	64	|	170	-1	dot_product
0.162 %	0.2861 %	0.39562 %	0.512106 %	|	0.591 %	0.939 %	0.8 %	0.998 %	0.9929 %	0.92468 %	98.94323348999023
800	0.2	64	|	200	-1	dot_product
0.162 %	0.2861 %	0.39563 %	0.512161 %	|	0.592 %	0.94 %	0.7999 %	0.999 %	0.9932 %	0.92504 %	121.25515937805176
800	0.2	64	|	220	-1	dot_product
0.162 %	0.2861 %	0.39565 %	0.512177 %	|	0.592 %	0.94 %	0.7999 %	0.999 %	0.9933 %	0.92513 %	117.65265464782715
800	0.2	64	|	250	-1	dot_product
0.162 %	0.2862 %	0.39564 %	0.512213 %	|	0.593 %	0.941 %	0.7999 %	1.0 %	0.9935 %	0.92531 %	114.64071273803711
800	0.2	64	|	310	-1	dot_product
0.162 %	0.2862 %	0.39564 %	0.51221 %	|	0.593 %	0.941 %	0.8 %	1.0 %	0.9937 %	0.92536 %	120.82910537719727
800	0.2	64	|	400	-1	dot_product
0.162 %	0.2862 %	0.39564 %	0.512221 %	|	0.593 %	0.941 %	0.8 %	1.0 %	0.9937 %	0.92541 %	132.86304473876953
800	0.2	64	|	500	-1	dot_product
0.162 %	0.2862 %	0.39564 %	0.512224 %	|	0.593 %	0.941 %	0.8 %	1.0 %	0.9937 %	0.92542 %	191.57910346984863
800	0.2	64	|	800	-1	dot_product
