Program: faiss Topk: 1000 Num_split: 20 Batch: 128
L	m	k_star	|	w	Reorder	Metric
7000	24	256	|	16	-1	squared_l2
0.0417 %	0.04794 %	0.046317 %	0.0447387 %	|	0.0482 %	0.0486 %	0.04851 %	0.0488 %	0.04869 %	0.046598 %	59563.57002258301
7000	24	256	|	32	-1	squared_l2
0.0424 %	0.04952 %	0.048406 %	0.047632 %	|	0.0492 %	0.0496 %	0.05019 %	0.0498 %	0.05038 %	0.048699 %	102671.68521881104
7000	24	256	|	64	-1	squared_l2
0.0429 %	0.05028 %	0.049373 %	0.0491375 %	|	0.0499 %	0.0503 %	0.05095 %	0.0505 %	0.05115 %	0.049678 %	185203.18984985352
7000	24	256	|	128	-1	squared_l2
0.0431 %	0.05049 %	0.049759 %	0.0498135 %	|	0.0502 %	0.0506 %	0.05118 %	0.0508 %	0.05137 %	0.050073 %	341706.08043670654
7000	24	256	|	256	-1	squared_l2
0.0431 %	0.05062 %	0.049914 %	0.0500614 %	|	0.0502 %	0.0506 %	0.05131 %	0.0508 %	0.05151 %	0.050231 %	639590.4397964478
7000	24	256	|	320	-1	squared_l2
0.0431 %	0.05062 %	0.049936 %	0.0500988 %	|	0.0502 %	0.0506 %	0.05132 %	0.0508 %	0.05151 %	0.050252 %	783803.1101226807
7000	24	256	|	384	-1	squared_l2
0.0431 %	0.05063 %	0.049947 %	0.0501171 %	|	0.0502 %	0.0506 %	0.05133 %	0.0508 %	0.05152 %	0.050263 %	925650.577545166
7000	24	256	|	448	-1	squared_l2
0.0431 %	0.05063 %	0.049954 %	0.0501296 %	|	0.0502 %	0.0506 %	0.05133 %	0.0508 %	0.05152 %	0.05027 %	1070215.7402038574
7000	24	256	|	512	-1	squared_l2
0.0431 %	0.05063 %	0.049954 %	0.0501365 %	|	0.0502 %	0.0506 %	0.05133 %	0.0508 %	0.05152 %	0.050271 %	1211768.8655853271
7000	24	256	|	576	-1	squared_l2
0.0431 %	0.05063 %	0.049955 %	0.0501412 %	|	0.0502 %	0.0506 %	0.05133 %	0.0508 %	0.05152 %	0.050273 %	1350863.7619018555
7000	24	256	|	640	-1	squared_l2
0.0431 %	0.05063 %	0.049956 %	0.0501435 %	|	0.0502 %	0.0506 %	0.05133 %	0.0508 %	0.05152 %	0.050274 %	1495566.577911377
7000	24	256	|	704	-1	squared_l2
0.0431 %	0.05063 %	0.049956 %	0.0501458 %	|	0.0502 %	0.0506 %	0.05133 %	0.0508 %	0.05152 %	0.050274 %	1623305.6449890137
7000	24	256	|	768	-1	squared_l2
0.0431 %	0.05063 %	0.049956 %	0.050148 %	|	0.0502 %	0.0506 %	0.05133 %	0.0508 %	0.05152 %	0.050274 %	1759019.4034576416
7000	24	256	|	1024	-1	squared_l2
0.0431 %	0.05063 %	0.049958 %	0.0501512 %	|	0.0502 %	0.0506 %	0.05133 %	0.0508 %	0.05152 %	0.050276 %	2309361.0191345215
7000	12	256	|	1	-1	squared_l2
0.018 %	0.02155 %	0.020532 %	0.0183526 %	|	0.0254 %	0.0262 %	0.024 %	0.0267 %	0.02453 %	0.021454 %	13738.4033203125
7000	12	256	|	16	-1	squared_l2
0.0281 %	0.03875 %	0.041794 %	0.0432676 %	|	0.0442 %	0.0477 %	0.04733 %	0.0486 %	0.04857 %	0.046363 %	38230.791091918945
7000	12	256	|	32	-1	squared_l2
0.0281 %	0.03946 %	0.043067 %	0.0456199 %	|	0.045 %	0.0487 %	0.04885 %	0.0496 %	0.05026 %	0.048405 %	61534.81960296631
7000	12	256	|	64	-1	squared_l2
0.0282 %	0.03976 %	0.043578 %	0.0467003 %	|	0.0455 %	0.0493 %	0.04944 %	0.0503 %	0.05102 %	0.049347 %	106302.73342132568
7000	12	256	|	128	-1	squared_l2
0.0283 %	0.03979 %	0.043721 %	0.0471021 %	|	0.0456 %	0.0495 %	0.04955 %	0.0506 %	0.05124 %	0.0497 %	191322.65090942383
7000	12	256	|	256	-1	squared_l2
0.0283 %	0.03985 %	0.043777 %	0.0472227 %	|	0.0456 %	0.0495 %	0.04966 %	0.0506 %	0.05137 %	0.049836 %	353994.7557449341
7000	12	256	|	320	-1	squared_l2
0.0283 %	0.03985 %	0.04378 %	0.047235 %	|	0.0456 %	0.0495 %	0.04966 %	0.0506 %	0.05137 %	0.04985 %	433022.97592163086
7000	12	256	|	384	-1	squared_l2
0.0283 %	0.03985 %	0.043781 %	0.0472416 %	|	0.0456 %	0.0495 %	0.04967 %	0.0506 %	0.05138 %	0.049858 %	511242.8140640259
7000	12	256	|	448	-1	squared_l2
0.0283 %	0.03985 %	0.043782 %	0.0472452 %	|	0.0456 %	0.0495 %	0.04967 %	0.0506 %	0.05138 %	0.049864 %	588183.4840774536
7000	12	256	|	512	-1	squared_l2
