Program: faiss Topk: 1000 Num_split: 20 Batch: 128
L	m	k_star	|	w	Reorder	Metric
0.0431 %	0.04657 %	0.04505 %	0.043082 %	|	0.0473 %	0.0473 %	0.04662 %	0.0473 %	0.04662 %	0.045056 %	89472.68486022949
7000	32	256	|	32	-1	squared_l2
0.0449 %	0.0487 %	0.04776 %	0.0467107 %	|	0.0495 %	0.0495 %	0.04877 %	0.0495 %	0.04877 %	0.047766 %	158189.33486938477
7000	32	256	|	64	-1	squared_l2
0.045 %	0.04956 %	0.049094 %	0.0487832 %	|	0.0497 %	0.0497 %	0.04966 %	0.0497 %	0.04966 %	0.049102 %	286498.42739105225
7000	32	256	|	128	-1	squared_l2
0.045 %	0.04974 %	0.04961 %	0.0497298 %	|	0.0498 %	0.0498 %	0.04986 %	0.0498 %	0.04986 %	0.04962 %	533819.3511962891
7000	32	256	|	256	-1	squared_l2
0.045 %	0.04981 %	0.049749 %	0.0500445 %	|	0.0498 %	0.0498 %	0.04993 %	0.0498 %	0.04993 %	0.049759 %	1012422.9907989502
7000	32	256	|	320	-1	squared_l2
0.045 %	0.04983 %	0.049767 %	0.0500824 %	|	0.0498 %	0.0498 %	0.04995 %	0.0498 %	0.04995 %	0.049777 %	1242135.38646698
7000	32	256	|	384	-1	squared_l2
0.045 %	0.04985 %	0.049776 %	0.0501034 %	|	0.0498 %	0.0498 %	0.04997 %	0.0498 %	0.04997 %	0.049787 %	1470236.086845398
7000	32	256	|	448	-1	squared_l2
0.045 %	0.04986 %	0.049779 %	0.0501159 %	|	0.0498 %	0.0498 %	0.04998 %	0.0498 %	0.04998 %	0.04979 %	1710114.74609375
7000	32	256	|	512	-1	squared_l2
0.045 %	0.04986 %	0.049781 %	0.0501233 %	|	0.0498 %	0.0498 %	0.04998 %	0.0498 %	0.04998 %	0.049792 %	1940435.996055603
7000	32	256	|	576	-1	squared_l2
0.045 %	0.04986 %	0.049782 %	0.0501274 %	|	0.0498 %	0.0498 %	0.04998 %	0.0498 %	0.04998 %	0.049793 %	2167889.485359192
7000	32	256	|	640	-1	squared_l2
0.045 %	0.04986 %	0.049784 %	0.05013 %	|	0.0498 %	0.0498 %	0.04999 %	0.0498 %	0.04999 %	0.049795 %	2405940.8235549927
7000	32	256	|	704	-1	squared_l2
0.045 %	0.04986 %	0.049785 %	0.050132 %	|	0.0498 %	0.0498 %	0.04999 %	0.0498 %	0.04999 %	0.049796 %	2655247.902870178
7000	32	256	|	768	-1	squared_l2
0.045 %	0.04986 %	0.049785 %	0.050133 %	|	0.0498 %	0.0498 %	0.04999 %	0.0498 %	0.04999 %	0.049796 %	2839144.4969177246
7000	32	256	|	1024	-1	squared_l2
0.045 %	0.04986 %	0.049785 %	0.0501345 %	|	0.0498 %	0.0498 %	0.04999 %	0.0498 %	0.04999 %	0.049796 %	3721195.363998413
7000	16	256	|	1	-1	squared_l2
0.0185 %	0.02096 %	0.018989 %	0.0161278 %	|	0.022 %	0.022 %	0.0213 %	0.022 %	0.0213 %	0.019044 %	17387.39013671875
7000	16	256	|	16	-1	squared_l2
0.0349 %	0.04445 %	0.044498 %	0.0430172 %	|	0.0462 %	0.0473 %	0.04658 %	0.0473 %	0.04662 %	0.045055 %	49822.731018066406
7000	16	256	|	32	-1	squared_l2
0.0361 %	0.04617 %	0.046984 %	0.0465829 %	|	0.0482 %	0.0495 %	0.04871 %	0.0495 %	0.04877 %	0.047764 %	81203.72772216797
7000	16	256	|	64	-1	squared_l2
0.0362 %	0.04675 %	0.048151 %	0.0485733 %	|	0.0484 %	0.0497 %	0.04957 %	0.0497 %	0.04966 %	0.049098 %	139746.00791931152
7000	16	256	|	128	-1	squared_l2
0.0363 %	0.04684 %	0.048548 %	0.0494487 %	|	0.0485 %	0.0498 %	0.04977 %	0.0498 %	0.04986 %	0.049614 %	253523.12088012695
7000	16	256	|	256	-1	squared_l2
0.0363 %	0.04687 %	0.048657 %	0.0497221 %	|	0.0485 %	0.0498 %	0.04984 %	0.0498 %	0.04993 %	0.049752 %	475057.12032318115
7000	16	256	|	320	-1	squared_l2
0.0363 %	0.04689 %	0.048668 %	0.0497525 %	|	0.0485 %	0.0498 %	0.04986 %	0.0498 %	0.04995 %	0.04977 %	582356.9440841675
7000	16	256	|	384	-1	squared_l2
0.0363 %	0.04689 %	0.048676 %	0.0497698 %	|	0.0485 %	0.0498 %	0.04988 %	0.0498 %	0.04997 %	0.04978 %	689076.5905380249
7000	16	256	|	448	-1	squared_l2
0.0363 %	0.04689 %	0.048679 %	0.0497789 %	|	0.0485 %	0.0498 %	0.04989 %	0.0498 %	0.04998 %	0.049783 %	798495.4214096069
7000	16	256	|	512	-1	squared_l2
