Program: scann Topk: 1000 Num_split: 1 Batch: 1
L	Threashold	m	|	w	r	Metric
4000	0.2	256	|	2048	-1	squared_l2
0.87 %	0.876 %	0.9113 %	0.93328 %	|	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	74972.62954711914
4000	0.2	128	|	1	-1	squared_l2
0.23 %	0.214 %	0.1613 %	0.0805 %	|	0.28 %	0.28 %	0.221 %	0.28 %	0.221 %	0.1615 %	2034.4257354736328
4000	0.2	128	|	2	-1	squared_l2
0.33 %	0.318 %	0.2561 %	0.13655 %	|	0.42 %	0.42 %	0.351 %	0.42 %	0.351 %	0.2583 %	2177.882194519043
4000	0.2	128	|	4	-1	squared_l2
0.44 %	0.418 %	0.3687 %	0.22051 %	|	0.58 %	0.58 %	0.486 %	0.58 %	0.486 %	0.3818 %	2467.942237854004
4000	0.2	128	|	8	-1	squared_l2
0.44 %	0.494 %	0.4863 %	0.34104 %	|	0.67 %	0.67 %	0.634 %	0.67 %	0.634 %	0.5278 %	2813.386917114258
4000	0.2	128	|	16	-1	squared_l2
0.5 %	0.55 %	0.5799 %	0.47122 %	|	0.75 %	0.75 %	0.742 %	0.75 %	0.742 %	0.658 %	3137.5885009765625
4000	0.2	128	|	25	-1	squared_l2
0.55 %	0.593 %	0.6269 %	0.55616 %	|	0.83 %	0.83 %	0.811 %	0.83 %	0.811 %	0.7352 %	3469.5863723754883
4000	0.2	128	|	30	-1	squared_l2
0.56 %	0.607 %	0.6454 %	0.58816 %	|	0.85 %	0.85 %	0.846 %	0.85 %	0.846 %	0.7685 %	3602.290153503418
4000	0.2	128	|	35	-1	squared_l2
0.59 %	0.62 %	0.6609 %	0.6138 %	|	0.88 %	0.88 %	0.873 %	0.88 %	0.873 %	0.796 %	3782.963752746582
4000	0.2	128	|	40	-1	squared_l2
0.6 %	0.628 %	0.6707 %	0.6344 %	|	0.89 %	0.89 %	0.893 %	0.89 %	0.893 %	0.8163 %	3918.7192916870117
4000	0.2	128	|	45	-1	squared_l2
0.62 %	0.629 %	0.6783 %	0.65157 %	|	0.91 %	0.91 %	0.907 %	0.91 %	0.908 %	0.8331 %	4094.7675704956055
4000	0.2	128	|	50	-1	squared_l2
0.63 %	0.628 %	0.6849 %	0.66743 %	|	0.92 %	0.92 %	0.916 %	0.92 %	0.917 %	0.8474 %	4233.074188232422
4000	0.2	128	|	55	-1	squared_l2
0.63 %	0.633 %	0.6907 %	0.68026 %	|	0.92 %	0.92 %	0.921 %	0.92 %	0.922 %	0.8605 %	4381.990432739258
4000	0.2	128	|	60	-1	squared_l2
0.62 %	0.638 %	0.695 %	0.69088 %	|	0.92 %	0.92 %	0.928 %	0.92 %	0.929 %	0.8712 %	4535.770416259766
4000	0.2	128	|	65	-1	squared_l2
0.62 %	0.641 %	0.6981 %	0.69978 %	|	0.93 %	0.93 %	0.932 %	0.93 %	0.933 %	0.8794 %	4681.205749511719
4000	0.2	128	|	75	-1	squared_l2
0.63 %	0.643 %	0.7048 %	0.71584 %	|	0.96 %	0.97 %	0.944 %	0.97 %	0.945 %	0.8952 %	4987.907409667969
4000	0.2	128	|	90	-1	squared_l2
0.63 %	0.643 %	0.7104 %	0.73314 %	|	0.96 %	0.98 %	0.952 %	0.98 %	0.953 %	0.9129 %	5403.18489074707
4000	0.2	128	|	110	-1	squared_l2
0.64 %	0.646 %	0.7185 %	0.74815 %	|	0.98 %	1.0 %	0.963 %	1.0 %	0.964 %	0.9314 %	5933.713912963867
4000	0.2	128	|	130	-1	squared_l2
0.64 %	0.649 %	0.7225 %	0.75962 %	|	0.98 %	1.0 %	0.97 %	1.0 %	0.971 %	0.9436 %	6448.483467102051
4000	0.2	128	|	150	-1	squared_l2
0.64 %	0.651 %	0.7276 %	0.76754 %	|	0.98 %	1.0 %	0.978 %	1.0 %	0.979 %	0.9541 %	7036.352157592773
4000	0.2	128	|	170	-1	squared_l2
0.64 %	0.653 %	0.7306 %	0.77412 %	|	0.98 %	1.0 %	0.983 %	1.0 %	0.984 %	0.9623 %	7512.807846069336
4000	0.2	128	|	200	-1	squared_l2
0.64 %	0.652 %	0.7349 %	0.78147 %	|	0.98 %	1.0 %	0.986 %	1.0 %	0.987 %	0.9711 %	8313.632011413574
4000	0.2	128	|	220	-1	squared_l2
0.64 %	0.654 %	0.7363 %	0.7846 %	|	0.98 %	1.0 %	0.991 %	1.0 %	0.992 %	0.9747 %	8893.823623657227
4000	0.2	128	|	250	-1	squared_l2
0.64 %	0.653 %	0.7373 %	0.78856 %	|	0.97 %	1.0 %	0.992 %	1.0 %	0.993 %	0.9784 %	9693.264961242676
4000	0.2	128	|	310	-1	squared_l2
0.64 %	0.652 %	0.7397 %	0.79376 %	|	0.97 %	1.0 %	0.998 %	1.0 %	0.999 %	0.9854 %	11044.073104858398
4000	0.2	128	|	400	-1	squared_l2
0.64 %	0.652 %	0.7415 %	0.79811 %	|	0.97 %	1.0 %	0.998 %	1.0 %	1.0 %	0.9924 %	13222.193717956543
4000	0.2	128	|	500	-1	squared_l2
0.64 %	0.652 %	0.7421 %	0.8003 %	|	0.97 %	1.0 %	0.998 %	1.0 %	1.0 %	0.9952 %	15373.086929321289
4000	0.2	128	|	800	-1	squared_l2
0.64 %	0.652 %	0.7422 %	0.80335 %	|	0.97 %	1.0 %	0.998 %	1.0 %	1.0 %	0.9986 %	22341.87126159668
4000	0.2	128	|	1000	-1	squared_l2
0.64 %	0.652 %	0.7423 %	0.80382 %	|	0.97 %	1.0 %	0.998 %	1.0 %	1.0 %	0.9994 %	26653.146743774414
4000	0.2	128	|	1250	-1	squared_l2
0.64 %	0.652 %	0.7424 %	0.80413 %	|	0.97 %	1.0 %	0.998 %	1.0 %	1.0 %	0.9996 %	32306.456565856934
4000	0.2	128	|	1500	-1	squared_l2
0.64 %	0.652 %	0.7425 %	0.80405 %	|	0.97 %	1.0 %	0.998 %	1.0 %	1.0 %	0.9997 %	38013.10062408447
4000	0.2	128	|	1750	-1	squared_l2
0.64 %	0.652 %	0.7425 %	0.80415 %	|	0.97 %	1.0 %	0.998 %	1.0 %	1.0 %	0.9998 %	43518.61476898193
4000	0.2	128	|	1900	-1	squared_l2
0.64 %	0.652 %	0.7425 %	0.80419 %	|	0.97 %	1.0 %	0.998 %	1.0 %	1.0 %	0.9998 %	46719.31266784668
4000	0.2	128	|	2000	-1	squared_l2
0.64 %	0.652 %	0.7426 %	0.80421 %	|	0.97 %	1.0 %	0.998 %	1.0 %	1.0 %	0.9999 %	48944.25868988037
4000	0.2	128	|	2048	-1	squared_l2
0.64 %	0.652 %	0.7426 %	0.80422 %	|	0.97 %	1.0 %	0.998 %	1.0 %	1.0 %	0.9999 %	49906.49223327637
4000	0.2	64	|	1	-1	squared_l2
0.11 %	0.159 %	0.1554 %	0.08121 %	|	0.26 %	0.29 %	0.224 %	0.29 %	0.224 %	0.162 %	2370.4051971435547
4000	0.2	64	|	2	-1	squared_l2
0.13 %	0.204 %	0.2303 %	0.13672 %	|	0.36 %	0.42 %	0.347 %	0.42 %	0.352 %	0.2588 %	2187.3950958251953
4000	0.2	64	|	4	-1	squared_l2
0.17 %	0.239 %	0.3066 %	0.22033 %	|	0.43 %	0.58 %	0.475 %	0.58 %	0.487 %	0.3822 %	2460.193634033203
4000	0.2	64	|	8	-1	squared_l2
0.15 %	0.272 %	0.3686 %	0.33194 %	|	0.49 %	0.67 %	0.595 %	0.67 %	0.634 %	0.5272 %	2770.709991455078
4000	0.2	64	|	16	-1	squared_l2
0.17 %	0.297 %	0.4066 %	0.42831 %	|	0.54 %	0.74 %	0.663 %	0.75 %	0.742 %	0.6558 %	3041.553497314453
4000	0.2	64	|	25	-1	squared_l2
0.18 %	0.311 %	0.4242 %	0.47504 %	|	0.56 %	0.8 %	0.708 %	0.83 %	0.811 %	0.7285 %	3301.215171813965
4000	0.2	64	|	30	-1	squared_l2
0.18 %	0.314 %	0.4305 %	0.49048 %	|	0.56 %	0.82 %	0.736 %	0.85 %	0.845 %	0.7588 %	3421.4019775390625
4000	0.2	64	|	35	-1	squared_l2
0.19 %	0.322 %	0.4355 %	0.50294 %	|	0.58 %	0.85 %	0.754 %	0.88 %	0.872 %	0.7833 %	3524.613380432129
4000	0.2	64	|	40	-1	squared_l2
0.19 %	0.323 %	0.4382 %	0.51187 %	|	0.59 %	0.86 %	0.767 %	0.89 %	0.891 %	0.8012 %	3667.3545837402344
4000	0.2	64	|	45	-1	squared_l2
0.2 %	0.326 %	0.4412 %	0.51915 %	|	0.6 %	0.88 %	0.777 %	0.91 %	0.906 %	0.8155 %	3766.179084777832
4000	0.2	64	|	50	-1	squared_l2
0.2 %	0.327 %	0.4416 %	0.5248 %	|	0.6 %	0.89 %	0.782 %	0.92 %	0.915 %	0.8273 %	3853.1064987182617
4000	0.2	64	|	55	-1	squared_l2
0.2 %	0.326 %	0.4424 %	0.52909 %	|	0.6 %	0.89 %	0.78 %	0.92 %	0.92 %	0.8382 %	3980.541229248047
4000	0.2	64	|	60	-1	squared_l2
0.2 %	0.328 %	0.4435 %	0.53205 %	|	0.6 %	0.89 %	0.785 %	0.92 %	0.927 %	0.8462 %	4066.0858154296875
4000	0.2	64	|	65	-1	squared_l2
0.2 %	0.327 %	0.4435 %	0.53449 %	|	0.6 %	0.9 %	0.786 %	0.93 %	0.931 %	0.8521 %	4175.9490966796875
4000	0.2	64	|	75	-1	squared_l2
0.21 %	0.328 %	0.4437 %	0.54017 %	|	0.63 %	0.94 %	0.787 %	0.97 %	0.943 %	0.8635 %	4377.102851867676
4000	0.2	64	|	90	-1	squared_l2
0.2 %	0.328 %	0.4458 %	0.5449 %	|	0.63 %	0.95 %	0.791 %	0.98 %	0.95 %	0.8747 %	4690.52791595459
4000	0.2	64	|	110	-1	squared_l2
0.21 %	0.331 %	0.4478 %	0.54719 %	|	0.65 %	0.97 %	0.795 %	1.0 %	0.959 %	0.8865 %	5048.012733459473
4000	0.2	64	|	130	-1	squared_l2
0.21 %	0.332 %	0.4479 %	0.54999 %	|	0.65 %	0.97 %	0.801 %	1.0 %	0.964 %	0.8933 %	5416.107177734375
4000	0.2	64	|	150	-1	squared_l2
0.21 %	0.331 %	0.4491 %	0.55184 %	|	0.65 %	0.97 %	0.801 %	1.0 %	0.972 %	0.9004 %	5789.303779602051
4000	0.2	64	|	170	-1	squared_l2
0.21 %	0.332 %	0.4486 %	0.55312 %	|	0.65 %	0.97 %	0.803 %	1.0 %	0.977 %	0.9049 %	6152.176856994629
4000	0.2	64	|	200	-1	squared_l2
0.21 %	0.333 %	0.4481 %	0.55459 %	|	0.65 %	0.97 %	0.802 %	1.0 %	0.979 %	0.9093 %	6684.708595275879
4000	0.2	64	|	220	-1	squared_l2
0.21 %	0.334 %	0.4478 %	0.55469 %	|	0.65 %	0.97 %	0.804 %	1.0 %	0.983 %	0.911 %	6994.65274810791
4000	0.2	64	|	250	-1	squared_l2
0.2 %	0.334 %	0.4481 %	0.55509 %	|	0.65 %	0.97 %	0.804 %	1.0 %	0.984 %	0.9125 %	7581.305503845215
4000	0.2	64	|	310	-1	squared_l2
0.19 %	0.336 %	0.4481 %	0.55545 %	|	0.65 %	0.97 %	0.806 %	1.0 %	0.99 %	0.9162 %	8523.964881896973
4000	0.2	64	|	400	-1	squared_l2
0.19 %	0.337 %	0.4489 %	0.55592 %	|	0.65 %	0.97 %	0.805 %	1.0 %	0.99 %	0.9197 %	10097.289085388184
4000	0.2	64	|	500	-1	squared_l2
0.19 %	0.335 %	0.4488 %	0.55561 %	|	0.65 %	0.97 %	0.802 %	1.0 %	0.989 %	0.9204 %	11579.728126525879
4000	0.2	64	|	800	-1	squared_l2
0.19 %	0.333 %	0.448 %	0.55484 %	|	0.64 %	0.97 %	0.8 %	1.0 %	0.989 %	0.9201 %	16360.902786254883
4000	0.2	64	|	1000	-1	squared_l2
0.19 %	0.333 %	0.4481 %	0.55451 %	|	0.64 %	0.97 %	0.799 %	1.0 %	0.989 %	0.9202 %	19182.276725769043
4000	0.2	64	|	1250	-1	squared_l2
0.19 %	0.333 %	0.448 %	0.55433 %	|	0.64 %	0.97 %	0.799 %	1.0 %	0.989 %	0.9199 %	22972.03540802002
4000	0.2	64	|	1500	-1	squared_l2
0.19 %	0.333 %	0.448 %	0.55414 %	|	0.64 %	0.97 %	0.799 %	1.0 %	0.989 %	0.9197 %	26581.954956054688
4000	0.2	64	|	1750	-1	squared_l2
0.19 %	0.333 %	0.448 %	0.55404 %	|	0.64 %	0.97 %	0.799 %	1.0 %	0.989 %	0.9197 %	30277.180671691895
4000	0.2	64	|	1900	-1	squared_l2
0.19 %	0.333 %	0.448 %	0.55396 %	|	0.64 %	0.97 %	0.799 %	1.0 %	0.989 %	0.9197 %	32400.2742767334
4000	0.2	64	|	2000	-1	squared_l2
0.19 %	0.333 %	0.448 %	0.55395 %	|	0.64 %	0.97 %	0.799 %	1.0 %	0.989 %	0.9197 %	33819.41318511963
4000	0.2	64	|	2048	-1	squared_l2
0.19 %	0.333 %	0.448 %	0.55396 %	|	0.64 %	0.97 %	0.799 %	1.0 %	0.989 %	0.9197 %	34505.629539489746
4000	0.2	32	|	1	-1	squared_l2
0.04 %	0.115 %	0.1333 %	0.08056 %	|	0.16 %	0.26 %	0.208 %	0.26 %	0.222 %	0.1606 %	2005.6724548339844
4000	0.2	32	|	2	-1	squared_l2
0.06 %	0.115 %	0.1813 %	0.13694 %	|	0.18 %	0.4 %	0.307 %	0.42 %	0.351 %	0.2593 %	2158.1172943115234
4000	0.2	32	|	4	-1	squared_l2
0.04 %	0.12 %	0.2205 %	0.21795 %	|	0.23 %	0.51 %	0.385 %	0.58 %	0.489 %	0.3821 %	2443.3374404907227
4000	0.2	32	|	8	-1	squared_l2
0.04 %	0.144 %	0.2458 %	0.30742 %	|	0.27 %	0.54 %	0.44 %	0.68 %	0.632 %	0.5185 %	2740.001678466797
4000	0.2	32	|	16	-1	squared_l2
0.05 %	0.148 %	0.2532 %	0.35857 %	|	0.25 %	0.57 %	0.466 %	0.75 %	0.723 %	0.614 %	2982.8548431396484
4000	0.2	32	|	25	-1	squared_l2
0.04 %	0.14 %	0.2535 %	0.37391 %	|	0.25 %	0.6 %	0.476 %	0.81 %	0.77 %	0.6494 %	3260.7555389404297
4000	0.2	32	|	30	-1	squared_l2
0.05 %	0.141 %	0.2542 %	0.37818 %	|	0.27 %	0.62 %	0.48 %	0.83 %	0.793 %	0.6622 %	3362.298011779785
4000	0.2	32	|	35	-1	squared_l2
0.05 %	0.144 %	0.2528 %	0.38037 %	|	0.29 %	0.65 %	0.482 %	0.86 %	0.81 %	0.6729 %	3452.1102905273438
4000	0.2	32	|	40	-1	squared_l2
0.05 %	0.143 %	0.2518 %	0.38184 %	|	0.28 %	0.64 %	0.485 %	0.85 %	0.823 %	0.6749 %	3546.762466430664
4000	0.2	32	|	45	-1	squared_l2
0.05 %	0.139 %	0.2518 %	0.38249 %	|	0.28 %	0.66 %	0.489 %	0.87 %	0.831 %	0.6775 %	3678.4887313842773
4000	0.2	32	|	50	-1	squared_l2
0.05 %	0.137 %	0.2492 %	0.38294 %	|	0.28 %	0.65 %	0.478 %	0.87 %	0.828 %	0.6788 %	3753.2567977905273
4000	0.2	32	|	55	-1	squared_l2
0.05 %	0.135 %	0.2477 %	0.38191 %	|	0.27 %	0.64 %	0.475 %	0.87 %	0.831 %	0.6797 %	3876.9960403442383
4000	0.2	32	|	60	-1	squared_l2
0.05 %	0.132 %	0.2455 %	0.38119 %	|	0.27 %	0.64 %	0.475 %	0.87 %	0.834 %	0.6816 %	3920.6743240356445
4000	0.2	32	|	65	-1	squared_l2
0.05 %	0.13 %	0.2451 %	0.38042 %	|	0.27 %	0.65 %	0.474 %	0.88 %	0.836 %	0.6809 %	4036.426544189453
4000	0.2	32	|	75	-1	squared_l2
0.05 %	0.132 %	0.2424 %	0.38007 %	|	0.28 %	0.67 %	0.473 %	0.92 %	0.838 %	0.6804 %	4196.882247924805
4000	0.2	32	|	90	-1	squared_l2
0.05 %	0.133 %	0.2413 %	0.37785 %	|	0.28 %	0.68 %	0.47 %	0.91 %	0.832 %	0.6788 %	4436.469078063965
4000	0.2	32	|	110	-1	squared_l2
0.05 %	0.134 %	0.2407 %	0.37475 %	|	0.29 %	0.69 %	0.472 %	0.92 %	0.836 %	0.6764 %	4737.85400390625
4000	0.2	32	|	130	-1	squared_l2
0.05 %	0.132 %	0.2397 %	0.3731 %	|	0.29 %	0.68 %	0.467 %	0.91 %	0.836 %	0.6746 %	5057.787895202637
4000	0.2	32	|	150	-1	squared_l2
0.05 %	0.131 %	0.2394 %	0.37116 %	|	0.29 %	0.68 %	0.465 %	0.91 %	0.833 %	0.6729 %	5330.061912536621
4000	0.2	32	|	170	-1	squared_l2
0.05 %	0.129 %	0.2384 %	0.3691 %	|	0.29 %	0.68 %	0.466 %	0.91 %	0.835 %	0.6698 %	5641.15047454834
4000	0.2	32	|	200	-1	squared_l2
0.05 %	0.129 %	0.2365 %	0.36663 %	|	0.29 %	0.68 %	0.462 %	0.9 %	0.832 %	0.6666 %	6081.223487854004
4000	0.2	32	|	220	-1	squared_l2
0.05 %	0.128 %	0.2362 %	0.36566 %	|	0.29 %	0.68 %	0.462 %	0.9 %	0.833 %	0.6647 %	6320.643424987793
4000	0.2	32	|	250	-1	squared_l2
0.05 %	0.127 %	0.2354 %	0.36445 %	|	0.29 %	0.67 %	0.459 %	0.89 %	0.83 %	0.6622 %	6700.706481933594
4000	0.2	32	|	310	-1	squared_l2
