Program: scann Topk: 1000 Num_split: 1 Batch: 128
L	Threashold	m	|	w	r	Metric
0.585 %	0.6637 %	0.72204 %	0.74536 %	|	0.959 %	0.976 %	0.9544 %	0.976 %	0.9559 %	0.9259 %	49.75414276123047
800	0.2	128	|	30	-1	squared_l2
0.583 %	0.666 %	0.72787 %	0.757795 %	|	0.964 %	0.982 %	0.9634 %	0.982 %	0.9649 %	0.94079 %	76.1728286743164
800	0.2	128	|	35	-1	squared_l2
0.587 %	0.6677 %	0.73193 %	0.767076 %	|	0.969 %	0.987 %	0.9704 %	0.987 %	0.9719 %	0.95153 %	93.57333183288574
800	0.2	128	|	40	-1	squared_l2
0.585 %	0.6689 %	0.735 %	0.773996 %	|	0.968 %	0.987 %	0.9749 %	0.987 %	0.9765 %	0.95967 %	111.2828254699707
800	0.2	128	|	45	-1	squared_l2
0.584 %	0.6707 %	0.73725 %	0.779561 %	|	0.969 %	0.99 %	0.9795 %	0.99 %	0.9811 %	0.96664 %	110.29362678527832
800	0.2	128	|	50	-1	squared_l2
0.584 %	0.6712 %	0.73875 %	0.783648 %	|	0.97 %	0.991 %	0.982 %	0.991 %	0.9836 %	0.97163 %	122.23100662231445
800	0.2	128	|	55	-1	squared_l2
0.583 %	0.6721 %	0.74 %	0.787076 %	|	0.97 %	0.991 %	0.9852 %	0.991 %	0.9868 %	0.9758 %	108.25133323669434
800	0.2	128	|	60	-1	squared_l2
0.582 %	0.6723 %	0.7409 %	0.789652 %	|	0.97 %	0.992 %	0.9865 %	0.992 %	0.9881 %	0.97879 %	135.2224349975586
800	0.2	128	|	65	-1	squared_l2
0.582 %	0.6731 %	0.74165 %	0.791872 %	|	0.971 %	0.993 %	0.9881 %	0.993 %	0.9897 %	0.98151 %	125.52475929260254
800	0.2	128	|	75	-1	squared_l2
0.584 %	0.6737 %	0.74297 %	0.795334 %	|	0.972 %	0.995 %	0.991 %	0.995 %	0.9926 %	0.98574 %	145.95341682434082
800	0.2	128	|	90	-1	squared_l2
0.584 %	0.675 %	0.74419 %	0.798672 %	|	0.972 %	0.995 %	0.9936 %	0.995 %	0.9953 %	0.98985 %	139.73736763000488
800	0.2	128	|	110	-1	squared_l2
0.585 %	0.6752 %	0.74518 %	0.801463 %	|	0.972 %	0.996 %	0.9947 %	0.996 %	0.9967 %	0.99336 %	178.0562400817871
800	0.2	128	|	130	-1	squared_l2
0.586 %	0.6755 %	0.74575 %	0.803051 %	|	0.974 %	0.998 %	0.9961 %	0.998 %	0.9981 %	0.99543 %	212.3405933380127
800	0.2	128	|	150	-1	squared_l2
0.586 %	0.6754 %	0.74609 %	0.804147 %	|	0.974 %	0.998 %	0.9964 %	0.998 %	0.9984 %	0.99685 %	201.08890533447266
800	0.2	128	|	170	-1	squared_l2
0.586 %	0.6755 %	0.74633 %	0.804859 %	|	0.974 %	0.998 %	0.997 %	0.998 %	0.999 %	0.99774 %	279.2620658874512
800	0.2	128	|	200	-1	squared_l2
0.586 %	0.6756 %	0.74656 %	0.805588 %	|	0.974 %	0.998 %	0.9974 %	0.998 %	0.9994 %	0.99866 %	260.0853443145752
800	0.2	128	|	220	-1	squared_l2
0.587 %	0.6755 %	0.74661 %	0.805832 %	|	0.975 %	0.999 %	0.9975 %	0.999 %	0.9995 %	0.99894 %	302.63829231262207
800	0.2	128	|	250	-1	squared_l2
0.587 %	0.6757 %	0.74669 %	0.806103 %	|	0.976 %	1.0 %	0.9978 %	1.0 %	0.9998 %	0.99936 %	312.96300888061523
800	0.2	128	|	310	-1	squared_l2
0.587 %	0.6757 %	0.74681 %	0.806419 %	|	0.976 %	1.0 %	0.998 %	1.0 %	1.0 %	0.99979 %	389.8017406463623
800	0.2	128	|	400	-1	squared_l2
0.587 %	0.6757 %	0.74678 %	0.806556 %	|	0.976 %	1.0 %	0.998 %	1.0 %	1.0 %	0.99987 %	462.738037109375
800	0.2	128	|	500	-1	squared_l2
0.587 %	0.6757 %	0.74678 %	0.806595 %	|	0.976 %	1.0 %	0.998 %	1.0 %	1.0 %	0.99988 %	570.0109004974365
800	0.2	128	|	800	-1	squared_l2
0.587 %	0.6757 %	0.7468 %	0.806621 %	|	0.976 %	1.0 %	0.998 %	1.0 %	1.0 %	0.99991 %	927.4725914001465
800	0.2	64	|	1	-1	squared_l2
0.143 %	0.2173 %	0.2476 %	0.199418 %	|	0.353 %	0.417 %	0.3608 %	0.422 %	0.3732 %	0.30861 %	32.98306465148926
800	0.2	64	|	2	-1	squared_l2
0.18 %	0.2728 %	0.32758 %	0.309827 %	|	0.458 %	0.587 %	0.5108 %	0.598 %	0.5448 %	0.4621 %	43.36857795715332
800	0.2	64	|	4	-1	squared_l2
0.188 %	0.3093 %	0.38648 %	0.412298 %	|	0.534 %	0.727 %	0.6408 %	0.748 %	0.703 %	0.61787 %	39.400577545166016
800	0.2	64	|	8	-1	squared_l2
0.201 %	0.3303 %	0.42185 %	0.48742 %	|	0.597 %	0.84 %	0.7316 %	0.872 %	0.8311 %	0.75058 %	37.157535552978516
800	0.2	64	|	16	-1	squared_l2
0.206 %	0.3398 %	0.44042 %	0.531763 %	|	0.63 %	0.911 %	0.7827 %	0.949 %	0.9158 %	0.84567 %	58.45522880554199
800	0.2	64	|	25	-1	squared_l2
0.206 %	0.341 %	0.44614 %	0.547245 %	|	0.631 %	0.931 %	0.8023 %	0.975 %	0.9512 %	0.88411 %	64.66388702392578
800	0.2	64	|	30	-1	squared_l2
0.207 %	0.3415 %	0.44754 %	0.550649 %	|	0.634 %	0.936 %	0.8054 %	0.981 %	0.9593 %	0.89455 %	76.66134834289551
800	0.2	64	|	35	-1	squared_l2
0.207 %	0.3416 %	0.44802 %	0.553249 %	|	0.635 %	0.937 %	0.8075 %	0.986 %	0.966 %	0.90182 %	73.62747192382812
800	0.2	64	|	40	-1	squared_l2
0.206 %	0.3407 %	0.44827 %	0.555 %	|	0.632 %	0.937 %	0.8092 %	0.986 %	0.9701 %	0.90723 %	68.79734992980957
800	0.2	64	|	45	-1	squared_l2
0.206 %	0.3415 %	0.44877 %	0.556379 %	|	0.633 %	0.938 %	0.8122 %	0.989 %	0.9746 %	0.9117 %	88.18674087524414
800	0.2	64	|	50	-1	squared_l2
0.206 %	0.3412 %	0.44879 %	0.557305 %	|	0.633 %	0.939 %	0.812 %	0.99 %	0.9768 %	0.9146 %	89.0955924987793
800	0.2	64	|	55	-1	squared_l2
0.203 %	0.3416 %	0.4489 %	0.558108 %	|	0.632 %	0.939 %	0.8139 %	0.99 %	0.9795 %	0.91696 %	99.54595565795898
800	0.2	64	|	60	-1	squared_l2
0.203 %	0.3419 %	0.44907 %	0.558651 %	|	0.633 %	0.94 %	0.8145 %	0.991 %	0.9808 %	0.9186 %	107.13052749633789
800	0.2	64	|	65	-1	squared_l2
0.201 %	0.3421 %	0.44892 %	0.558928 %	|	0.633 %	0.939 %	0.8151 %	0.992 %	0.9822 %	0.92004 %	104.4759750366211
800	0.2	64	|	75	-1	squared_l2
0.202 %	0.3425 %	0.44896 %	0.559462 %	|	0.635 %	0.941 %	0.8161 %	0.994 %	0.9847 %	0.92212 %	82.49902725219727
800	0.2	64	|	90	-1	squared_l2
0.202 %	0.3429 %	0.44888 %	0.559679 %	|	0.634 %	0.941 %	0.8172 %	0.994 %	0.9872 %	0.92392 %	80.30319213867188
800	0.2	64	|	110	-1	squared_l2
0.202 %	0.3426 %	0.44891 %	0.55974 %	|	0.633 %	0.941 %	0.8171 %	0.995 %	0.9882 %	0.92542 %	128.67021560668945
800	0.2	64	|	130	-1	squared_l2
0.203 %	0.3428 %	0.44879 %	0.559747 %	|	0.634 %	0.942 %	0.8172 %	0.997 %	0.9894 %	0.92635 %	111.66596412658691
800	0.2	64	|	150	-1	squared_l2
0.203 %	0.3426 %	0.44869 %	0.559752 %	|	0.634 %	0.942 %	0.8169 %	0.997 %	0.9897 %	0.92685 %	143.80717277526855
800	0.2	64	|	170	-1	squared_l2
0.203 %	0.3427 %	0.44869 %	0.559681 %	|	0.634 %	0.942 %	0.8172 %	0.997 %	0.9901 %	0.9272 %	158.24556350708008
800	0.2	64	|	200	-1	squared_l2
0.203 %	0.3426 %	0.44864 %	0.559614 %	|	0.634 %	0.941 %	0.8172 %	0.997 %	0.9902 %	0.92743 %	143.95761489868164
800	0.2	64	|	220	-1	squared_l2
0.204 %	0.3427 %	0.44866 %	0.559504 %	|	0.635 %	0.942 %	0.8172 %	0.998 %	0.9903 %	0.92739 %	205.72590827941895
800	0.2	64	|	250	-1	squared_l2
0.204 %	0.3427 %	0.4487 %	0.559425 %	|	0.635 %	0.944 %	0.8175 %	0.999 %	0.9905 %	0.92752 %	196.4879035949707
800	0.2	64	|	310	-1	squared_l2
0.204 %	0.3426 %	0.44864 %	0.55932 %	|	0.635 %	0.944 %	0.8177 %	0.999 %	0.9906 %	0.9276 %	246.77705764770508
800	0.2	64	|	400	-1	squared_l2
0.204 %	0.3426 %	0.44862 %	0.55922 %	|	0.635 %	0.944 %	0.8177 %	0.999 %	0.9906 %	0.92754 %	260.1938247680664
800	0.2	64	|	500	-1	squared_l2
0.204 %	0.3426 %	0.4486 %	0.559169 %	|	0.635 %	0.944 %	0.8177 %	0.999 %	0.9906 %	0.92746 %	319.25082206726074
800	0.2	64	|	800	-1	squared_l2
0.204 %	0.3426 %	0.44857 %	0.559154 %	|	0.635 %	0.944 %	0.8177 %	0.999 %	0.9906 %	0.92745 %	533.4420204162598
800	0.2	32	|	1	-1	squared_l2
0.07 %	0.1212 %	0.18216 %	0.19214 %	|	0.204 %	0.364 %	0.2964 %	0.421 %	0.3714 %	0.30531 %	34.58690643310547
800	0.2	32	|	2	-1	squared_l2
0.067 %	0.1376 %	0.21716 %	0.277239 %	|	0.255 %	0.484 %	0.3832 %	0.594 %	0.5369 %	0.44528 %	37.087202072143555
800	0.2	32	|	4	-1	squared_l2
0.074 %	0.1465 %	0.23763 %	0.336523 %	|	0.279 %	0.553 %	0.4367 %	0.73 %	0.6796 %	0.56564 %	36.47875785827637
800	0.2	32	|	8	-1	squared_l2
0.072 %	0.1478 %	0.24439 %	0.367096 %	|	0.298 %	0.608 %	0.4594 %	0.838 %	0.7776 %	0.64095 %	50.97818374633789
800	0.2	32	|	16	-1	squared_l2
0.077 %	0.1434 %	0.2429 %	0.375173 %	|	0.293 %	0.626 %	0.4628 %	0.897 %	0.8252 %	0.67329 %	43.695926666259766
800	0.2	32	|	25	-1	squared_l2
0.072 %	0.1425 %	0.24081 %	0.374527 %	|	0.295 %	0.629 %	0.4628 %	0.916 %	0.8401 %	0.67943 %	46.225547790527344
800	0.2	32	|	30	-1	squared_l2
0.072 %	0.1409 %	0.24005 %	0.373061 %	|	0.295 %	0.628 %	0.4612 %	0.914 %	0.8419 %	0.67926 %	37.80174255371094
800	0.2	32	|	35	-1	squared_l2
0.071 %	0.1402 %	0.2391 %	0.372089 %	|	0.295 %	0.626 %	0.4605 %	0.914 %	0.8428 %	0.67871 %	35.86697578430176
800	0.2	32	|	40	-1	squared_l2
0.071 %	0.1402 %	0.23863 %	0.371123 %	|	0.295 %	0.624 %	0.4592 %	0.912 %	0.8429 %	0.67826 %	38.32077980041504
800	0.2	32	|	45	-1	squared_l2
0.072 %	0.1397 %	0.23774 %	0.370083 %	|	0.294 %	0.621 %	0.4584 %	0.912 %	0.8436 %	0.67756 %	40.47870635986328
800	0.2	32	|	50	-1	squared_l2
0.072 %	0.1393 %	0.23715 %	0.369099 %	|	0.294 %	0.621 %	0.4578 %	0.912 %	0.8424 %	0.67623 %	43.80536079406738
800	0.2	32	|	55	-1	squared_l2
0.072 %	0.1393 %	0.23693 %	0.36852 %	|	0.293 %	0.62 %	0.4569 %	0.911 %	0.8419 %	0.67542 %	44.50488090515137
800	0.2	32	|	60	-1	squared_l2
0.072 %	0.1391 %	0.23666 %	0.367796 %	|	0.293 %	0.62 %	0.4566 %	0.91 %	0.8411 %	0.67434 %	66.79201126098633
800	0.2	32	|	65	-1	squared_l2
0.071 %	0.139 %	0.23636 %	0.367228 %	|	0.292 %	0.62 %	0.456 %	0.907 %	0.8404 %	0.67335 %	74.9349594116211
800	0.2	32	|	75	-1	squared_l2
0.071 %	0.1387 %	0.23571 %	0.366195 %	|	0.293 %	0.62 %	0.4551 %	0.902 %	0.8392 %	0.67225 %	64.8496150970459
800	0.2	32	|	90	-1	squared_l2
0.071 %	0.1384 %	0.23525 %	0.365047 %	|	0.293 %	0.62 %	0.4551 %	0.899 %	0.8379 %	0.67091 %	83.48298072814941
800	0.2	32	|	110	-1	squared_l2
0.071 %	0.1383 %	0.23474 %	0.363774 %	|	0.293 %	0.621 %	0.454 %	0.899 %	0.8372 %	0.66953 %	93.20926666259766
800	0.2	32	|	130	-1	squared_l2
0.072 %	0.1384 %	0.2345 %	0.362996 %	|	0.294 %	0.62 %	0.4537 %	0.899 %	0.8367 %	0.66821 %	112.1988296508789
800	0.2	32	|	150	-1	squared_l2
0.072 %	0.1382 %	0.23439 %	0.362394 %	|	0.294 %	0.62 %	0.4533 %	0.899 %	0.8365 %	0.66768 %	117.96808242797852
800	0.2	32	|	170	-1	squared_l2
0.072 %	0.1383 %	0.23425 %	0.361975 %	|	0.294 %	0.621 %	0.4534 %	0.899 %	0.8367 %	0.66697 %	123.8396167755127
800	0.2	32	|	200	-1	squared_l2
0.072 %	0.1384 %	0.23397 %	0.361629 %	|	0.294 %	0.619 %	0.4528 %	0.899 %	0.8359 %	0.66641 %	114.89152908325195
800	0.2	32	|	220	-1	squared_l2
0.072 %	0.1384 %	0.23396 %	0.361361 %	|	0.294 %	0.619 %	0.4528 %	0.9 %	0.8358 %	0.66599 %	122.35379219055176
800	0.2	32	|	250	-1	squared_l2
0.072 %	0.1384 %	0.23388 %	0.361093 %	|	0.294 %	0.618 %	0.4527 %	0.901 %	0.8358 %	0.66568 %	137.04609870910645
800	0.2	32	|	310	-1	squared_l2
0.072 %	0.1384 %	0.23381 %	0.36076 %	|	0.294 %	0.618 %	0.4526 %	0.9 %	0.8357 %	0.66518 %	166.65959358215332
800	0.2	32	|	400	-1	squared_l2
0.072 %	0.1384 %	0.23378 %	0.36052 %	|	0.294 %	0.619 %	0.4526 %	0.9 %	0.8355 %	0.66482 %	159.07883644104004
800	0.2	32	|	500	-1	squared_l2
0.072 %	0.1384 %	0.23371 %	0.360446 %	|	0.294 %	0.618 %	0.4524 %	0.9 %	0.8355 %	0.66471 %	174.85809326171875
800	0.2	32	|	800	-1	squared_l2
0.072 %	0.1384 %	0.23371 %	0.360395 %	|	0.294 %	0.618 %	0.4524 %	0.9 %	0.8353 %	0.66465 %	296.4341640472412
800	0.2	16	|	1	-1	squared_l2
0.03 %	0.0611 %	0.12591 %	0.18315 %	|	0.126 %	0.295 %	0.2077 %	0.415 %	0.3635 %	0.29648 %	36.437273025512695
800	0.2	16	|	2	-1	squared_l2
0.02 %	0.0623 %	0.13466 %	0.243405 %	|	0.121 %	0.335 %	0.2351 %	0.567 %	0.5042 %	0.40445 %	30.71451187133789
800	0.2	16	|	4	-1	squared_l2
0.02 %	0.0623 %	0.13512 %	0.269729 %	|	0.123 %	0.367 %	0.2459 %	0.655 %	0.5936 %	0.46504 %	35.99429130554199
800	0.2	16	|	8	-1	squared_l2
0.021 %	0.0567 %	0.12704 %	0.269246 %	|	0.112 %	0.357 %	0.2385 %	0.701 %	0.618 %	0.47301 %	46.03910446166992
800	0.2	16	|	16	-1	squared_l2
0.023 %	0.053 %	0.11904 %	0.254417 %	|	0.109 %	0.334 %	0.2217 %	0.675 %	0.5996 %	0.45244 %	43.90454292297363
800	0.2	16	|	25	-1	squared_l2
0.023 %	0.0514 %	0.11479 %	0.24402 %	|	0.104 %	0.327 %	0.2166 %	0.662 %	0.5839 %	0.43497 %	45.19820213317871
800	0.2	16	|	30	-1	squared_l2
0.023 %	0.0509 %	0.11334 %	0.239896 %	|	0.104 %	0.323 %	0.214 %	0.654 %	0.5749 %	0.42758 %	35.10236740112305
800	0.2	16	|	35	-1	squared_l2
0.023 %	0.0509 %	0.11208 %	0.2366 %	|	0.103 %	0.319 %	0.2122 %	0.645 %	0.5679 %	0.42215 %	33.80441665649414
800	0.2	16	|	40	-1	squared_l2
0.023 %	0.0504 %	0.11086 %	0.234027 %	|	0.103 %	0.316 %	0.2094 %	0.643 %	0.5634 %	0.41757 %	44.01588439941406
800	0.2	16	|	45	-1	squared_l2
0.023 %	0.0499 %	0.10998 %	0.231734 %	|	0.102 %	0.313 %	0.2083 %	0.641 %	0.5602 %	0.4134 %	63.00926208496094
800	0.2	16	|	50	-1	squared_l2
