Program: faiss Topk: 1000 Num_split: 20 Batch: 1
L	m	k_star	|	w	Reorder	Metric
0.04 %	0.045 %	0.0469 %	0.04893 %	|	0.04 %	0.04 %	0.046 %	0.04 %	0.046 %	0.0469 %	6936360.3591918945
7000	32	256	|	256	-1	squared_l2
0.04 %	0.045 %	0.047 %	0.04926 %	|	0.04 %	0.04 %	0.046 %	0.04 %	0.046 %	0.047 %	13038967.13256836
7000	32	256	|	320	-1	squared_l2
0.04 %	0.045 %	0.047 %	0.04932 %	|	0.04 %	0.04 %	0.046 %	0.04 %	0.046 %	0.047 %	16072006.702423096
7000	32	256	|	384	-1	squared_l2
0.04 %	0.045 %	0.047 %	0.04935 %	|	0.04 %	0.04 %	0.046 %	0.04 %	0.046 %	0.047 %	19118125.438690186
7000	32	256	|	448	-1	squared_l2
0.04 %	0.045 %	0.047 %	0.04937 %	|	0.04 %	0.04 %	0.046 %	0.04 %	0.046 %	0.047 %	22094202.041625977
7000	32	256	|	512	-1	squared_l2
0.04 %	0.045 %	0.047 %	0.04939 %	|	0.04 %	0.04 %	0.046 %	0.04 %	0.046 %	0.047 %	25145647.048950195
7000	32	256	|	576	-1	squared_l2
0.04 %	0.045 %	0.047 %	0.04939 %	|	0.04 %	0.04 %	0.046 %	0.04 %	0.046 %	0.047 %	28141530.03692627
7000	32	256	|	640	-1	squared_l2
0.04 %	0.045 %	0.047 %	0.04939 %	|	0.04 %	0.04 %	0.046 %	0.04 %	0.046 %	0.047 %	30999225.13961792
7000	32	256	|	704	-1	squared_l2
0.04 %	0.045 %	0.047 %	0.04939 %	|	0.04 %	0.04 %	0.046 %	0.04 %	0.046 %	0.047 %	33869939.32723999
7000	32	256	|	768	-1	squared_l2
0.04 %	0.045 %	0.047 %	0.04939 %	|	0.04 %	0.04 %	0.046 %	0.04 %	0.046 %	0.047 %	36752152.91976929
7000	32	256	|	1024	-1	squared_l2
0.04 %	0.045 %	0.047 %	0.04939 %	|	0.04 %	0.04 %	0.046 %	0.04 %	0.046 %	0.047 %	45986392.0211792
7000	16	256	|	1	-1	squared_l2
0.0 %	0.024 %	0.0205 %	0.01657 %	|	0.02 %	0.02 %	0.024 %	0.02 %	0.024 %	0.0205 %	274085.52169799805
7000	16	256	|	16	-1	squared_l2
0.01 %	0.041 %	0.0415 %	0.04239 %	|	0.03 %	0.03 %	0.042 %	0.03 %	0.042 %	0.0424 %	656124.5918273926
7000	16	256	|	32	-1	squared_l2
0.01 %	0.042 %	0.0441 %	0.04579 %	|	0.03 %	0.04 %	0.044 %	0.04 %	0.044 %	0.0451 %	1049900.5317687988
7000	16	256	|	64	-1	squared_l2
0.01 %	0.043 %	0.0451 %	0.0478 %	|	0.03 %	0.04 %	0.046 %	0.04 %	0.046 %	0.0463 %	1814062.1185302734
7000	16	256	|	128	-1	squared_l2
0.01 %	0.043 %	0.0453 %	0.04865 %	|	0.03 %	0.04 %	0.046 %	0.04 %	0.046 %	0.0469 %	3304804.3251037598
7000	16	256	|	256	-1	squared_l2
0.01 %	0.043 %	0.0453 %	0.04891 %	|	0.03 %	0.04 %	0.046 %	0.04 %	0.046 %	0.047 %	6187858.581542969
7000	16	256	|	320	-1	squared_l2
0.01 %	0.043 %	0.0453 %	0.04895 %	|	0.03 %	0.04 %	0.046 %	0.04 %	0.046 %	0.047 %	7600824.83291626
7000	16	256	|	384	-1	squared_l2
0.01 %	0.043 %	0.0453 %	0.04898 %	|	0.03 %	0.04 %	0.046 %	0.04 %	0.046 %	0.047 %	9014080.047607422
7000	16	256	|	448	-1	squared_l2
0.01 %	0.043 %	0.0453 %	0.04899 %	|	0.03 %	0.04 %	0.046 %	0.04 %	0.046 %	0.047 %	10415676.593780518
7000	16	256	|	512	-1	squared_l2
0.01 %	0.043 %	0.0453 %	0.049 %	|	0.03 %	0.04 %	0.046 %	0.04 %	0.046 %	0.047 %	11810674.667358398
7000	16	256	|	576	-1	squared_l2
0.01 %	0.043 %	0.0453 %	0.049 %	|	0.03 %	0.04 %	0.046 %	0.04 %	0.046 %	0.047 %	13201264.85824585
7000	16	256	|	640	-1	squared_l2
0.01 %	0.043 %	0.0453 %	0.049 %	|	0.03 %	0.04 %	0.046 %	0.04 %	0.046 %	0.047 %	14587905.406951904
7000	16	256	|	704	-1	squared_l2
