Program: scann Topk: 1000 Num_split: 1 Batch: 1
L	Threashold	m	|	w	r	Metric
4000	0.2	128	|	2048	-1	squared_l2
0.75 %	0.833 %	0.8726 %	0.90629 %	|	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	47331.3570022583
4000	0.2	64	|	1	-1	squared_l2
0.24 %	0.214 %	0.1501 %	0.08437 %	|	0.29 %	0.29 %	0.239 %	0.29 %	0.239 %	0.1513 %	1271.3193893432617
4000	0.2	64	|	2	-1	squared_l2
0.35 %	0.318 %	0.2275 %	0.13039 %	|	0.44 %	0.44 %	0.365 %	0.44 %	0.365 %	0.2324 %	1432.657241821289
4000	0.2	64	|	4	-1	squared_l2
0.42 %	0.402 %	0.3182 %	0.19817 %	|	0.54 %	0.55 %	0.479 %	0.55 %	0.479 %	0.3333 %	1660.7999801635742
4000	0.2	64	|	8	-1	squared_l2
0.49 %	0.467 %	0.4286 %	0.30596 %	|	0.69 %	0.7 %	0.603 %	0.7 %	0.603 %	0.4711 %	1961.7319107055664
4000	0.2	64	|	16	-1	squared_l2
0.56 %	0.532 %	0.5402 %	0.45468 %	|	0.81 %	0.83 %	0.762 %	0.83 %	0.763 %	0.6426 %	2281.5942764282227
4000	0.2	64	|	25	-1	squared_l2
0.59 %	0.567 %	0.5959 %	0.54577 %	|	0.88 %	0.91 %	0.846 %	0.91 %	0.847 %	0.7486 %	2538.943290710449
4000	0.2	64	|	30	-1	squared_l2
0.61 %	0.572 %	0.6125 %	0.58134 %	|	0.92 %	0.95 %	0.874 %	0.95 %	0.875 %	0.7842 %	2664.20841217041
4000	0.2	64	|	35	-1	squared_l2
0.62 %	0.579 %	0.6233 %	0.60479 %	|	0.94 %	0.97 %	0.896 %	0.97 %	0.897 %	0.811 %	2785.8972549438477
4000	0.2	64	|	40	-1	squared_l2
0.62 %	0.589 %	0.635 %	0.62509 %	|	0.94 %	0.97 %	0.917 %	0.97 %	0.919 %	0.8383 %	2893.4240341186523
4000	0.2	64	|	45	-1	squared_l2
0.62 %	0.597 %	0.6428 %	0.64076 %	|	0.95 %	0.98 %	0.931 %	0.98 %	0.933 %	0.8564 %	3002.7151107788086
4000	0.2	64	|	50	-1	squared_l2
0.62 %	0.6 %	0.6473 %	0.65143 %	|	0.95 %	0.98 %	0.937 %	0.98 %	0.939 %	0.8694 %	3107.1901321411133
4000	0.2	64	|	55	-1	squared_l2
0.63 %	0.603 %	0.6521 %	0.66234 %	|	0.96 %	0.99 %	0.945 %	0.99 %	0.947 %	0.8825 %	3211.188316345215
4000	0.2	64	|	60	-1	squared_l2
0.63 %	0.604 %	0.6567 %	0.67145 %	|	0.96 %	0.99 %	0.952 %	0.99 %	0.955 %	0.8943 %	3313.3983612060547
4000	0.2	64	|	65	-1	squared_l2
0.63 %	0.603 %	0.6594 %	0.67829 %	|	0.96 %	0.99 %	0.954 %	0.99 %	0.958 %	0.9024 %	3398.7045288085938
4000	0.2	64	|	75	-1	squared_l2
0.62 %	0.604 %	0.6651 %	0.6904 %	|	0.96 %	0.99 %	0.96 %	0.99 %	0.964 %	0.9176 %	3575.253486633301
4000	0.2	64	|	90	-1	squared_l2
0.62 %	0.606 %	0.6702 %	0.70458 %	|	0.97 %	1.0 %	0.968 %	1.0 %	0.975 %	0.9357 %	3882.8372955322266
4000	0.2	64	|	110	-1	squared_l2
0.62 %	0.607 %	0.6754 %	0.71693 %	|	0.97 %	1.0 %	0.974 %	1.0 %	0.981 %	0.953 %	4241.371154785156
4000	0.2	64	|	130	-1	squared_l2
0.62 %	0.611 %	0.681 %	0.72618 %	|	0.97 %	1.0 %	0.982 %	1.0 %	0.989 %	0.9672 %	4623.675346374512
4000	0.2	64	|	150	-1	squared_l2
0.62 %	0.612 %	0.6827 %	0.73127 %	|	0.97 %	1.0 %	0.984 %	1.0 %	0.991 %	0.973 %	4960.489273071289
4000	0.2	64	|	170	-1	squared_l2
0.62 %	0.612 %	0.6843 %	0.73535 %	|	0.97 %	1.0 %	0.986 %	1.0 %	0.994 %	0.9783 %	5323.505401611328
4000	0.2	64	|	200	-1	squared_l2
0.62 %	0.612 %	0.6859 %	0.74028 %	|	0.97 %	1.0 %	0.989 %	1.0 %	0.997 %	0.9855 %	5844.378471374512
4000	0.2	64	|	220	-1	squared_l2
0.62 %	0.612 %	0.6861 %	0.74238 %	|	0.97 %	1.0 %	0.989 %	1.0 %	0.997 %	0.9876 %	6119.036674499512
4000	0.2	64	|	250	-1	squared_l2
0.62 %	0.612 %	0.6869 %	0.74484 %	|	0.97 %	1.0 %	0.99 %	1.0 %	0.999 %	0.9922 %	6592.988967895508
4000	0.2	64	|	310	-1	squared_l2
0.62 %	0.611 %	0.6875 %	0.74734 %	|	0.97 %	1.0 %	0.99 %	1.0 %	0.999 %	0.9954 %	7553.362846374512
4000	0.2	64	|	400	-1	squared_l2
0.62 %	0.611 %	0.6883 %	0.74872 %	|	0.97 %	1.0 %	0.99 %	1.0 %	0.999 %	0.998 %	9131.717681884766
4000	0.2	64	|	500	-1	squared_l2
0.62 %	0.611 %	0.6885 %	0.74942 %	|	0.97 %	1.0 %	0.991 %	1.0 %	1.0 %	0.9986 %	10585.474967956543
4000	0.2	64	|	800	-1	squared_l2
0.62 %	0.611 %	0.6883 %	0.74972 %	|	0.97 %	1.0 %	0.991 %	1.0 %	1.0 %	0.9987 %	15052.175521850586
4000	0.2	64	|	1000	-1	squared_l2
0.62 %	0.611 %	0.6883 %	0.74971 %	|	0.97 %	1.0 %	0.991 %	1.0 %	1.0 %	0.9987 %	18009.376525878906
4000	0.2	64	|	1250	-1	squared_l2
0.62 %	0.611 %	0.6883 %	0.7497 %	|	0.97 %	1.0 %	0.991 %	1.0 %	1.0 %	0.9987 %	21584.200859069824
4000	0.2	64	|	1500	-1	squared_l2
0.62 %	0.611 %	0.6883 %	0.74968 %	|	0.97 %	1.0 %	0.991 %	1.0 %	1.0 %	0.9987 %	25446.391105651855
4000	0.2	64	|	1750	-1	squared_l2
0.62 %	0.611 %	0.6883 %	0.74968 %	|	0.97 %	1.0 %	0.991 %	1.0 %	1.0 %	0.9987 %	28985.261917114258
4000	0.2	64	|	1900	-1	squared_l2
0.62 %	0.611 %	0.6883 %	0.74969 %	|	0.97 %	1.0 %	0.991 %	1.0 %	1.0 %	0.9987 %	31277.32276916504
4000	0.2	64	|	2000	-1	squared_l2
0.62 %	0.611 %	0.6883 %	0.74969 %	|	0.97 %	1.0 %	0.991 %	1.0 %	1.0 %	0.9987 %	32485.175132751465
4000	0.2	64	|	2048	-1	squared_l2
0.62 %	0.611 %	0.6883 %	0.74969 %	|	0.97 %	1.0 %	0.991 %	1.0 %	1.0 %	0.9987 %	33265.042304992676
4000	0.2	32	|	1	-1	squared_l2
0.13 %	0.145 %	0.1258 %	0.07026 %	|	0.23 %	0.23 %	0.179 %	0.23 %	0.179 %	0.1317 %	1291.036605834961
4000	0.2	32	|	2	-1	squared_l2
0.23 %	0.23 %	0.2017 %	0.11944 %	|	0.4 %	0.43 %	0.314 %	0.43 %	0.316 %	0.2202 %	1394.2241668701172
4000	0.2	32	|	4	-1	squared_l2
0.32 %	0.291 %	0.2915 %	0.19658 %	|	0.54 %	0.58 %	0.442 %	0.58 %	0.448 %	0.3376 %	1638.5078430175781
4000	0.2	32	|	8	-1	squared_l2
