Program: scann Topk: 1000 Num_split: 1 Batch: 1
L	Threashold	m	|	w	r	Metric
0.63 %	0.796 %	0.8755 %	0.89273 %	|	0.96 %	0.98 %	0.975 %	0.98 %	0.979 %	0.9575 %	30050.70686340332
4000	0.2	50	|	1	-1	dot_product
0.15 %	0.223 %	0.2463 %	0.13646 %	|	0.24 %	0.25 %	0.273 %	0.25 %	0.274 %	0.2508 %	989.1986846923828
4000	0.2	50	|	2	-1	dot_product
0.21 %	0.294 %	0.3373 %	0.20815 %	|	0.33 %	0.34 %	0.382 %	0.35 %	0.384 %	0.3476 %	1052.6180267333984
4000	0.2	50	|	4	-1	dot_product
0.26 %	0.35 %	0.4278 %	0.31624 %	|	0.46 %	0.47 %	0.477 %	0.48 %	0.48 %	0.4579 %	1217.5321578979492
4000	0.2	50	|	8	-1	dot_product
0.26 %	0.399 %	0.5001 %	0.43747 %	|	0.53 %	0.57 %	0.562 %	0.58 %	0.567 %	0.557 %	1362.2045516967773
4000	0.2	50	|	16	-1	dot_product
0.25 %	0.443 %	0.5673 %	0.5654 %	|	0.55 %	0.61 %	0.655 %	0.62 %	0.665 %	0.6606 %	1473.832130432129
4000	0.2	50	|	25	-1	dot_product
0.27 %	0.452 %	0.5887 %	0.62024 %	|	0.58 %	0.65 %	0.688 %	0.66 %	0.7 %	0.7059 %	1555.1328659057617
4000	0.2	50	|	30	-1	dot_product
0.28 %	0.453 %	0.596 %	0.6373 %	|	0.59 %	0.66 %	0.698 %	0.67 %	0.711 %	0.7214 %	1600.2893447875977
4000	0.2	50	|	35	-1	dot_product
0.28 %	0.455 %	0.6017 %	0.65272 %	|	0.6 %	0.67 %	0.704 %	0.68 %	0.717 %	0.7328 %	1633.2387924194336
4000	0.2	50	|	40	-1	dot_product
0.28 %	0.457 %	0.6048 %	0.6616 %	|	0.6 %	0.69 %	0.711 %	0.7 %	0.726 %	0.7406 %	1683.0921173095703
4000	0.2	50	|	45	-1	dot_product
0.28 %	0.462 %	0.6096 %	0.67121 %	|	0.61 %	0.7 %	0.723 %	0.71 %	0.738 %	0.7496 %	1733.4699630737305
4000	0.2	50	|	50	-1	dot_product
0.28 %	0.467 %	0.613 %	0.67716 %	|	0.62 %	0.71 %	0.732 %	0.72 %	0.748 %	0.7551 %	1779.9854278564453
4000	0.2	50	|	55	-1	dot_product
0.28 %	0.467 %	0.614 %	0.68081 %	|	0.62 %	0.71 %	0.732 %	0.72 %	0.749 %	0.7583 %	1810.2169036865234
4000	0.2	50	|	60	-1	dot_product
0.28 %	0.469 %	0.6164 %	0.68497 %	|	0.62 %	0.72 %	0.742 %	0.73 %	0.761 %	0.7643 %	1863.6226654052734
4000	0.2	50	|	65	-1	dot_product
0.28 %	0.472 %	0.6199 %	0.68928 %	|	0.61 %	0.72 %	0.746 %	0.73 %	0.765 %	0.7707 %	1906.3949584960938
4000	0.2	50	|	75	-1	dot_product
0.28 %	0.477 %	0.6246 %	0.69476 %	|	0.61 %	0.72 %	0.761 %	0.73 %	0.78 %	0.781 %	1991.6534423828125
4000	0.2	50	|	90	-1	dot_product
0.29 %	0.481 %	0.6302 %	0.70148 %	|	0.62 %	0.74 %	0.772 %	0.76 %	0.794 %	0.7914 %	2132.701873779297
4000	0.2	50	|	110	-1	dot_product
0.3 %	0.488 %	0.6376 %	0.70687 %	|	0.64 %	0.76 %	0.783 %	0.78 %	0.805 %	0.8018 %	2304.220199584961
4000	0.2	50	|	130	-1	dot_product
0.3 %	0.491 %	0.643 %	0.71121 %	|	0.65 %	0.78 %	0.793 %	0.8 %	0.817 %	0.8112 %	2481.245994567871
4000	0.2	50	|	150	-1	dot_product
0.3 %	0.492 %	0.6486 %	0.71531 %	|	0.65 %	0.78 %	0.799 %	0.8 %	0.825 %	0.8199 %	2688.288688659668
4000	0.2	50	|	170	-1	dot_product
0.3 %	0.493 %	0.6508 %	0.71755 %	|	0.65 %	0.78 %	0.803 %	0.8 %	0.83 %	0.8245 %	2863.5263442993164
4000	0.2	50	|	200	-1	dot_product
0.3 %	0.5 %	0.6538 %	0.72069 %	|	0.65 %	0.8 %	0.817 %	0.82 %	0.846 %	0.8321 %	3163.17081451416
4000	0.2	50	|	220	-1	dot_product
0.3 %	0.5 %	0.655 %	0.72204 %	|	0.65 %	0.81 %	0.82 %	0.83 %	0.849 %	0.8355 %	3330.540657043457
4000	0.2	50	|	250	-1	dot_product
0.3 %	0.502 %	0.6571 %	0.724 %	|	0.66 %	0.82 %	0.826 %	0.84 %	0.856 %	0.8401 %	3625.4405975341797
4000	0.2	50	|	310	-1	dot_product
0.31 %	0.511 %	0.6628 %	0.72799 %	|	0.69 %	0.85 %	0.837 %	0.87 %	0.867 %	0.8503 %	4237.604141235352
4000	0.2	50	|	400	-1	dot_product
0.31 %	0.512 %	0.6666 %	0.73194 %	|	0.7 %	0.86 %	0.846 %	0.88 %	0.878 %	0.8596 %	5206.155776977539
4000	0.2	50	|	500	-1	dot_product
0.31 %	0.516 %	0.6711 %	0.73574 %	|	0.71 %	0.89 %	0.859 %	0.91 %	0.893 %	0.8694 %	6209.444999694824
4000	0.2	50	|	800	-1	dot_product
0.32 %	0.522 %	0.6813 %	0.74405 %	|	0.72 %	0.91 %	0.879 %	0.93 %	0.921 %	0.8926 %	9534.931182861328
4000	0.2	50	|	1000	-1	dot_product
0.32 %	0.522 %	0.6871 %	0.74791 %	|	0.73 %	0.92 %	0.888 %	0.95 %	0.933 %	0.9044 %	11685.752868652344
4000	0.2	50	|	1250	-1	dot_product
0.32 %	0.524 %	0.6935 %	0.75238 %	|	0.73 %	0.92 %	0.9 %	0.95 %	0.947 %	0.9197 %	14406.609535217285
4000	0.2	50	|	1500	-1	dot_product
0.32 %	0.525 %	0.6957 %	0.75579 %	|	0.73 %	0.92 %	0.909 %	0.96 %	0.958 %	0.9271 %	17069.79274749756
4000	0.2	50	|	1750	-1	dot_product
0.32 %	0.527 %	0.6992 %	0.75871 %	|	0.73 %	0.92 %	0.916 %	0.96 %	0.965 %	0.9361 %	19732.308387756348
4000	0.2	50	|	1900	-1	dot_product
0.32 %	0.528 %	0.6997 %	0.75978 %	|	0.73 %	0.92 %	0.917 %	0.96 %	0.966 %	0.939 %	21323.585510253906
4000	0.2	50	|	2000	-1	dot_product
0.32 %	0.528 %	0.7009 %	0.76076 %	|	0.73 %	0.92 %	0.918 %	0.97 %	0.968 %	0.9422 %	22370.171546936035
4000	0.2	50	|	2048	-1	dot_product
0.32 %	0.53 %	0.701 %	0.76135 %	|	0.73 %	0.92 %	0.92 %	0.97 %	0.972 %	0.9438 %	22809.290885925293
4000	0.2	25	|	1	-1	dot_product
0.07 %	0.168 %	0.2291 %	0.13478 %	|	0.22 %	0.26 %	0.265 %	0.26 %	0.266 %	0.2459 %	958.3234786987305
4000	0.2	25	|	2	-1	dot_product
0.12 %	0.206 %	0.3021 %	0.20665 %	|	0.3 %	0.37 %	0.365 %	0.38 %	0.377 %	0.3432 %	1009.8934173583984
4000	0.2	25	|	4	-1	dot_product
0.16 %	0.239 %	0.3667 %	0.31568 %	|	0.37 %	0.46 %	0.458 %	0.48 %	0.484 %	0.4597 %	1171.9226837158203
4000	0.2	25	|	8	-1	dot_product
0.16 %	0.26 %	0.4044 %	0.42388 %	|	0.43 %	0.54 %	0.522 %	0.58 %	0.566 %	0.5571 %	1311.8267059326172
4000	0.2	25	|	16	-1	dot_product
0.16 %	0.277 %	0.44 %	0.5073 %	|	0.43 %	0.57 %	0.595 %	0.61 %	0.659 %	0.6562 %	1396.3699340820312
4000	0.2	25	|	25	-1	dot_product
0.18 %	0.283 %	0.446 %	0.53338 %	|	0.46 %	0.6 %	0.614 %	0.64 %	0.695 %	0.6948 %	1464.4622802734375
4000	0.2	25	|	30	-1	dot_product
0.18 %	0.283 %	0.448 %	0.54052 %	|	0.46 %	0.6 %	0.616 %	0.65 %	0.706 %	0.7076 %	1495.3136444091797
4000	0.2	25	|	35	-1	dot_product
0.18 %	0.283 %	0.4489 %	0.54667 %	|	0.46 %	0.62 %	0.619 %	0.67 %	0.711 %	0.7163 %	1528.787612915039
4000	0.2	25	|	40	-1	dot_product
0.18 %	0.286 %	0.4501 %	0.5497 %	|	0.46 %	0.62 %	0.623 %	0.69 %	0.722 %	0.7233 %	1552.581787109375
4000	0.2	25	|	45	-1	dot_product
0.18 %	0.286 %	0.4511 %	0.5531 %	|	0.46 %	0.63 %	0.631 %	0.7 %	0.731 %	0.7287 %	1589.3220901489258
4000	0.2	25	|	50	-1	dot_product
0.18 %	0.286 %	0.4525 %	0.55547 %	|	0.46 %	0.63 %	0.637 %	0.7 %	0.741 %	0.7348 %	1628.4942626953125
4000	0.2	25	|	55	-1	dot_product
0.18 %	0.286 %	0.4528 %	0.55647 %	|	0.46 %	0.63 %	0.637 %	0.7 %	0.741 %	0.7369 %	1657.3905944824219
4000	0.2	25	|	60	-1	dot_product
0.18 %	0.286 %	0.4534 %	0.55771 %	|	0.46 %	0.64 %	0.64 %	0.71 %	0.75 %	0.7405 %	1684.5703125
4000	0.2	25	|	65	-1	dot_product
0.18 %	0.286 %	0.4539 %	0.55901 %	|	0.46 %	0.64 %	0.641 %	0.71 %	0.752 %	0.7441 %	1705.5273056030273
4000	0.2	25	|	75	-1	dot_product
0.18 %	0.288 %	0.455 %	0.56063 %	|	0.46 %	0.64 %	0.645 %	0.71 %	0.77 %	0.7514 %	1764.4405364990234
4000	0.2	25	|	90	-1	dot_product
0.18 %	0.289 %	0.4577 %	0.56254 %	|	0.46 %	0.64 %	0.65 %	0.73 %	0.781 %	0.7577 %	1855.778694152832
4000	0.2	25	|	110	-1	dot_product
0.18 %	0.293 %	0.4612 %	0.56433 %	|	0.46 %	0.65 %	0.656 %	0.74 %	0.791 %	0.7652 %	1981.9259643554688
4000	0.2	25	|	130	-1	dot_product
0.18 %	0.296 %	0.4641 %	0.56595 %	|	0.46 %	0.66 %	0.662 %	0.75 %	0.8 %	0.7733 %	2098.536491394043
4000	0.2	25	|	150	-1	dot_product
0.18 %	0.298 %	0.4661 %	0.5671 %	|	0.46 %	0.66 %	0.665 %	0.75 %	0.807 %	0.7795 %	2214.670181274414
4000	0.2	25	|	170	-1	dot_product
0.18 %	0.298 %	0.4675 %	0.56803 %	|	0.46 %	0.67 %	0.667 %	0.76 %	0.81 %	0.7829 %	2351.5939712524414
4000	0.2	25	|	200	-1	dot_product
0.18 %	0.3 %	0.4689 %	0.5688 %	|	0.46 %	0.67 %	0.674 %	0.77 %	0.82 %	0.7869 %	2552.2947311401367
4000	0.2	25	|	220	-1	dot_product
0.18 %	0.301 %	0.4697 %	0.56904 %	|	0.46 %	0.67 %	0.677 %	0.78 %	0.824 %	0.789 %	2658.534049987793
4000	0.2	25	|	250	-1	dot_product
0.18 %	0.301 %	0.4703 %	0.56947 %	|	0.46 %	0.68 %	0.684 %	0.79 %	0.834 %	0.7918 %	2851.9392013549805
4000	0.2	25	|	310	-1	dot_product
