Program: scann Topk: 1000 Num_split: 20 Batch: 1
L	Threashold	m	|	w	r	Metric
0.04 %	0.046 %	0.046 %	0.04773 %	|	0.04 %	0.04 %	0.046 %	0.04 %	0.046 %	0.0461 %	573169.7082519531
8000	0.2	128	|	128	-1	squared_l2
0.04 %	0.046 %	0.0464 %	0.04877 %	|	0.04 %	0.04 %	0.046 %	0.04 %	0.046 %	0.0465 %	1042747.974395752
8000	0.2	128	|	256	-1	squared_l2
0.04 %	0.046 %	0.0468 %	0.04922 %	|	0.04 %	0.04 %	0.046 %	0.04 %	0.046 %	0.0469 %	1946926.5937805176
8000	0.2	128	|	320	-1	squared_l2
0.04 %	0.046 %	0.0468 %	0.04931 %	|	0.04 %	0.04 %	0.046 %	0.04 %	0.046 %	0.0469 %	2367446.8994140625
8000	0.2	128	|	384	-1	squared_l2
0.04 %	0.046 %	0.0469 %	0.04933 %	|	0.04 %	0.04 %	0.046 %	0.04 %	0.046 %	0.047 %	2785736.083984375
8000	0.2	128	|	448	-1	squared_l2
0.04 %	0.046 %	0.0469 %	0.04935 %	|	0.04 %	0.04 %	0.046 %	0.04 %	0.046 %	0.047 %	3218202.590942383
8000	0.2	128	|	512	-1	squared_l2
0.04 %	0.046 %	0.0469 %	0.04938 %	|	0.04 %	0.04 %	0.046 %	0.04 %	0.046 %	0.047 %	3653079.5097351074
8000	0.2	128	|	576	-1	squared_l2
0.04 %	0.046 %	0.0469 %	0.04939 %	|	0.04 %	0.04 %	0.046 %	0.04 %	0.046 %	0.047 %	4088147.6402282715
8000	0.2	128	|	640	-1	squared_l2
0.04 %	0.046 %	0.0469 %	0.04939 %	|	0.04 %	0.04 %	0.046 %	0.04 %	0.046 %	0.047 %	4527382.850646973
8000	0.2	128	|	704	-1	squared_l2
0.04 %	0.046 %	0.0469 %	0.04939 %	|	0.04 %	0.04 %	0.046 %	0.04 %	0.046 %	0.047 %	4947827.8160095215
8000	0.2	128	|	768	-1	squared_l2
0.04 %	0.046 %	0.0469 %	0.04939 %	|	0.04 %	0.04 %	0.046 %	0.04 %	0.046 %	0.047 %	5374804.973602295
8000	0.2	128	|	1024	-1	squared_l2
0.04 %	0.046 %	0.0469 %	0.04939 %	|	0.04 %	0.04 %	0.046 %	0.04 %	0.046 %	0.047 %	7140161.991119385
