Program: faiss Topk: 1000 Num_split: 20 Batch: 1
L	m	k_star	|	w	Reorder	Metric
0.04 %	0.049 %	0.049 %	0.05004 %	|	0.05 %	0.05 %	0.049 %	0.05 %	0.049 %	0.0491 %	80546504.49752808
8000	24	256	|	768	-1	squared_l2
0.04 %	0.049 %	0.049 %	0.05004 %	|	0.05 %	0.05 %	0.049 %	0.05 %	0.049 %	0.0491 %	87704172.13439941
8000	24	256	|	1024	-1	squared_l2
0.04 %	0.049 %	0.049 %	0.05004 %	|	0.05 %	0.05 %	0.049 %	0.05 %	0.049 %	0.0491 %	115565840.72113037
8000	12	256	|	1	-1	squared_l2
0.01 %	0.025 %	0.0207 %	0.0189 %	|	0.02 %	0.02 %	0.026 %	0.02 %	0.026 %	0.0212 %	282101.6311645508
8000	12	256	|	2	-1	squared_l2
0.03 %	0.03 %	0.0267 %	0.02562 %	|	0.04 %	0.04 %	0.032 %	0.04 %	0.032 %	0.0277 %	403467.65518188477
8000	12	256	|	4	-1	squared_l2
0.03 %	0.035 %	0.0332 %	0.03243 %	|	0.05 %	0.05 %	0.037 %	0.05 %	0.037 %	0.035 %	557282.9246520996
8000	12	256	|	8	-1	squared_l2
0.03 %	0.04 %	0.0373 %	0.03829 %	|	0.04 %	0.05 %	0.044 %	0.05 %	0.044 %	0.0398 %	843103.8856506348
8000	12	256	|	16	-1	squared_l2
0.03 %	0.041 %	0.0396 %	0.04293 %	|	0.04 %	0.05 %	0.047 %	0.05 %	0.047 %	0.0435 %	1393969.0589904785
8000	12	256	|	32	-1	squared_l2
0.03 %	0.042 %	0.0418 %	0.04526 %	|	0.04 %	0.05 %	0.049 %	0.05 %	0.049 %	0.0462 %	2434889.316558838
8000	12	256	|	64	-1	squared_l2
0.03 %	0.042 %	0.0423 %	0.04667 %	|	0.04 %	0.05 %	0.049 %	0.05 %	0.049 %	0.0475 %	4544465.065002441
8000	12	256	|	128	-1	squared_l2
0.03 %	0.042 %	0.0426 %	0.04734 %	|	0.04 %	0.05 %	0.049 %	0.05 %	0.049 %	0.0482 %	8577157.020568848
8000	12	256	|	256	-1	squared_l2
0.03 %	0.042 %	0.0427 %	0.04758 %	|	0.04 %	0.05 %	0.049 %	0.05 %	0.049 %	0.0485 %	16339661.121368408
8000	12	256	|	320	-1	squared_l2
0.03 %	0.042 %	0.0427 %	0.0476 %	|	0.04 %	0.05 %	0.049 %	0.05 %	0.049 %	0.0486 %	20181672.5730896
8000	12	256	|	384	-1	squared_l2
0.03 %	0.042 %	0.0427 %	0.04762 %	|	0.04 %	0.05 %	0.049 %	0.05 %	0.049 %	0.0487 %	23980207.443237305
8000	12	256	|	448	-1	squared_l2
0.03 %	0.042 %	0.0427 %	0.04762 %	|	0.04 %	0.05 %	0.049 %	0.05 %	0.049 %	0.0487 %	27693727.97012329
8000	12	256	|	512	-1	squared_l2
0.03 %	0.042 %	0.0427 %	0.04762 %	|	0.04 %	0.05 %	0.049 %	0.05 %	0.049 %	0.0487 %	31413272.857666016
8000	12	256	|	576	-1	squared_l2
0.03 %	0.042 %	0.0427 %	0.04763 %	|	0.04 %	0.05 %	0.049 %	0.05 %	0.049 %	0.0487 %	35099647.0451355
8000	12	256	|	640	-1	squared_l2
0.03 %	0.042 %	0.0427 %	0.04763 %	|	0.04 %	0.05 %	0.049 %	0.05 %	0.049 %	0.0487 %	38853891.372680664
8000	12	256	|	704	-1	squared_l2
0.03 %	0.042 %	0.0427 %	0.04763 %	|	0.04 %	0.05 %	0.049 %	0.05 %	0.049 %	0.0487 %	42489882.946014404
8000	12	256	|	768	-1	squared_l2
0.03 %	0.042 %	0.0427 %	0.04763 %	|	0.04 %	0.05 %	0.049 %	0.05 %	0.049 %	0.0487 %	46149739.74227905
8000	12	256	|	1024	-1	squared_l2
0.03 %	0.042 %	0.0427 %	0.04763 %	|	0.04 %	0.05 %	0.049 %	0.05 %	0.049 %	0.0487 %	60819126.60598755
