Program: faiss Topk: 1000 Num_split: 1 Batch: 1
L	m	k_star	|	w	Reorder	Metric
0.63 %	0.666 %	0.6855 %	0.65919 %	|	0.9 %	0.9 %	0.876 %	0.9 %	0.876 %	0.7997 %	29781.651496887207
250	32	256	|	8	-1	squared_l2
0.65 %	0.691 %	0.7448 %	0.76294 %	|	0.96 %	0.96 %	0.95 %	0.96 %	0.95 %	0.9138 %	52544.09313201904
250	32	256	|	16	-1	squared_l2
0.65 %	0.699 %	0.7689 %	0.81069 %	|	0.99 %	0.99 %	0.987 %	0.99 %	0.987 %	0.9779 %	98769.33097839355
250	32	256	|	32	-1	squared_l2
0.66 %	0.701 %	0.7742 %	0.82617 %	|	1.0 %	1.0 %	0.997 %	1.0 %	0.997 %	0.9966 %	185662.96100616455
250	32	256	|	64	-1	squared_l2
0.66 %	0.701 %	0.7754 %	0.82843 %	|	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	354156.16035461426
250	32	256	|	128	-1	squared_l2
0.66 %	0.701 %	0.7754 %	0.82862 %	|	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	686017.4894332886
250	64	256	|	1	-1	squared_l2
0.46 %	0.482 %	0.4318 %	0.33642 %	|	0.52 %	0.52 %	0.499 %	0.52 %	0.499 %	0.4359 %	16214.394569396973
250	64	256	|	2	-1	squared_l2
0.65 %	0.673 %	0.6167 %	0.5135 %	|	0.73 %	0.73 %	0.705 %	0.73 %	0.705 %	0.6282 %	29050.683975219727
250	64	256	|	4	-1	squared_l2
0.77 %	0.809 %	0.7698 %	0.68997 %	|	0.9 %	0.9 %	0.876 %	0.9 %	0.876 %	0.7997 %	50265.55061340332
250	64	256	|	8	-1	squared_l2
0.82 %	0.859 %	0.8563 %	0.82762 %	|	0.96 %	0.96 %	0.95 %	0.96 %	0.95 %	0.9138 %	91275.66814422607
250	64	256	|	16	-1	squared_l2
0.85 %	0.879 %	0.8958 %	0.90015 %	|	0.99 %	0.99 %	0.987 %	0.99 %	0.987 %	0.9779 %	171166.41998291016
250	64	256	|	32	-1	squared_l2
0.86 %	0.885 %	0.9054 %	0.92413 %	|	1.0 %	1.0 %	0.997 %	1.0 %	0.997 %	0.9966 %	327242.25521087646
250	64	256	|	64	-1	squared_l2
0.86 %	0.885 %	0.9068 %	0.92815 %	|	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	630709.1951370239
250	64	256	|	128	-1	squared_l2
0.86 %	0.885 %	0.9068 %	0.92834 %	|	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	1226736.569404602
