Program: faiss Topk: 1000 Num_split: 1 Batch: 1
L	m	k_star	|	w	Reorder	Metric
0.64 %	0.637 %	0.663 %	0.65733 %	|	0.93 %	0.93 %	0.863 %	0.93 %	0.863 %	0.8098 %	24467.110633850098
250	24	256	|	8	-1	squared_l2
0.65 %	0.68 %	0.7122 %	0.73802 %	|	1.0 %	1.0 %	0.956 %	1.0 %	0.956 %	0.9144 %	41954.46968078613
250	24	256	|	16	-1	squared_l2
0.64 %	0.687 %	0.7304 %	0.77556 %	|	1.0 %	1.0 %	0.989 %	1.0 %	0.989 %	0.9646 %	73946.35677337646
250	24	256	|	32	-1	squared_l2
0.64 %	0.688 %	0.7367 %	0.79112 %	|	1.0 %	1.0 %	0.994 %	1.0 %	0.994 %	0.9879 %	135400.1760482788
250	24	256	|	64	-1	squared_l2
0.64 %	0.688 %	0.7385 %	0.79695 %	|	1.0 %	1.0 %	0.999 %	1.0 %	0.999 %	0.9977 %	254346.1799621582
250	24	256	|	128	-1	squared_l2
0.64 %	0.688 %	0.7389 %	0.79821 %	|	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	0.9996 %	491738.0094528198
250	48	256	|	1	-1	squared_l2
0.6 %	0.542 %	0.4771 %	0.38882 %	|	0.65 %	0.65 %	0.56 %	0.65 %	0.56 %	0.4836 %	13580.012321472168
250	48	256	|	2	-1	squared_l2
0.71 %	0.698 %	0.6387 %	0.54968 %	|	0.78 %	0.78 %	0.734 %	0.78 %	0.734 %	0.6521 %	23746.657371520996
250	48	256	|	4	-1	squared_l2
0.84 %	0.81 %	0.7811 %	0.7135 %	|	0.93 %	0.93 %	0.863 %	0.93 %	0.863 %	0.8098 %	39768.71967315674
250	48	256	|	8	-1	squared_l2
0.88 %	0.877 %	0.8672 %	0.83048 %	|	1.0 %	1.0 %	0.956 %	1.0 %	0.956 %	0.9144 %	66793.89476776123
250	48	256	|	16	-1	squared_l2
0.88 %	0.893 %	0.9027 %	0.89654 %	|	1.0 %	1.0 %	0.989 %	1.0 %	0.989 %	0.9646 %	124947.78633117676
250	48	256	|	32	-1	squared_l2
0.88 %	0.897 %	0.9159 %	0.92606 %	|	1.0 %	1.0 %	0.994 %	1.0 %	0.994 %	0.9882 %	234368.30043792725
250	48	256	|	64	-1	squared_l2
0.88 %	0.9 %	0.9196 %	0.93692 %	|	1.0 %	1.0 %	0.999 %	1.0 %	0.999 %	0.998 %	446806.1685562134
250	48	256	|	128	-1	squared_l2
0.88 %	0.901 %	0.9203 %	0.9393 %	|	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	0.9999 %	866688.2514953613
