Program: faiss Topk: 1000 Num_split: 1 Batch: 1
L	m	k_star	|	w	Reorder	Metric
0.67 %	0.711 %	0.774 %	0.81106 %	|	0.98 %	1.0 %	1.0 %	1.0 %	1.0 %	0.9984 %	937263.5364532471
1000	128	16	|	320	-1	squared_l2
0.67 %	0.711 %	0.7741 %	0.81168 %	|	0.98 %	1.0 %	1.0 %	1.0 %	1.0 %	0.9996 %	1166868.0906295776
1000	128	16	|	384	-1	squared_l2
0.67 %	0.711 %	0.7741 %	0.81191 %	|	0.98 %	1.0 %	1.0 %	1.0 %	1.0 %	0.9999 %	1390026.307106018
1000	128	16	|	448	-1	squared_l2
0.67 %	0.711 %	0.7741 %	0.81198 %	|	0.98 %	1.0 %	1.0 %	1.0 %	1.0 %	0.9999 %	1655010.1280212402
1000	128	16	|	512	-1	squared_l2
0.67 %	0.711 %	0.7741 %	0.81208 %	|	0.98 %	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	1829173.231124878
1000	128	16	|	576	-1	squared_l2
0.67 %	0.711 %	0.7741 %	0.81211 %	|	0.98 %	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	2047083.4732055664
1000	128	16	|	640	-1	squared_l2
0.67 %	0.711 %	0.7741 %	0.81212 %	|	0.98 %	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	2194984.221458435
1000	128	16	|	704	-1	squared_l2
0.67 %	0.711 %	0.7741 %	0.81211 %	|	0.98 %	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	2349859.142303467
1000	128	16	|	768	-1	squared_l2
0.67 %	0.711 %	0.7741 %	0.81212 %	|	0.98 %	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	2479746.2940216064
1000	256	16	|	1	-1	squared_l2
0.44 %	0.385 %	0.2879 %	0.18101 %	|	0.46 %	0.46 %	0.388 %	0.46 %	0.388 %	0.2884 %	11816.28704071045
1000	256	16	|	16	-1	squared_l2
0.83 %	0.825 %	0.8164 %	0.72537 %	|	0.9 %	0.9 %	0.886 %	0.9 %	0.886 %	0.8401 %	126642.37022399902
1000	256	16	|	32	-1	squared_l2
0.87 %	0.864 %	0.8818 %	0.8364 %	|	0.95 %	0.95 %	0.945 %	0.95 %	0.945 %	0.9235 %	244498.10981750488
1000	256	16	|	64	-1	squared_l2
0.89 %	0.885 %	0.9109 %	0.90129 %	|	0.98 %	0.98 %	0.978 %	0.98 %	0.978 %	0.9692 %	476785.65979003906
1000	256	16	|	128	-1	squared_l2
0.9 %	0.895 %	0.9224 %	0.92985 %	|	0.99 %	0.99 %	0.995 %	0.99 %	0.995 %	0.9908 %	933588.4094238281
1000	256	16	|	256	-1	squared_l2
0.9 %	0.896 %	0.9262 %	0.93882 %	|	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	0.9984 %	1822497.9162216187
1000	256	16	|	320	-1	squared_l2
0.9 %	0.896 %	0.9266 %	0.94 %	|	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	0.9996 %	2181338.4771347046
1000	256	16	|	384	-1	squared_l2
0.9 %	0.896 %	0.9269 %	0.94049 %	|	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	0.9999 %	2439258.0032348633
1000	256	16	|	448	-1	squared_l2
0.9 %	0.896 %	0.9269 %	0.94077 %	|	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	0.9999 %	2741980.3142547607
1000	256	16	|	512	-1	squared_l2
0.9 %	0.896 %	0.927 %	0.94093 %	|	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	3010604.476928711
1000	256	16	|	576	-1	squared_l2
0.9 %	0.896 %	0.927 %	0.94101 %	|	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	3268306.827545166
1000	256	16	|	640	-1	squared_l2
0.9 %	0.896 %	0.927 %	0.94104 %	|	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	3571038.818359375
1000	256	16	|	704	-1	squared_l2
0.9 %	0.896 %	0.927 %	0.94106 %	|	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	3870840.358734131
1000	256	16	|	768	-1	squared_l2
0.9 %	0.896 %	0.927 %	0.94106 %	|	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	4149110.6033325195
1000	32	64	|	1	-1	squared_l2
0.24 %	0.277 %	0.25 %	0.18016 %	|	0.44 %	0.46 %	0.386 %	0.46 %	0.388 %	0.2884 %	7195.448875427246
1000	32	64	|	16	-1	squared_l2
0.35 %	0.409 %	0.4596 %	0.50531 %	|	0.77 %	0.88 %	0.823 %	0.9 %	0.886 %	0.8282 %	29153.728485107422
1000	32	64	|	32	-1	squared_l2
0.36 %	0.411 %	0.4684 %	0.52947 %	|	0.79 %	0.93 %	0.859 %	0.95 %	0.944 %	0.8947 %	51822.94845581055
1000	32	64	|	64	-1	squared_l2
0.36 %	0.412 %	0.4709 %	0.53885 %	|	0.79 %	0.95 %	0.872 %	0.98 %	0.975 %	0.9224 %	98726.67789459229
1000	32	64	|	128	-1	squared_l2
0.36 %	0.412 %	0.4715 %	0.54125 %	|	0.79 %	0.96 %	0.877 %	0.99 %	0.992 %	0.9333 %	187892.0078277588
1000	32	64	|	256	-1	squared_l2
0.36 %	0.412 %	0.4715 %	0.54161 %	|	0.79 %	0.96 %	0.877 %	0.99 %	0.994 %	0.9347 %	364797.87826538086
1000	32	64	|	320	-1	squared_l2
0.36 %	0.412 %	0.4715 %	0.54165 %	|	0.79 %	0.96 %	0.877 %	0.99 %	0.994 %	0.9349 %	455225.22926330566
1000	32	64	|	384	-1	squared_l2
0.36 %	0.412 %	0.4715 %	0.54166 %	|	0.79 %	0.96 %	0.877 %	0.99 %	0.994 %	0.935 %	549014.4491195679
1000	32	64	|	448	-1	squared_l2
0.36 %	0.412 %	0.4715 %	0.54166 %	|	0.79 %	0.96 %	0.877 %	0.99 %	0.994 %	0.935 %	645256.233215332
1000	32	64	|	512	-1	squared_l2
0.36 %	0.412 %	0.4715 %	0.54166 %	|	0.79 %	0.96 %	0.877 %	0.99 %	0.994 %	0.935 %	735525.2504348755
1000	32	64	|	576	-1	squared_l2
0.36 %	0.412 %	0.4715 %	0.54166 %	|	0.79 %	0.96 %	0.877 %	0.99 %	0.994 %	0.935 %	827382.1115493774
