Program: annoy Topk: 1000 Num_split: 1	Batch: 1
Num trees	|	Num search	Reorder	Metric
0.3873 %	0.26308 %	0.154271 %	0.0686565 %	7111.4490032196045
300	|	2000	-1	dot
0.4946 %	0.35877 %	0.227123 %	0.1116134 %	9669.928789138794
300	|	4000	-1	dot
0.6105 %	0.4731 %	0.322483 %	0.1756715 %	14363.95001411438
300	|	10000	-1	dot
0.7593 %	0.63796 %	0.480587 %	0.300284 %	25659.94143486023
300	|	20000	-1	dot
0.8601 %	0.76262 %	0.618201 %	0.4271582 %	42750.35214424133
300	|	40000	-1	dot
0.9352 %	0.86855 %	0.756248 %	0.5771378 %	73446.53725624084
300	|	100000	-1	dot
0.986 %	0.95983 %	0.902002 %	0.7796122 %	156948.15635681152
300	|	200000	-1	dot
0.9971 %	0.99006 %	0.966409 %	0.900264 %	272759.90176200867
300	|	400000	-1	dot
0.9999 %	0.99873 %	0.99306 %	0.9699173 %	490675.0683784485
400	|	100	-1	dot
0.1471 %	0.08623 %	0.041256 %	0.0145384 %	140729.257106781
400	|	200	-1	dot
0.2018 %	0.12 %	0.060075 %	0.022193 %	8609.643697738647
400	|	400	-1	dot
0.2702 %	0.17196 %	0.091987 %	0.0363645 %	9225.416660308838
400	|	1000	-1	dot
0.401 %	0.27292 %	0.160277 %	0.0710438 %	11082.959651947021
400	|	2000	-1	dot
0.5101 %	0.37239 %	0.235919 %	0.1154949 %	12158.6754322052
400	|	4000	-1	dot
0.6309 %	0.4882 %	0.333722 %	0.181191 %	15840.78598022461
400	|	10000	-1	dot
0.7837 %	0.65568 %	0.495108 %	0.309239 %	26764.803886413574
400	|	20000	-1	dot
0.8728 %	0.7778 %	0.633218 %	0.4385346 %	43291.45669937134
400	|	40000	-1	dot
0.9411 %	0.87937 %	0.768728 %	0.5895051 %	72893.35656166077
400	|	100000	-1	dot
0.9861 %	0.96446 %	0.910041 %	0.7899027 %	153871.7019557953
400	|	200000	-1	dot
0.9976 %	0.99092 %	0.970112 %	0.9067162 %	267891.61562919617
400	|	400000	-1	dot
1.0 %	0.99882 %	0.993884 %	0.9723018 %	479931.27703666687
