Program: annoy Topk: 1000 Num_split: 1	Batch: 1
Num trees	|	Num search	Metric
0.814 %	0.69888 %	0.479204 %	0.2198296 %	7313.46583366394
300	|	2000	-1    dot
0.9055 %	0.83092 %	0.638432 %	0.3395351 %	9159.690618515015
300	|	4000	-1    dot
0.9613 %	0.92113 %	0.785789 %	0.4916664 %	12898.720264434814
300	|	10000	-1    dot
0.9874 %	0.98029 %	0.92228 %	0.7091059 %	21991.315126419067
300	|	20000	-1    dot
0.9925 %	0.99424 %	0.973085 %	0.8472548 %	34836.260080337524
300	|	40000	-1    dot
0.9934 %	0.99834 %	0.993208 %	0.9379974 %	56392.15135574341
300	|	100000	-1    dot
0.9935 %	0.99914 %	0.99923 %	0.9888175 %	111881.02293014526
300	|	200000	-1    dot
0.9935 %	0.99917 %	0.999807 %	0.998144 %	193928.29585075378
300	|	400000	-1    dot
0.9935 %	0.99917 %	0.99986 %	0.9997669 %	341055.41467666626
400	|	100	-1    dot
0.4022 %	0.26512 %	0.132799 %	0.0449186 %	4464.156866073608
400	|	200	-1    dot
0.5274 %	0.37462 %	0.202134 %	0.0725288 %	4990.070343017578
400	|	400	-1    dot
0.6627 %	0.51224 %	0.304234 %	0.1187582 %	6079.221725463867
400	|	1000	-1    dot
0.8245 %	0.70996 %	0.488359 %	0.2231915 %	8440.409183502197
400	|	2000	-1    dot
0.9121 %	0.83901 %	0.646836 %	0.3433337 %	10417.999982833862
400	|	4000	-1    dot
0.9624 %	0.92739 %	0.793222 %	0.4963549 %	14298.125505447388
400	|	10000	-1    dot
0.9883 %	0.98177 %	0.925755 %	0.7124947 %	23624.225616455078
400	|	20000	-1    dot
0.9925 %	0.99488 %	0.974485 %	0.8489589 %	36627.64310836792
400	|	40000	-1    dot
0.9933 %	0.99832 %	0.993634 %	0.9384546 %	58355.3900718689
400	|	100000	-1    dot
0.9935 %	0.99916 %	0.999313 %	0.9888067 %	114033.36572647095
400	|	200000	-1    dot
0.9935 %	0.99917 %	0.999805 %	0.9981058 %	195735.57305335999
400	|	400000	-1    dot
0.9935 %	0.99917 %	0.999859 %	0.9997602 %	342558.6566925049
