Program: annoy Topk: 1000 Num_split: 1	Batch: 1
Num trees	|	Num search	Metric
300	|	400	-1    euclidean
0.7069 %	0.5736 %	0.35779 %	0.35779 %	5167.983055114746
300	|	1000	-1    euclidean
0.8345 %	0.73506 %	0.524443 %	0.524444 %	7402.063369750977
300	|	2000	-1    euclidean
0.9022 %	0.83587 %	0.656343 %	0.656344 %	9048.46453666687
300	|	4000	-1    euclidean
0.9451 %	0.90703 %	0.773986 %	0.773987 %	12220.86763381958
300	|	10000	-1    euclidean
0.9753 %	0.96219 %	0.889314 %	0.889318 %	19666.172742843628
300	|	20000	-1    euclidean
0.985 %	0.9828 %	0.94347 %	0.943484 %	30084.34820175171
300	|	40000	-1    euclidean
0.9887 %	0.99271 %	0.974412 %	0.974453 %	47335.30330657959
300	|	100000	-1    euclidean
0.9907 %	0.99782 %	0.992632 %	0.992707 %	92877.15101242065
300	|	200000	-1    euclidean
0.9913 %	0.99901 %	0.997614 %	0.997717 %	163541.46933555603
300	|	400000	-1    euclidean
0.9914 %	0.99929 %	0.999261 %	0.999367 %	296669.3923473358
400	|	100	-1    euclidean
0.49 %	0.35231 %	0.183603 %	0.183603 %	4858.489751815796
400	|	200	-1    euclidean
0.6032 %	0.46207 %	0.259643 %	0.259643 %	5297.808408737183
400	|	400	-1    euclidean
0.7173 %	0.58398 %	0.361712 %	0.361712 %	6343.538284301758
400	|	1000	-1    euclidean
0.8391 %	0.74283 %	0.528185 %	0.528185 %	8685.35327911377
400	|	2000	-1    euclidean
0.9061 %	0.8406 %	0.65848 %	0.65848 %	10374.263048171997
400	|	4000	-1    euclidean
0.9463 %	0.90987 %	0.774556 %	0.774557 %	13635.316133499146
400	|	10000	-1    euclidean
0.9738 %	0.96227 %	0.888444 %	0.888449 %	21227.173805236816
400	|	20000	-1    euclidean
0.9834 %	0.98282 %	0.942354 %	0.942372 %	31745.08237838745
400	|	40000	-1    euclidean
0.9885 %	0.99267 %	0.97334 %	0.973383 %	49031.468868255615
400	|	100000	-1    euclidean
0.9908 %	0.99757 %	0.992082 %	0.992158 %	94399.97029304504
400	|	200000	-1    euclidean
0.9912 %	0.9988 %	0.99726 %	0.997357 %	164050.17852783203
400	|	400000	-1    euclidean
0.9914 %	0.9992 %	0.999146 %	0.999252 %	295801.2628555298
